Wall time,Step,Value
1705415245.912861,9985,0.0
1705415251.1344087,12485,0.0
1705415783.1204815,27461,0.0
1705415805.968625,37446,0.0
1705416081.897621,39943,0.0
1705416096.6727617,47442,0.0
1705416101.809655,49937,0.0
1705416366.4023993,52432,0.0
1705416377.7681837,57428,0.0
1705416378.0765355,57551,0.0
1705416618.016612,62699,2.0
1705416622.8632195,65196,2.0
1705417162.202228,81015,0.0
1705417477.7396274,86010,0.0
1705417760.3108847,103497,0.0
1705417766.3482804,105991,0.0
1705417772.1794634,108491,0.0
1705418023.829102,113483,0.0
1705418038.6182318,120977,0.0
1705418356.2085955,128465,0.0
1705418568.311678,133739,4.0
1705418569.3966973,134160,7.0
1705418570.2429066,134507,6.0
1705418576.4388242,137005,2.0
1705418890.3635037,139783,3.0
1705418891.22854,140229,8.0
1705418896.110078,142725,2.0
1705418897.0215197,143190,9.0
1705419148.2913969,148183,0.0
1705419153.246362,150679,0.0
1705419426.3617806,161995,4.0
1705419432.7320004,165231,4.0
1705419730.2937028,165930,17.0
1705419733.0534718,166988,16.0
1705419953.8972986,172468,12.0
1705419968.341774,178807,7.0
1705420543.2686765,193882,0.0
1705420807.3479972,194378,12.0
1705420810.7491188,196022,14.0
1705421088.4423206,197748,9.0
1705421094.4602587,200247,3.0
1705421097.161762,201360,9.0
1705421678.6255908,209230,14.0
1705421931.7713208,212217,9.0
1705422208.2928724,214637,11.0
1705422209.7160969,215301,14.0
1705422211.9293249,216319,11.0
1705422514.8003895,217173,12.0
1705422515.8662062,217714,11.0
1705422751.7708478,221051,9.0
1705422752.649451,221369,5.0
1705423095.7637043,234802,0.0
1705423371.7554142,235662,7.0
1705423373.1375735,236289,12.0
1705423618.1595793,237997,9.0
1705423969.3755767,247792,0.0
1705424227.4967785,255285,4.0
1705424229.4649255,256055,10.0
1705424232.7011573,257327,14.0
1705424819.5876486,260612,23.0
1705424820.827085,261103,13.0
1705424822.4190304,261587,12.0
1705425055.9798775,262942,7.0
1705425057.5645356,263574,13.0
1705425059.0230162,264137,12.0
1705425384.4724905,266568,8.0
1705425388.0102806,268374,12.0
1705425658.934512,268985,17.0
1705425660.113792,269589,13.0
1705425925.770158,273904,0.0
1705425930.6501327,276398,0.0
1705425935.515417,278895,0.0
1705426285.8852687,287250,28.0
1705426533.773955,289245,24.0
1705426535.3012204,289852,13.0
