Wall time,Step,Value
1705415245.9128964,9985,20000.0
1705415251.1344478,12485,20000.0
1705415783.120523,27461,60000.0
1705415805.9686632,37446,60000.0
1705416081.8976538,39943,80000.0
1705416096.6727982,47442,80000.0
1705416101.809696,49937,80000.0
1705416366.4024417,52432,100000.0
1705416377.7682254,57428,100000.0
1705416378.0765703,57551,100000.0
1705416618.0166469,62699,120000.0
1705416622.8632524,65196,120000.0
1705417162.2022622,81015,160000.0
1705417477.7396703,86010,180000.0
1705417760.3109202,103497,200000.0
1705417766.3483171,105991,200000.0
1705417772.1795053,108491,200000.0
1705418023.8291454,113483,220000.0
1705418038.61828,120977,220000.0
1705418356.208637,128465,240000.0
1705418568.311725,133739,260000.0
1705418569.3967357,134160,260000.0
1705418570.242948,134507,260000.0
1705418576.4388661,137005,260000.0
1705418890.3635464,139783,280000.0
1705418891.2285779,140229,280000.0
1705418896.1101196,142725,280000.0
1705418897.0215542,143190,280000.0
1705419148.291459,148183,300000.0
1705419153.246403,150679,300000.0
1705419426.3618143,161995,320000.0
1705419432.732048,165231,320000.0
1705419730.2937381,165930,340000.0
1705419733.0535054,166988,340000.0
1705419953.8973336,172468,360000.0
1705419968.341811,178807,360000.0
1705420543.2687128,193882,400000.0
1705420807.3480306,194378,420000.0
1705420810.7491572,196022,420000.0
1705421088.4423559,197748,440000.0
1705421094.4602928,200247,440000.0
1705421097.1617959,201360,440000.0
1705421678.6256301,209230,480000.0
1705421931.771359,212217,500000.0
1705422208.2929103,214637,520000.0
1705422209.7161365,215301,520000.0
1705422211.9293635,216319,520000.0
1705422514.8004248,217173,540000.0
1705422515.866243,217714,540000.0
1705422751.7708888,221051,560000.0
1705422752.6494923,221369,560000.0
1705423095.7637396,234802,580000.0
1705423371.7554522,235662,600000.0
1705423373.1376064,236289,600000.0
1705423618.1596153,237997,620000.0
1705423969.375619,247792,640000.0
1705424227.4968226,255285,660000.0
1705424229.4649708,256055,660000.0
1705424232.7013166,257327,660000.0
1705424819.5876822,260612,700000.0
1705424820.8271203,261103,700000.0
1705424822.4190748,261587,700000.0
1705425055.979912,262942,720000.0
1705425057.5645688,263574,720000.0
1705425059.0230532,264137,720000.0
1705425384.4725301,266568,740000.0
1705425388.0103142,268374,740000.0
1705425658.934551,268985,760000.0
1705425660.113827,269589,760000.0
1705425925.7701962,273904,780000.0
1705425930.6501727,276398,780000.0
1705425935.5154555,278895,780000.0
1705426285.8853085,287250,800000.0
1705426533.7739887,289245,820000.0
1705426535.3012552,289852,820000.0
1705426536.525578,290338,820000.0
1705426814.4037783,290954,840000.0
1705426816.5604722,292035,840000.0
1705426819.137581,293310,840000.0
1705427125.361711,294360,860000.0
1705427127.9531662,295703,860000.0
1705427368.199943,298916,880000.0
1705427369.045896,299345,880000.0
1705427373.473133,301112,880000.0
1705427696.512112,301696,900000.0
1705427697.3148944,302107,900000.0
1705427698.9207685,302868,900000.0
1705427700.2814987,303564,900000.0
1705427970.2289186,306706,920000.0
1705428598.4940765,322555,960000.0
1705428848.1031814,327546,980000.0
1705428866.0647595,335041,980000.0
1705429141.7709482,335539,1000000.0
1705429142.913115,336021,1000000.0
1705429465.3323643,340585,1020000.0
1705429704.4022663,343051,1040000.0
1705429705.4126623,343574,1040000.0
1705430017.6819983,344171,1060000.0
1705430020.8862867,345786,1060000.0
1705430559.0105617,351519,1100000.0
1705430560.4005127,352195,1100000.0
1705430564.5467114,354333,1100000.0
1705430906.9579544,356012,1120000.0
1705430909.184368,357156,1120000.0
1705431158.3450572,358668,1140000.0
1705431161.0090494,359725,1140000.0
1705431162.5060308,360320,1140000.0
1705431442.4252234,361643,1160000.0
1705431445.5327692,363195,1160000.0
1705431446.8379142,363872,1160000.0
1705431768.730253,367187,1180000.0
1705432031.3417447,378100,1200000.0
1705432033.1587827,378824,1200000.0
1705432035.336076,379690,1200000.0
1705432036.3276317,380085,1200000.0
1705432628.0844257,385929,1240000.0
1705432631.1533234,387187,1240000.0
1705432633.0520651,387947,1240000.0
1705432872.1133447,390301,1260000.0
1705433214.1573868,393433,1280000.0
1705433217.9722836,395376,1280000.0
1705433219.0733755,395936,1280000.0
1705433460.7683527,397816,1300000.0
1705433463.8675675,399096,1300000.0
1705433749.5976655,402794,1320000.0
1705434041.4997056,404828,1340000.0
1705434043.515878,405662,1340000.0
1705434275.7333724,409571,1360000.0
1705434277.7289405,410509,1360000.0
1705434616.273051,411790,1380000.0
1705434620.038618,413736,1380000.0
1705434858.9884071,415560,1400000.0
1705434860.7215307,416275,1400000.0
1705435147.7062438,419646,1420000.0
1705435150.994294,421305,1420000.0
1705435154.4532928,423114,1420000.0
1705435455.614675,426145,1440000.0
1705435692.3539128,430333,1460000.0
1705435694.1715055,431276,1460000.0
1705435695.6381404,432043,1460000.0
1705436026.6104016,432905,1480000.0
1705436028.0876875,433685,1480000.0
1705436029.074201,434205,1480000.0
1705436287.6400902,440101,1500000.0
1705436563.9917738,442664,1520000.0
1705436565.9157517,443611,1520000.0
1705437114.906312,451561,1560000.0
1705437440.5332236,454291,1580000.0
1705437442.6913543,455314,1580000.0
1705437444.3341277,456107,1580000.0
1705437446.0671916,456931,1580000.0
1705437447.8696856,457807,1580000.0
1705437728.6933107,465303,1600000.0
1705437994.1908083,473729,1620000.0
1705437996.945236,475140,1620000.0
1705438342.2343059,479038,1640000.0
1705438344.3179827,480093,1640000.0
1705438574.8374999,483365,1660000.0
1705438576.934792,484344,1660000.0
1705438873.1273997,485293,1680000.0
1705438881.90748,489746,1680000.0
1705439147.4023073,492613,1700000.0
1705439149.3625212,493508,1700000.0
1705439415.2653325,496426,1720000.0
1705439416.5529857,497041,1720000.0
1705439745.319351,502441,1740000.0
1705439991.1848018,513572,1760000.0
1705439992.6542556,514286,1760000.0
1705439994.76318,515119,1760000.0
1705439999.8138256,517011,1760000.0
1705440307.7218728,518143,1780000.0
1705440309.1058254,518802,1780000.0
1705440311.555833,520068,1780000.0
1705440312.88504,520716,1780000.0
1705440571.8537734,521822,1800000.0
1705440574.7115517,523012,1800000.0
1705440847.1333437,528245,1820000.0
1705440850.5239189,529890,1820000.0
1705440851.908216,530583,1820000.0
1705440853.454553,531363,1820000.0
1705441156.2705786,533816,1840000.0
1705441383.9572196,537455,1860000.0
1705441385.9889767,538265,1860000.0
1705441727.7798145,541351,1880000.0
1705441729.4576182,542214,1880000.0
1705441733.89768,544483,1880000.0
1705441977.9185092,547158,1900000.0
1705441987.0556955,551312,1900000.0
1705442271.8180864,552760,1920000.0
1705442277.8978746,555780,1920000.0
1705442279.694037,556679,1920000.0
1705442570.2118769,557948,1940000.0
1705442572.9180987,559067,1940000.0
1705442578.648413,561435,1940000.0
1705442580.4168937,562226,1940000.0
1705442815.4052966,565297,1960000.0
1705442817.691944,566243,1960000.0
1705442819.9993076,567222,1960000.0
1705443153.293731,568739,1980000.0
1705443157.99756,571167,1980000.0
1705443413.2789345,574530,2000000.0
1705443693.9942296,578591,2020000.0
1705443695.7341232,579456,2020000.0
1705444007.6216133,582021,2040000.0
1705444016.6682017,585729,2040000.0
1705444247.010468,588229,2060000.0
1705444252.258677,590730,2060000.0
1705444258.193885,593229,2060000.0
1705444264.522186,595730,2060000.0
1705444269.4507103,598230,2060000.0
1705444605.155617,605724,2080000.0
1705444610.395329,608224,2080000.0
1705444615.6327176,610721,2080000.0
1705444890.1728556,611609,2100000.0
1705444895.2411983,613698,2100000.0
1705445485.8347056,620782,2140000.0
1705445492.9648328,623838,2140000.0
1705445498.775455,626339,2140000.0
1705445728.5603244,631328,2160000.0
1705445733.5430653,633822,2160000.0
1705445739.563644,636319,2160000.0
1705446047.7102766,640124,2180000.0
1705446051.8040805,642244,2180000.0
1705446056.0216885,644283,2180000.0
1705446340.015654,646670,2200000.0
1705446343.7624826,648024,2200000.0
1705446591.806181,651095,2220000.0
1705446596.2563758,653389,2220000.0
1705446926.8132908,656799,2240000.0
1705446928.9662054,657942,2240000.0
1705447171.3603337,665377,2260000.0
1705447173.3200402,666336,2260000.0
1705447175.7648067,667490,2260000.0
1705447487.4557717,671429,2280000.0
1705447764.8426569,674348,2300000.0
1705447771.872423,676832,2300000.0
1705448026.4401708,680041,2320000.0
1705448372.2438025,685489,2340000.0
1705448383.7047844,690614,2340000.0
1705448629.3535478,691710,2360000.0
1705448632.0315316,692806,2360000.0
1705448637.0760932,695136,2360000.0
1705448923.2451367,697403,2380000.0
1705448925.1419256,698346,2380000.0
1705448930.0687554,700840,2380000.0
1705448932.7723026,702226,2380000.0
1705449243.8093557,707225,2400000.0
1705449255.6733553,712223,2400000.0
1705449261.6821058,714723,2400000.0
1705449499.8631566,718190,2420000.0
1705449503.3170102,719715,2420000.0
1705449830.503463,725938,2440000.0
1705450112.8699312,728182,2460000.0
1705450122.5768697,732126,2460000.0
1705450125.4233294,733450,2460000.0
1705450373.217452,735553,2480000.0
1705450377.468028,737620,2480000.0
1705450722.168165,739347,2500000.0
1705450725.4823706,741054,2500000.0
1705450727.2034354,741951,2500000.0
1705450974.133203,744679,2520000.0
1705450980.1722836,747215,2520000.0
1705450985.5126488,749713,2520000.0
1705451276.9281669,759704,2540000.0
1705451615.3214498,764767,2560000.0
1705451854.578372,767629,2580000.0
1705451857.4404657,768867,2580000.0
1705451860.8039162,770195,2580000.0
1705451863.4866278,771266,2580000.0
1705451865.5563045,772094,2580000.0
1705452174.9082923,778571,2600000.0
1705452469.2580354,779985,2620000.0
1705452471.564803,780895,2620000.0
1705452474.8307126,782210,2620000.0
1705452480.82746,784705,2620000.0
1705452713.6083531,785777,2640000.0
1705452725.095651,789830,2640000.0
1705453066.8428967,793020,2660000.0
1705453354.7011993,805300,2680000.0
1705453621.962647,811462,2700000.0
1705453971.7951615,817624,2720000.0
1705453976.6130238,820124,2720000.0
1705453981.6771374,822622,2720000.0
1705454236.931797,828667,2740000.0
1705454241.9715593,830977,2740000.0
1705454244.101738,832082,2740000.0
1705454247.6692927,833560,2740000.0
1705454529.9670858,837071,2760000.0
1705454874.2593377,847150,2780000.0
1705454886.242638,852145,2780000.0
1705455118.4572973,854025,2800000.0
1705455120.8631513,855022,2800000.0
1705455126.572002,857559,2800000.0
1705455429.3098965,860701,2820000.0
1705455432.4276679,862296,2820000.0
1705455727.464677,864593,2840000.0
1705455737.851382,869393,2840000.0
1705455971.3308513,870484,2860000.0
1705455976.632242,872911,2860000.0
1705456324.7115278,877204,2880000.0
1705456335.196502,882205,2880000.0
1705456633.169666,889697,2900000.0
1705456639.4630928,892196,2900000.0
1705456650.6753957,897195,2900000.0
1705456905.7665548,900928,2920000.0
1705456908.4534535,902006,2920000.0
1705456912.4932036,903625,2920000.0
1705456914.9867713,904627,2920000.0
1705457265.643783,909623,2940000.0
1705457270.4879827,912117,2940000.0
1705457275.281049,914611,2940000.0
1705457580.8386054,922441,2960000.0
1705457837.8999171,926918,2980000.0
1705457840.9603124,928145,2980000.0
1705457842.91458,928990,2980000.0
1705458751.4947367,942902,3040000.0
1705458755.3345172,944801,3040000.0
1705459115.53191,953528,3060000.0
1705459381.8803337,954883,3080000.0
1705459387.8028748,957407,3080000.0
1705459390.3265676,958397,3080000.0
1705459658.7825165,962044,3100000.0
1705459998.8291085,965017,3120000.0
1705460002.0010436,966310,3120000.0
1705460006.7975116,968217,3120000.0
1705460011.1904802,970090,3120000.0
1705460252.08529,971305,3140000.0
1705460254.74635,972645,3140000.0
1705460258.0318527,973997,3140000.0
1705460559.240348,981484,3160000.0
1705460876.1579342,985304,3180000.0
1705461120.6744218,993082,3200000.0
1705461450.3572419,999030,3220000.0
1705461716.543603,1000148,3240000.0
1705461718.6992,1001217,3240000.0
1705461720.6156194,1002008,3240000.0
1705461985.323371,1005462,3260000.0
1705462330.2041342,1014363,3280000.0
1705462332.695498,1015538,3280000.0
1705462887.0573206,1025374,3320000.0
1705462890.0031307,1026926,3320000.0
1705463200.3633797,1032210,3340000.0
1705463203.2308831,1033393,3340000.0
1705463441.256698,1035803,3360000.0
1705463444.9202123,1037215,3360000.0
1705463449.163169,1039011,3360000.0
1705463454.7879987,1041767,3360000.0
1705463782.900068,1042760,3380000.0
1705463789.410014,1045872,3380000.0
1705464063.519449,1048031,3400000.0
1705464335.075288,1054734,3420000.0
1705464337.097299,1055714,3420000.0
1705464346.7571156,1060662,3420000.0
1705464676.777521,1068152,3440000.0
1705464914.6990988,1074611,3460000.0
1705464921.4103088,1077360,3460000.0
1705465239.9636123,1080957,3480000.0
1705465242.568208,1082293,3480000.0
1705465508.3953319,1086976,3500000.0
1705465509.1317177,1087360,3500000.0
1705466140.7557373,1108413,3540000.0
1705466365.9264295,1109898,3560000.0
1705466369.3451762,1111175,3560000.0
1705466694.5179145,1116264,3580000.0
1705466700.8749216,1119289,3580000.0
1705466990.1614027,1122500,3600000.0
1705466996.720508,1125136,3600000.0
1705467000.7903159,1126799,3600000.0
1705467254.0982163,1130626,3620000.0
1705467257.1333454,1132226,3620000.0
1705467261.8456142,1134655,3620000.0
1705467430.595446,1137604,3640000.0
1705467432.2638485,1138496,3640000.0
1705467603.68185,1140456,3660000.0
1705467606.4996533,1141883,3660000.0
1705467612.2660499,1144685,3660000.0
1705467781.3892376,1148662,3680000.0
1705467783.6430628,1149864,3680000.0
1705467948.7383838,1152483,3700000.0
1705467953.5836737,1155100,3700000.0
1705468121.376315,1159408,3720000.0
1705468123.4457505,1160524,3720000.0
1705468284.7378275,1163005,3740000.0
1705468287.558288,1164544,3740000.0
1705468289.7041755,1165720,3740000.0
1705468292.0543602,1166978,3740000.0
1705468455.5320847,1169637,3760000.0
1705468466.0231721,1174942,3760000.0
1705468625.6256382,1177152,3780000.0
1705468628.499204,1178705,3780000.0
1705468794.4135616,1183399,3800000.0
1705468812.5860004,1193388,3800000.0
1705468982.1265938,1197266,3820000.0
1705469148.6542022,1200486,3840000.0
1705469150.8556647,1201673,3840000.0
1705469322.5790641,1206593,3860000.0
1705469327.6769333,1209137,3860000.0
1705469330.6141741,1210557,3860000.0
1705469501.1531677,1213135,3880000.0
1705469504.5349338,1214834,3880000.0
1705469507.0013855,1216057,3880000.0
1705469674.809479,1219593,3900000.0
1705469840.868403,1225390,3920000.0
1705469846.04524,1228151,3920000.0
1705469848.8035848,1229464,3920000.0
1705470015.3752086,1233079,3940000.0
1705470185.2275195,1237824,3960000.0
1705470358.5026894,1244385,3980000.0
1705470367.644104,1249377,3980000.0
1705470376.7966852,1254367,3980000.0
1705470537.0467503,1256634,4000000.0
1705470544.1782832,1260324,4000000.0
1705470546.2398076,1261426,4000000.0
1705470711.2301695,1265824,4020000.0
