Wall time,Step,Value
1705415136.5706294,6913,0.0
1705415139.9235024,9413,0.0
1705415145.739395,10063,0.0
1705415185.0982814,15098,0.0
1705415205.093171,17569,0.0
1705415219.4352572,19423,0.0
1705415260.9601378,20496,0.0
1705415270.7404792,21253,1.0
1705415292.469342,22705,2.0
1705415323.1836576,24883,0.0
1705415391.5291944,29277,2.0
1705415414.223861,30768,0.0
1705415446.1893988,33010,0.0
1705415537.5607393,38979,0.0
1705415544.5776181,39375,1.0
1705415552.6184404,39802,1.0
1705415604.505209,43043,0.0
1705415607.1968465,43379,0.0
1705415618.6450875,44805,1.0
1705415623.3559735,45406,0.0
1705415647.5341728,48433,0.0
1705415653.449334,49179,0.0
1705415684.9996266,53044,0.0
1705415696.26454,54436,0.0
1705415717.9504786,56172,1.0
1705415741.9471703,57545,2.0
1705415751.0216413,58198,1.0
1705415753.0212114,58284,0.0
1705415776.1485326,59904,1.0
1705415809.7641473,60485,0.0
1705415869.3530486,64276,0.0
1705416023.107264,74115,0.0
1705416035.6905582,74984,1.0
1705416249.3533635,92944,0.0
1705416253.6816282,93107,0.0
1705416263.4553347,93856,1.0
1705416289.3380995,95389,1.0
1705416327.4140842,98059,0.0
1705416393.4136631,100490,0.0
1705416414.0000556,102001,0.0
1705416422.1871479,102364,2.0
1705416429.8252954,102892,0.0
1705416436.751289,103291,0.0
1705416465.1054482,105089,0.0
1705416474.2461963,105623,0.0
1705416542.0984905,111946,0.0
1705416579.6531081,116236,0.0
1705416584.3224833,116801,0.0
1705416584.5276747,116826,0.0
1705416598.5928545,118374,1.0
1705416640.7813063,121440,0.0
1705416656.213068,122424,2.0
1705416671.9888315,123472,0.0
1705416723.292916,126960,1.0
1705416758.0403435,129082,3.0
1705416816.773086,132817,0.0
1705416832.2945065,133786,0.0
1705416855.8596718,135026,0.0
1705416873.2308807,136146,1.0
1705416879.468368,136719,0.0
1705416906.3915317,138371,0.0
1705416913.8774517,138896,0.0
1705416915.8105402,138972,0.0
1705416950.5612562,140489,0.0
1705416985.3392022,143083,0.0
1705417006.2942457,145557,0.0
1705417028.5824645,148179,0.0
1705417062.2096226,152129,2.0
1705417089.120659,155187,1.0
1705417092.007302,155550,0.0
1705417108.581759,157517,0.0
1705417113.9015365,158138,2.0
1705417129.6541214,159362,0.0
1705417216.6426864,163000,0.0
1705417223.8719473,163279,0.0
1705417355.7606926,171746,0.0
1705417369.4256036,172626,0.0
1705417420.483447,175749,0.0
1705417445.0357752,177385,0.0
1705417522.4019828,182779,0.0
1705417523.3415098,182881,0.0
1705417540.246727,184841,1.0
1705417626.8462965,192684,0.0
1705417650.5994387,194098,0.0
1705417652.4620593,194326,0.0
1705417684.28847,196297,0.0
1705417694.2186651,196790,0.0
1705417711.1413984,197915,2.0
1705417732.3801668,199290,0.0
1705417774.3515513,200288,0.0
1705417824.3957872,203366,0.0
1705417849.379201,204998,0.0
1705417881.3521004,207042,0.0
1705417979.6638725,216086,0.0
1705418063.2916312,222796,0.0
1705418082.4869807,224122,0.0
1705418089.473917,224718,0.0
1705418143.3025246,227909,0.0
1705418161.422663,229082,1.0
1705418173.1864161,229776,0.0
1705418214.692071,232301,1.0
1705418250.741709,234632,1.0
1705418268.6825633,235804,0.0
1705418271.8494678,235926,0.0
1705418326.605582,239388,0.0
1705418396.796066,241800,0.0
1705418416.04001,244009,0.0
1705418416.7051177,244092,0.0
1705418423.5172987,244896,0.0
1705418424.379223,244997,2.0
1705418426.2496972,245194,1.0
1705418427.739432,245372,0.0
1705418497.9973137,253479,0.0
1705418505.5393946,254357,0.0
1705418511.5656533,255062,0.0
1705418513.964583,255329,0.0
1705418516.890819,255681,0.0
1705418603.082749,261767,0.0
1705418622.7885995,262870,1.0
1705418659.5548315,265365,0.0
1705418699.8022032,267640,1.0
1705418750.0000033,270872,0.0
1705418802.457707,273881,2.0
1705418805.8982923,274080,0.0
1705418806.2586455,274128,0.0
1705418852.048955,276825,1.0
1705418941.158342,284492,0.0
1705418959.5665686,286531,0.0
1705419069.110518,295434,1.0
1705419091.0259705,296753,1.0
1705419094.412339,297067,0.0
1705419185.2117786,300936,0.0
1705419238.2483053,303942,0.0
1705419271.8455305,306128,0.0
1705419343.0992844,311225,1.0
1705419344.0663753,311343,1.0
