Wall time,Step,Value
1705414660.2139778,14980,0.0
1705414669.6730468,17477,0.0
1705415166.878039,27461,0.0
1705415176.944683,29956,0.0
1705415207.1051788,37446,0.0
1705415667.5896971,39943,0.0
1705415698.1226912,47442,0.0
1705415707.8332596,49937,0.0
1705416177.2258563,52432,3.0
1705416190.9276693,55463,2.0
1705417661.4020638,73612,0.0
1705418169.1898527,83601,0.0
1705418186.9675026,88597,0.0
1705418206.964154,93592,0.0
1705418687.8978374,96088,1.0
1705418689.0627778,96373,0.0
1705418699.2317626,99001,1.0
1705419208.535604,108988,0.0
1705419219.1166909,111487,0.0
1705419706.267019,113981,0.0
1705419715.749738,116475,0.0
1705419725.8546743,118975,0.0
1705420261.3827953,133968,0.0
1705420752.2303069,138965,1.0
1705420753.1148913,139260,3.0
1705420754.67961,139712,5.0
1705420756.7622738,140251,10.0
1705421244.5284495,143352,5.0
1705421246.23695,143742,8.0
1705421248.2612383,144148,7.0
1705421249.782844,144548,6.0
1705421774.8150604,157040,0.0
1705422296.271727,167911,21.0
1705422780.9442995,169648,14.0
1705422783.110704,170156,13.0
1705423289.5759244,178357,39.0
1705424265.5909972,185329,16.0
1705424750.4336371,187247,21.0
1705424752.7358148,187756,11.0
1705425254.339214,192196,15.0
1705425759.358795,197697,0.0
1705425780.1718051,202693,0.0
1705426765.7096775,209350,13.0
1705426768.1013699,210000,20.0
1705426778.478406,212340,10.0
1705427282.9160283,213009,21.0
1705427820.4321156,217675,22.0
1705427826.3897815,219144,21.0
1705428362.161811,224137,0.0
1705428373.1229217,226634,0.0
1705428384.8446987,229134,0.0
1705429385.0230894,235773,18.0
1705429884.7381012,239040,26.0
1705429890.0124624,240714,37.0
1705429892.3103433,241405,19.0
1705429894.5853646,242231,22.0
1705430387.7716944,244654,31.0
1705430881.1073017,248938,0.0
1705430901.1610568,253934,0.0
1705430910.0809824,256430,0.0
1705431407.350658,260271,14.0
1705431914.0076506,265703,32.0
1705431917.0336034,266434,29.0
1705432406.9795182,268614,34.0
1705432420.3851762,272120,44.0
1705432908.3676665,273675,12.0
1705432912.7804558,274685,48.0
1705432919.7147436,276248,23.0
1705433414.765095,279999,0.0
1705433425.2354267,282493,0.0
1705433958.0907125,293867,20.0
1705434951.3375108,301228,37.0
1705434955.4846163,302470,49.0
1705434958.7353199,303274,26.0
1705435448.156061,307244,39.0
1705436456.0671468,316765,51.0
1705436460.5349402,318134,52.0
1705436957.5082116,320129,53.0
1705436965.2628253,322119,42.0
1705436976.0469012,324964,59.0
1705437475.693782,328293,32.0
1705437478.6033769,328994,16.0
1705437481.8394713,329822,28.0
1705437976.9648807,332913,37.0
1705439007.1760893,349395,0.0
1705439028.1833959,354393,0.0
1705440014.6752586,361203,41.0
1705440027.2922146,364125,35.0
1705440030.9441612,364969,23.0
1705440523.278357,366392,64.0
1705440528.316746,367597,54.0
1705440535.399657,369293,34.0
1705441043.31525,374926,77.0
1705441052.8278434,377059,65.0
1705441549.5502107,379241,50.0
1705441560.8993459,381848,55.0
1705442059.8742192,387171,48.0
1705442576.5581503,394874,49.0
1705443579.7824032,402851,49.0
1705443584.1777127,404005,54.0
1705444096.8109624,410702,42.0
1705444099.3568847,411270,17.0
1705444596.3074653,414476,32.0
1705444599.7596457,415260,25.0
1705444603.7630217,416257,32.0
1705445109.1942174,420974,54.0
1705445113.369184,421912,48.0
1705445616.8431983,425788,0.0
1705445648.8602962,433275,0.0
1705446162.72391,439304,67.0
1705446168.074307,440553,43.0
1705446173.1736944,441766,65.0
1705446661.6546805,442586,24.0
1705446673.675226,445249,41.0
1705447173.2941465,448949,58.0
1705447178.2158763,450200,47.0
1705447181.914554,451043,21.0
1705447679.962853,454100,24.0
1705447691.5608332,456832,48.0
1705448210.0488074,463919,53.0
1705448698.0529697,466030,25.0
1705448719.562444,471224,28.0
1705449208.857298,473718,0.0
1705449230.8226106,478716,0.0
1705449241.0428054,481212,0.0
1705449754.6505497,487585,43.0
1705449760.9962656,489154,71.0
1705450267.2354746,494435,60.0
1705450756.7104757,496696,51.0
1705450774.7142842,501050,67.0
1705451278.4444933,506326,46.0
1705451790.0382388,512065,91.0
1705451800.6671789,514629,65.0
1705452308.3111744,519094,60.0
1705452314.2190285,520605,79.0
1705452317.8031778,521406,28.0
1705452815.3962615,525384,84.0
1705453320.646085,531102,63.0
1705453326.6750884,532472,54.0
1705453828.3089585,536417,58.0
1705453834.7594934,537881,65.0
1705453836.9920802,538443,19.0
1705454878.2121344,555533,0.0
1705455397.1376188,562575,40.0
1705456405.751001,570614,46.0
1705456415.3534334,573111,18.0
1705456925.0441353,578783,33.0
1705456929.423364,579893,40.0
1705456935.7319558,581368,30.0
1705457428.0473835,583807,52.0
1705457944.3158977,588846,33.0
1705458499.5691793,605654,0.0
1705459000.255318,607914,50.0
1705459004.0070255,609030,48.0
1705459513.8148806,614301,0.0
1705460050.4079633,626776,76.0
1705460581.0805693,636367,58.0
1705461078.6909428,637511,43.0
1705461082.7436187,638489,63.0
1705461089.3517706,640320,48.0
1705461093.7305658,641583,70.0
1705461603.3253555,645058,27.0
1705461608.0713353,646236,53.0
1705462143.3865714,657260,0.0
1705462153.2455804,659759,0.0
1705463726.5278218,686236,68.0
1705463743.8222897,690478,79.0
1705463748.7629669,691687,57.0
1705464247.6070695,694557,68.0
1705464258.7488604,697363,53.0
1705464764.4468148,701502,68.0
1705465805.3508203,715516,45.0
1705466314.5507603,720629,49.0
1705466318.8411539,721927,49.0
1705466325.0211365,723840,54.0
1705466832.9912298,727646,53.0
1705466843.6220098,730558,54.0
1705467364.778678,737608,68.0
1705467864.7840827,738754,59.0
1705468381.1213005,745581,26.0
1705468392.2888134,748495,57.0
1705468396.8693845,749773,71.0
1705468892.7671313,751303,83.0
1705468896.900991,752223,32.0
1705468903.267738,753633,66.0
1705468908.3617938,755045,72.0
1705469409.0629404,758559,81.0
1705469417.6772869,760679,38.0
1705469934.269008,766725,52.0
1705469938.5431807,767763,40.0
1705469945.010579,769319,71.0
1705470441.7567039,772004,81.0
1705470952.191934,777181,66.0
1705470964.5387225,780162,77.0
1705470975.9634757,783130,62.0
1705471484.374963,788769,55.0
1705471490.051759,790089,54.0
1705471973.943025,790860,38.0
1705471994.538659,795987,66.0
1705472503.207001,799792,36.0
1705472509.4884446,801259,67.0
1705473015.1908977,805196,39.0
1705473024.4036827,807472,40.0
1705473518.7423134,809147,79.0
1705473523.9773066,810374,72.0
1705473529.7917514,811732,58.0
1705473535.3377757,813101,67.0
1705473542.611525,814702,98.0
1705474037.696927,817019,77.0
1705474041.7128985,817996,38.0
1705474561.427109,825054,50.0
1705474563.9225693,825792,33.0
1705475081.792802,832332,0.0
1705475091.8443074,834830,0.0
1705475607.7172992,841048,49.0
1705475618.875646,843744,71.0
1705476127.8533542,847981,51.0
1705476140.4525952,850821,84.0
1705476645.592329,854627,0.0
1705476665.961664,859628,0.0
1705477203.4295373,867117,0.0
1705477244.7028296,877104,0.0
1705477730.9614105,877803,33.0
1705477744.6509402,881117,73.0
1705478252.4799213,885183,78.0
1705478275.8632283,890672,55.0
1705478789.5524302,897535,69.0
1705479823.7299116,909213,0.0
1705479833.7837856,911710,0.0
1705479854.7549095,916703,0.0
1705480352.0975673,918337,91.0
1705480358.0858374,919727,74.0
1705480362.991597,920871,61.0
1705480374.6563973,923714,44.0
1705480879.4745328,927550,104.0
1705481383.0245433,932099,45.0
1705481389.321961,933654,84.0
1705481908.6807303,940803,0.0
1705481938.8610857,948295,0.0
1705482446.3330514,954292,78.0
1705482947.0689156,958089,58.0
1705482950.4964197,958931,51.0
1705482956.5812404,960438,72.0
1705482967.3008776,962935,13.0
1705483465.0227978,965432,0.0
1705483485.0177035,970430,0.0
1705483494.9949956,972930,0.0
1705483504.8477478,975427,0.0
1705484006.106145,978183,58.0
1705484011.8829448,979541,65.0
1705484017.3630006,980871,81.0
1705484026.0523598,982759,114.0
1705484524.2728288,985191,55.0
1705484533.0460436,987371,36.0
1705484538.5353072,988679,70.0
1705485562.4658687,1000069,100.0
1705485578.2457728,1004389,99.0
1705486075.1360962,1005966,120.0
1705486079.5291097,1007246,71.0
1705486091.072313,1010317,73.0
1705486594.5639992,1014946,75.0
1705486604.170272,1017437,34.0
1705487105.6799896,1020014,81.0
1705487125.3036175,1025469,52.0
1705487636.3457386,1030993,63.0
1705488145.6989686,1035510,62.0
1705488151.3268056,1037181,76.0
1705488155.7733114,1038627,87.0
1705488158.6907916,1039485,48.0
1705488653.6726332,1040745,61.0
1705489171.1702216,1047077,126.0
1705489695.1831,1054729,59.0
1705489705.5570486,1057398,96.0
1705489709.956532,1058823,69.0
1705490207.0916796,1060502,81.0
1705490225.2477298,1064948,74.0
1705490732.3898008,1069294,61.0
1705490738.8135152,1070785,75.0
1705491251.256973,1075640,0.0
1705491261.7678912,1078138,0.0
1705491272.8081088,1080635,0.0
1705491292.7602503,1085628,0.0
1705491795.213702,1087647,51.0
1705492312.7444324,1094727,56.0
1705492814.121886,1098547,78.0
1705492820.5956771,1100200,80.0
1705492837.1076145,1104390,67.0
1705493329.1383114,1105520,39.0
1705493336.225336,1107170,77.0
1705493345.4641917,1109438,86.0
1705493350.802274,1110768,61.0
1705494357.0962582,1117828,78.0
1705494380.2090583,1123321,47.0
1705494875.8532088,1124844,88.0
1705494885.3568327,1127113,74.0
1705494897.466092,1130090,105.0
1705495393.6843472,1133002,80.0
1705495398.9743173,1134465,99.0
1705495405.4661005,1136053,116.0
1705495411.436411,1137359,71.0
1705495908.3237495,1139045,129.0
1705495927.5466125,1143935,79.0
1705496426.6048484,1146893,78.0
1705496434.9279318,1149022,23.0
1705496946.6153872,1153304,70.0
1705496957.5188522,1155790,103.0
1705496964.8958957,1157586,105.0
1705496967.7050796,1158271,16.0
1705497480.9772136,1163998,61.0
1705497983.8242037,1166447,34.0
1705497989.9057825,1168076,89.0
1705498000.2528741,1170539,57.0
1705498506.296358,1175365,94.0
1705499019.779768,1180473,59.0
1705499033.8775876,1184380,64.0
1705499548.0376084,1188592,47.0
1705499552.8244014,1190037,90.0
1705499568.1765733,1194145,85.0
1705500072.8252618,1196698,84.0
1705500080.307395,1198927,55.0
1705500612.3006716,1207348,89.0
1705501127.0383837,1211323,80.0
1705501130.3587694,1212381,49.0
1705501133.403542,1213499,56.0
1705501647.9643164,1217596,79.0
1705502180.0552964,1228072,56.0
1705502683.926247,1229673,121.0
1705502698.904532,1233907,52.0
1705503229.691457,1242815,0.0
1705503246.1641192,1247815,0.0
1705503754.5112047,1249426,111.0
1705503773.353578,1255133,79.0
1705504277.6592329,1257904,52.0
1705504281.8553574,1259058,43.0
1705504794.612052,1263735,74.0
1705504803.0350835,1266101,62.0
1705504812.6313918,1268682,91.0
1705505317.910185,1273149,51.0
1705505328.6562507,1276094,118.0
1705505820.1583421,1277741,115.0
1705505830.6390605,1280364,66.0
1705505835.733124,1281746,60.0
1705506347.7978568,1285886,109.0
1705506360.319911,1289541,51.0
1705506858.0288377,1291022,93.0
1705507388.3605773,1300607,91.0
1705507394.8392677,1302085,116.0
1705507399.6863518,1303434,75.0
1705507894.9052415,1304738,73.0
1705507903.871999,1306880,39.0
1705507908.545347,1307996,50.0
1705508414.8249974,1312150,324.0
1705508421.623161,1313938,126.0
1705508427.658909,1315359,107.0
1705508938.3083637,1319391,61.0
1705508944.169552,1320934,122.0
1705508949.709701,1322174,80.0
1705508954.3494866,1323192,40.0
1705509450.6972907,1325549,69.0
1705509979.5261264,1335337,81.0
1705509985.7079086,1336785,87.0
1705510491.767218,1341193,105.0
1705511022.4112027,1352283,77.0
1705511531.6847782,1356723,114.0
1705512059.6791778,1366071,76.0
1705512066.2103236,1367813,93.0
1705512073.7150333,1369634,92.0
1705512569.9608283,1371703,23.0
1705512575.251763,1372869,60.0
1705512581.1685317,1374332,210.0
1705513092.4671404,1379056,95.0
1705513096.7277248,1380274,71.0
1705513109.1897771,1383257,108.0
1705513616.6011338,1388256,0.0
1705513626.3601084,1390755,0.0
1705514157.1075113,1399903,11.0
1705514162.673437,1401308,55.0
1705514675.2859113,1407704,99.0
1705514681.8550627,1409209,108.0
1705514687.2564242,1410459,54.0
1705514693.916031,1411907,80.0
1705515218.53364,1418184,212.0
1705515225.7302806,1419930,109.0
1705515232.6367016,1421562,187.0
1705515737.1422267,1425610,70.0
1705515743.3781674,1427219,70.0
1705516761.2781157,1437511,12.0
1705517263.9136825,1442362,60.0
1705517275.5623705,1445235,78.0
1705517286.364602,1447962,139.0
1705517778.8812754,1449014,43.0
1705517799.122702,1453901,42.0
1705517804.0425117,1455041,54.0
1705518306.538774,1458411,115.0
1705518314.5694368,1460364,150.0
1705518321.0281088,1461959,117.0
1705518326.958672,1463428,63.0
1705518838.6766777,1468061,194.0
1705519910.1772592,1481192,71.0
1705519923.197133,1483870,70.0
1705519936.5655537,1486847,50.0
1705520484.709183,1489727,77.0
1705520496.417933,1492224,146.0
1705520504.606746,1494110,116.0
1705521040.4670916,1496703,78.0
1705521052.5131373,1499862,76.0
1705521058.7752206,1501282,87.0
1705521065.5088506,1502926,79.0
1705521589.568061,1510410,0.0
1705521608.9598782,1515403,0.0
1705522664.0605404,1531698,74.0
1705522671.0050247,1533487,117.0
1705523181.8794343,1537695,22.0
1705523190.745375,1540053,40.0
1705523737.1982048,1553046,0.0
1705523746.0020103,1555544,0.0
1705524247.075693,1557863,26.0
1705524257.8525932,1560811,125.0
1705524776.4183013,1566693,86.0
1705525293.7203498,1572728,71.0
1705525307.064235,1575888,124.0
1705525812.6781635,1579376,131.0
1705525827.1071804,1582946,66.0
1705525833.8817308,1584540,85.0
1705526332.474304,1585316,27.0
1705526854.7267296,1594828,56.0
1705526860.7692437,1596191,81.0
1705527393.6522298,1606311,244.0
1705527894.761545,1609215,94.0
1705527907.1422486,1612164,61.0
1705527914.1507392,1613625,103.0
1705528406.6814363,1615028,97.0
1705528953.8825488,1628386,72.0
1705529453.1503527,1631766,98.0
1705529469.9667463,1635568,56.0
1705529978.938178,1641323,105.0
1705530487.5194397,1645171,0.0
1705530497.3226986,1647668,0.0
1705531018.3264608,1656591,65.0
1705531024.0353193,1657969,69.0
1705531037.062124,1661119,111.0
1705531041.9072068,1662406,79.0
1705531544.5118449,1664124,160.0
1705531560.624255,1668364,75.0
1705531566.390364,1669838,100.0
1705532629.985228,1689200,113.0
1705533134.9291961,1693244,256.0
1705533140.5273974,1694768,71.0
1705533658.0003517,1700927,0.0
1705533666.6305847,1703421,0.0
1705533676.428139,1705919,0.0
1705534198.4570854,1712361,94.0
1705534208.383163,1714860,99.0
1705534214.7799551,1716366,281.0
1705535787.2133892,1740414,182.0
1705536299.8917177,1746099,0.0
1705536319.888886,1751091,0.0
1705536330.81963,1753591,0.0
1705536837.127413,1757615,89.0
1705536847.289858,1760113,124.0
1705536864.2992017,1764177,126.0
1705537371.9527698,1768487,68.0
1705537377.027255,1769779,72.0
1705537382.9086406,1771252,89.0
1705537876.3336368,1772559,72.0
1705537889.244809,1775568,118.0
1705537898.6547532,1777944,104.0
1705538403.7232883,1780493,64.0
1705538415.1566274,1783207,103.0
1705538421.9621854,1784751,234.0
1705538927.9794505,1787831,78.0
1705538939.3030198,1790543,81.0
1705539443.2111335,1793617,80.0
1705539447.039873,1794475,28.0
1705539451.8185825,1795778,219.0
1705539458.2648113,1797383,121.0
1705539465.4347823,1799034,93.0
1705540497.6757734,1813376,139.0
1705541013.53785,1819723,107.0
1705541529.2974637,1825682,92.0
1705541534.7095904,1827037,75.0
1705541540.771047,1828521,100.0
1705542044.5778759,1831759,138.0
1705542061.698288,1835888,36.0
1705542577.900252,1843384,0.0
1705542599.4224684,1848382,0.0
1705543104.071376,1853373,0.0
1705543114.2786636,1855874,0.0
1705543134.9448283,1860870,0.0
1705543646.0525725,1866939,119.0
1705543653.710371,1868765,286.0
1705544151.625908,1870474,97.0
1705544160.2028465,1872574,32.0
1705544164.7457314,1873665,48.0
1705544669.411814,1877372,81.0
1705544676.5294635,1879196,123.0
1705544681.244619,1880313,55.0
1705544686.205212,1881587,54.0
1705545187.783974,1885244,163.0
1705545708.805453,1891939,52.0
1705545731.285945,1897168,107.0
1705546253.0198107,1905065,41.0
1705546757.1373117,1908691,21.0
1705547267.8844843,1914857,91.0
1705547278.4103475,1917424,48.0
1705547795.0850708,1923904,98.0
1705547803.3895237,1925874,118.0
1705547808.4591486,1927137,70.0
1705547814.9426801,1928636,69.0
1705548314.142802,1931469,58.0
1705548334.991313,1936593,290.0
1705548831.9884787,1939088,174.0
1705548843.6293201,1942118,96.0
1705548850.011455,1943688,91.0
1705548855.8221822,1945274,83.0
1705549873.495768,1953370,147.0
1705549889.4423862,1957121,196.0
1705549897.1850135,1958906,131.0
1705550402.6233473,1962130,99.0
1705550408.2143805,1963491,55.0
1705550423.484872,1967563,76.0
1705550920.0195444,1969067,87.0
1705551437.0073664,1976277,24.0
1705551441.6435592,1977454,60.0
1705551451.7241354,1979949,332.0
1705551953.6808739,1983466,40.0
1705551965.1184323,1986271,88.0
1705551969.2179978,1987244,37.0
1705551976.0411189,1988841,104.0
1705552473.859403,1990590,127.0
1705552484.1731467,1993091,145.0
1705552491.3028102,1994775,328.0
1705553011.4464664,2002247,124.0
1705553529.1699855,2008584,47.0
1705553534.2151163,2009801,55.0
1705554029.457146,2011544,106.0
1705554547.270354,2018290,68.0
1705554573.400936,2024877,89.0
1705555077.7506084,2027829,87.0
1705555083.0279968,2029326,83.0
1705555603.6324337,2035756,89.0
1705556120.3063364,2041598,71.0
1705556653.2311304,2052244,182.0
1705556663.271727,2055301,97.0
1705557184.5077853,2061558,272.0
1705557195.7990365,2065393,59.0
1705557700.1136293,2067197,114.0
1705557724.5591614,2074159,168.0
1705557728.1810203,2075438,54.0
1705558238.7160578,2078829,146.0
1705558247.0774543,2081328,265.0
1705558753.5899272,2086056,83.0
1705560344.4741423,2113663,79.0
1705560349.85598,2115138,105.0
1705560355.9254599,2116826,149.0
1705560855.693249,2118563,132.0
1705560879.855808,2124946,127.0
1705561392.6818402,2129951,100.0
1705561398.569621,2131581,143.0
1705561910.7114687,2136480,120.0
1705561917.9412665,2138211,304.0
1705561922.578882,2139336,62.0
1705562446.424924,2145559,52.0
1705562456.5123105,2148058,9.0
