Wall time,Step,Value
1705414660.2140338,14980,40000.0
1705414669.6731195,17477,40000.0
1705415166.8781002,27461,60000.0
1705415176.9447367,29956,60000.0
1705415207.105254,37446,60000.0
1705415667.5897508,39943,80000.0
1705415698.1227455,47442,80000.0
1705415707.8334935,49937,80000.0
1705416177.225914,52432,100000.0
1705416190.9277244,55463,100000.0
1705417661.40212,73612,160000.0
1705418169.1899374,83601,180000.0
1705418186.9675975,88597,180000.0
1705418206.964244,93592,180000.0
1705418687.8978913,96088,200000.0
1705418689.0628374,96373,200000.0
1705418699.231822,99001,200000.0
1705419208.5356588,108988,220000.0
1705419219.1167455,111487,220000.0
1705419706.2670884,113981,240000.0
1705419715.7497969,116475,240000.0
1705419725.854733,118975,240000.0
1705420261.382847,133968,260000.0
1705420752.2304003,138965,280000.0
1705420753.1149504,139260,280000.0
1705420754.679667,139712,280000.0
1705420756.7623293,140251,280000.0
1705421244.528508,143352,300000.0
1705421246.2370005,143742,300000.0
1705421248.2614636,144148,300000.0
1705421249.7829032,144548,300000.0
1705421774.815117,157040,320000.0
1705422296.2718108,167911,340000.0
1705422780.944361,169648,360000.0
1705422783.1107752,170156,360000.0
1705423289.5761518,178357,380000.0
1705424265.5910525,185329,420000.0
1705424750.4337118,187247,440000.0
1705424752.7358696,187756,440000.0
1705425254.33927,192196,460000.0
1705425759.3588464,197697,480000.0
1705425780.1718946,202693,480000.0
1705426765.709734,209350,520000.0
1705426768.1014256,210000,520000.0
1705426778.4784584,212340,520000.0
1705427282.916099,213009,540000.0
1705427820.4321725,217675,560000.0
1705427826.390134,219144,560000.0
1705428362.1618657,224137,580000.0
1705428373.1229897,226634,580000.0
1705428384.84475,229134,580000.0
1705429385.0231483,235773,620000.0
1705429884.7381616,239040,640000.0
1705429890.0125458,240714,640000.0
1705429892.3104248,241405,640000.0
1705429894.585425,242231,640000.0
1705430387.7717934,244654,660000.0
1705430881.1073852,248938,680000.0
1705430901.161112,253934,680000.0
1705430910.0810392,256430,680000.0
1705431407.3507152,260271,700000.0
1705431914.007708,265703,720000.0
1705431917.0336602,266434,720000.0
1705432406.9798155,268614,740000.0
1705432420.3852324,272120,740000.0
1705432908.3678608,273675,760000.0
1705432912.780512,274685,760000.0
1705432919.7147944,276248,760000.0
1705433414.765151,279999,780000.0
1705433425.2354832,282493,780000.0
1705433958.0907726,293867,800000.0
1705434951.3375688,301228,840000.0
1705434955.4846742,302470,840000.0
1705434958.7354178,303274,840000.0
1705435448.1561203,307244,860000.0
1705436456.0672066,316765,900000.0
1705436460.5350015,318134,900000.0
1705436957.5082688,320129,920000.0
1705436965.2630217,322119,920000.0
1705436976.0469556,324964,920000.0
1705437475.6939886,328293,940000.0
1705437478.6034646,328994,940000.0
1705437481.8395307,329822,940000.0
1705437976.9649327,332913,960000.0
1705439007.176183,349395,1000000.0
1705439028.1834476,354393,1000000.0
1705440014.6753595,361203,1040000.0
1705440027.2922695,364125,1040000.0
1705440030.9444642,364969,1040000.0
1705440523.2784305,366392,1060000.0
1705440528.3168314,367597,1060000.0
1705440535.399709,369293,1060000.0
1705441043.3153117,374926,1080000.0
1705441052.827899,377059,1080000.0
1705441549.550266,379241,1100000.0
1705441560.8994308,381848,1100000.0
1705442059.8743153,387171,1120000.0
1705442576.5582347,394874,1140000.0
1705443579.782461,402851,1180000.0
1705443584.177769,404005,1180000.0
1705444096.8110185,410702,1200000.0
1705444099.3569674,411270,1200000.0
1705444596.3075242,414476,1220000.0
1705444599.759733,415260,1220000.0
1705444603.763076,416257,1220000.0
1705445109.1942768,420974,1240000.0
1705445113.369241,421912,1240000.0
1705445616.8432548,425788,1260000.0
1705445648.860407,433275,1260000.0
1705446162.7239664,439304,1280000.0
1705446168.074541,440553,1280000.0
1705446173.1737823,441766,1280000.0
1705446661.6547363,442586,1300000.0
1705446673.6752827,445249,1300000.0
1705447173.2942038,448949,1320000.0
1705447178.2159314,450200,1320000.0
1705447181.9146526,451043,1320000.0
1705447679.9629517,454100,1340000.0
1705447691.5609407,456832,1340000.0
1705448210.048865,463919,1360000.0
1705448698.0530336,466030,1380000.0
1705448719.5625255,471224,1380000.0
1705449208.8573706,473718,1400000.0
1705449230.8226614,478716,1400000.0
1705449241.0428627,481212,1400000.0
1705449754.6506336,487585,1420000.0
1705449760.9963214,489154,1420000.0
1705450267.2355309,494435,1440000.0
1705450756.710686,496696,1460000.0
1705450774.7143354,501050,1460000.0
1705451278.4445846,506326,1480000.0
1705451790.0382936,512065,1500000.0
1705451800.6672564,514629,1500000.0
1705452308.3112278,519094,1520000.0
1705452314.2190826,520605,1520000.0
1705452317.8032339,521406,1520000.0
1705452815.3963206,525384,1540000.0
