Wall time,Step,Value
1705413886.4120677,1519,0.0
1705413887.0204134,1722,2.0
1705413890.349404,2809,0.0
1705413893.0508206,3547,0.0
1705413903.3034222,6779,0.0
1705413910.529608,8994,0.0
1705413911.039844,9129,0.0
1705413913.8323548,9953,0.0
1705413925.249921,10444,0.0
1705413954.397907,11698,0.0
1705413956.3738184,11799,0.0
1705413963.4840245,12092,0.0
1705414132.344368,19194,0.0
1705414236.1647213,21635,0.0
1705414275.8493602,23539,0.0
1705414280.8765302,23773,0.0
1705414316.5118902,25476,0.0
1705414325.5942736,25980,0.0
1705414342.9678533,26804,0.0
1705414376.8183334,28341,0.0
1705414385.252688,28689,0.0
1705414441.9956098,31124,0.0
1705414455.9757686,31727,0.0
1705414460.2812514,31903,0.0
1705414483.3692393,32869,0.0
1705414601.5276551,37857,0.0
1705414632.5396488,39195,0.0
1705414723.70704,41015,0.0
1705414756.5677822,42433,0.0
1705414819.848747,45245,0.0
1705414886.9929075,48433,0.0
1705414938.4256735,50572,0.0
1705414940.5564036,50661,0.0
1705414950.813275,51090,0.0
1705414953.436287,51197,0.0
1705415000.6808403,53160,0.0
1705415005.0723822,53342,0.0
1705415041.9452684,54864,0.0
1705415067.9236717,55970,0.0
1705415118.0013344,58134,2.0
1705415143.096462,59267,0.0
1705415154.2040856,59784,0.0
1705415213.388411,60308,0.0
1705415306.2988904,64457,0.0
1705415342.8081741,66305,1.0
1705415344.617054,66391,0.0
1705415442.461156,70652,1.0
1705415463.031676,71513,1.0
1705415473.28183,71963,0.0
1705415507.12626,73389,0.0
1705415535.438808,74595,1.0
1705415610.039403,77775,0.0
1705415657.8649142,79940,0.0
1705415783.4573286,83334,0.0
1705415796.0977879,83845,0.0
1705415821.385005,85004,0.0
1705415847.8047004,86235,0.0
1705415881.097719,87840,0.0
1705415954.4208102,90951,0.0
1705416000.1517985,92802,0.0
1705416013.764805,93402,0.0
1705416015.1730618,93455,0.0
1705416018.398528,93592,0.0
1705416036.5510085,94335,0.0
1705416037.1072743,94360,0.0
1705416048.7496054,94849,0.0
1705416055.1514077,95134,2.0
1705416084.866511,96358,2.0
1705416245.603312,102221,0.0
1705416298.1434002,104371,0.0
1705416484.64192,112626,1.0
1705416543.5170171,115067,0.0
