Wall time,Step,Value
1705414311.7974277,3194,0.0
1705414320.5553706,5691,0.0
1705414825.2922223,15675,0.0
1705414834.0272532,18170,0.0
1705414863.208056,25660,0.0
1705415338.0535972,28157,0.0
1705415369.3258207,35656,0.0
1705415379.5435238,38151,0.0
1705415856.0930092,40646,0.0
1705415897.1731749,50640,0.0
1705417440.0472794,80606,0.0
1705417952.3923593,90595,0.0
1705417972.4663613,95591,0.0
1705417994.0010622,100586,0.0
1705418480.191628,103082,0.0
1705418500.3616247,108082,0.0
1705418521.2014372,113076,0.0
1705419040.596977,123063,0.0
1705419051.7103586,125562,0.0
1705419541.0840871,128056,0.0
1705419552.2475438,130550,0.0
1705419562.697691,133050,0.0
1705420104.0226018,148043,0.0
1705420603.9972134,153040,3.0
1705420613.817303,155539,5.0
1705420624.6477642,158035,2.0
1705420634.3835762,160532,3.0
1705421139.2727382,166028,0.0
1705421150.5777109,168525,0.0
1705421160.258231,171023,0.0
1705421170.603347,173522,0.0
1705421700.0672836,186014,3.0
1705422233.9444015,198504,0.0
1705422717.0084925,199895,6.0
1705422719.1325586,200357,10.0
1705423213.6979887,203958,10.0
1705424202.3206508,210301,19.0
1705424694.0381234,212540,29.0
1705424696.5259144,213128,13.0
1705425198.256904,217412,13.0
1705425698.7243955,219494,17.0
1705425705.4851367,220959,24.0
1705426705.927396,227465,0.0
1705426715.7595065,229959,0.0
1705426747.6298637,237456,0.0
1705427263.4201589,238224,19.0
1705427816.8614883,243511,18.0
1705427823.2843099,245001,21.0
1705428348.0066302,246812,35.0
1705428351.656966,247739,24.0
1705428354.3700094,248391,28.0
1705429368.2744875,253868,21.0
1705429884.9379299,259214,0.0
1705429901.2608237,264204,0.0
1705429911.0966568,266703,0.0
1705429921.5184793,269200,0.0
1705430443.5509317,276698,0.0
1705430954.869082,282806,45.0
1705430960.7257113,284239,31.0
1705430963.6233764,285022,19.0
1705431463.749254,287511,32.0
1705431981.731974,292905,43.0
1705431985.1690216,293810,33.0
1705432480.881265,295127,14.0
1705432488.4560387,297079,13.0
1705432982.368944,298339,30.0
1705432984.5431108,298959,17.0
1705432991.3415816,300819,33.0
1705433481.7679956,302194,15.0
1705433484.039742,302800,17.0
1705433995.6619017,307459,39.0
1705435010.898114,317415,0.0
1705435021.9388099,319912,0.0
1705435033.0089557,322408,0.0
1705435542.914055,327544,19.0
1705436560.974738,337300,62.0
1705436565.736616,338423,48.0
1705437063.6850436,340152,24.0
1705437074.3522124,342755,57.0
1705437081.7751644,344507,35.0
1705437595.8215861,349470,44.0
1705437598.857134,350286,35.0
1705437602.7106295,351146,24.0
1705438107.5623674,354152,22.0
1705439125.353081,364233,23.0
1705439130.1742065,365539,12.0
1705440129.6426923,370803,43.0
1705440138.3640735,372950,20.0
1705440141.560878,373729,23.0
1705440640.9187672,374878,42.0
1705440644.5496826,375769,24.0
1705440652.2291284,377565,19.0
1705441153.03754,380875,24.0
1705441160.834192,382981,25.0
1705441677.3772182,387976,0.0
1705441698.1849594,392971,0.0
1705442219.110006,399836,65.0
1705442736.7228901,406068,26.0
1705443754.2896464,413900,40.0
