Wall time,Step,Value
1705414311.7975006,3194,40000.0
1705414320.555427,5691,40000.0
1705414825.2923052,15675,60000.0
1705414834.0273128,18170,60000.0
1705414863.208113,25660,60000.0
1705415338.053789,28157,80000.0
1705415369.3259032,35656,80000.0
1705415379.5435774,38151,80000.0
1705415856.0930626,40646,100000.0
1705415897.1732764,50640,100000.0
1705417440.0473313,80606,160000.0
1705417952.3925934,90595,180000.0
1705417972.4665837,95591,180000.0
1705417994.00112,100586,180000.0
1705418480.1917098,103082,200000.0
1705418500.3616803,108082,200000.0
1705418521.2014947,113076,200000.0
1705419040.597061,123063,220000.0
1705419051.7104168,125562,220000.0
1705419541.084168,128056,240000.0
1705419552.2476,130550,240000.0
1705419562.6977444,133050,240000.0
1705420104.0226557,148043,260000.0
1705420603.9972737,153040,280000.0
1705420613.8173661,155539,280000.0
1705420624.6478608,158035,280000.0
1705420634.3836353,160532,280000.0
1705421139.272949,166028,300000.0
1705421150.5777678,168525,300000.0
1705421160.2582884,171023,300000.0
1705421170.6034088,173522,300000.0
1705421700.0675113,186014,320000.0
1705422233.9444578,198504,340000.0
1705422717.0085683,199895,360000.0
1705422719.1328964,200357,360000.0
1705423213.6980448,203958,380000.0
1705424202.3207052,210301,420000.0
1705424694.038178,212540,440000.0
1705424696.5260062,213128,440000.0
1705425198.2569566,217412,460000.0
1705425698.7244549,219494,480000.0
1705425705.4851935,220959,480000.0
1705426705.9274526,227465,520000.0
1705426715.7595923,229959,520000.0
1705426747.629971,237456,520000.0
1705427263.4202375,238224,540000.0
1705427816.8615787,243511,560000.0
1705427823.2846432,245001,560000.0
1705428348.006687,246812,580000.0
1705428351.6571898,247739,580000.0
1705428354.3700876,248391,580000.0
1705429368.2745478,253868,620000.0
1705429884.9379897,259214,640000.0
1705429901.2609074,264204,640000.0
1705429911.096714,266703,640000.0
1705429921.5185318,269200,640000.0
1705430443.5509822,276698,660000.0
1705430954.8691392,282806,680000.0
1705430960.7257628,284239,680000.0
1705430963.623433,285022,680000.0
1705431463.7493112,287511,700000.0
1705431981.7322206,292905,720000.0
1705431985.1692712,293810,720000.0
1705432480.881514,295127,740000.0
1705432488.4561336,297079,740000.0
1705432982.3691645,298339,760000.0
1705432984.5431688,298959,760000.0
1705432991.3416407,300819,760000.0
1705433481.7680733,302194,780000.0
1705433484.0397985,302800,780000.0
1705433995.6619594,307459,800000.0
1705435010.8981688,317415,840000.0
1705435021.9388902,319912,840000.0
1705435033.0090115,322408,840000.0
1705435542.9141183,327544,860000.0
1705436560.9747963,337300,900000.0
1705436565.7366693,338423,900000.0
1705437063.6850994,340152,920000.0
1705437074.3524327,342755,920000.0
1705437081.7752216,344507,920000.0
1705437595.8216476,349470,940000.0
1705437598.857225,350286,940000.0
1705437602.710873,351146,940000.0
1705438107.5624251,354152,960000.0
1705439125.3531637,364233,1000000.0
1705439130.1742613,365539,1000000.0
1705440129.6427488,370803,1040000.0
1705440138.3641307,372950,1040000.0
1705440141.560935,373729,1040000.0
1705440640.9188511,374878,1060000.0
1705440644.5497396,375769,1060000.0
1705440652.2292128,377565,1060000.0
1705441153.0375974,380875,1080000.0
1705441160.8342497,382981,1080000.0
1705441677.3773084,387976,1100000.0
1705441698.185013,392971,1100000.0
1705442219.1100633,399836,1120000.0
1705442736.722945,406068,1140000.0
1705443754.2897108,413900,1180000.0
1705443758.803831,415082,1180000.0
1705444291.2933795,424678,1200000.0
1705444300.065864,427177,1200000.0
1705444829.6181896,434671,1220000.0
1705444839.3108232,437169,1220000.0
1705444848.7791028,439668,1220000.0
1705445366.274321,445172,1240000.0
1705445370.0958974,446089,1240000.0
1705445872.4859827,448003,1260000.0
1705445886.4240007,451184,1260000.0
1705446397.411845,454910,1280000.0
1705446400.4677837,455675,1280000.0
1705446405.503223,456934,1280000.0
1705446915.3430097,459429,1300000.0
1705446935.7016094,464421,1300000.0
1705447450.730544,470083,1320000.0
1705447455.0876803,471191,1320000.0
1705447459.4695728,472180,1320000.0
1705447969.5556943,474966,1340000.0
1705447980.055761,477869,1340000.0
1705448531.23237,491490,1360000.0
1705449034.1888075,493954,1380000.0
1705449046.770336,497325,1380000.0
1705449542.875153,498254,1400000.0
1705449551.5032568,500317,1400000.0
1705449553.763767,500868,1400000.0
1705450069.631091,506248,1420000.0
1705450074.680121,507583,1420000.0
1705450590.2151735,511658,1440000.0
1705451095.6441371,515381,1460000.0
1705451107.6304975,519009,1460000.0
1705451621.345033,523280,1480000.0
1705452133.2570996,526983,1500000.0
1705452144.1886015,529660,1500000.0
1705452676.7400692,538528,1520000.0
1705452686.2244265,541028,1520000.0
1705452695.3215811,543527,1520000.0
1705453196.773961,545161,1540000.0
1705453712.3380516,550067,1560000.0
1705453716.5640924,551022,1560000.0
1705454235.0536726,555832,1580000.0
1705454237.6208222,556460,1580000.0
1705454243.6540766,557944,1580000.0
1705455314.323345,576885,1620000.0
1705455835.433863,582960,1640000.0
1705456859.338137,591021,1680000.0
1705456864.7997887,592487,1680000.0
1705457399.7849526,600986,1700000.0
1705457409.4365385,603484,1700000.0
1705457428.0947266,608475,1700000.0
1705457940.8169608,611066,1720000.0
1705458457.2737827,615285,1740000.0
1705458987.0168953,625095,1760000.0
1705459495.5948567,627441,1780000.0
1705459501.6811912,628998,1780000.0
1705460013.2342231,632074,1800000.0
1705460532.7882884,638411,1820000.0
1705461068.4278917,647846,1840000.0
1705461571.7193637,649012,1860000.0
1705461577.358288,650448,1860000.0
1705461586.794146,652874,1860000.0
1705461594.311393,654867,1860000.0
1705462108.7184854,658311,1880000.0
1705462112.994455,659469,1880000.0
1705462635.8120053,665829,1900000.0
1705462639.9516802,666873,1900000.0
1705464206.9081793,686780,1960000.0
1705464223.2230766,690773,1960000.0
1705464229.1495597,692289,1960000.0
