Wall time,Step,Value
1705413648.451851,1519,0.0
1705413648.9445918,1722,2.0
1705413651.4401464,2809,0.0
1705413652.9494927,3547,0.0
1705413659.3875701,6779,0.0
1705413664.2003694,8994,0.0
1705413664.5086281,9129,0.0
1705413666.642269,9953,0.0
1705413675.430852,10444,0.0
1705413696.9559171,11698,0.0
1705413698.5029492,11799,0.0
1705413703.339771,12092,0.0
1705413817.1473517,18162,0.0
1705413859.051276,20310,0.0
1705413889.3096573,21833,0.0
1705413893.4724524,22033,0.0
1705413932.4576585,23818,0.0
1705413947.2447755,24437,1.0
1705414009.4911425,26949,0.0
1705414017.051894,27248,0.0
1705414070.6959145,29492,0.0
1705414083.2750056,29980,0.0
1705414096.9951441,30533,2.0
1705414121.0618308,31577,0.0
1705414229.9852018,36624,0.0
1705414264.9125447,38250,0.0
1705414359.246123,40307,0.0
1705414393.1715665,41697,0.0
1705414465.11441,44695,0.0
1705414536.9438837,47671,0.0
1705414591.2443075,49919,0.0
1705414593.5241616,50024,0.0
1705414604.705126,50482,1.0
1705414608.5898442,50662,0.0
1705414646.4218545,52334,0.0
1705414652.6252093,52589,0.0
1705414681.5673213,54097,0.0
1705414707.0669246,55260,0.0
1705414759.2813637,57477,0.0
1705414786.7756093,58621,1.0
1705414814.0516515,59881,0.0
1705414959.157763,63951,0.0
1705414994.8304727,65398,0.0
1705414997.016531,65486,0.0
1705415094.2503107,69512,2.0
1705415112.9324305,70260,0.0
1705415126.4664547,70809,0.0
1705415157.737983,72199,0.0
1705415179.128939,73279,0.0
1705415258.9023015,76933,1.0
1705415311.3320026,79212,0.0
1705415451.137003,82918,0.0
1705415461.7575,83345,0.0
1705415490.1164422,84508,2.0
1705415516.4689288,85559,0.0
1705415563.0225325,87466,0.0
1705415630.5182226,90186,0.0
1705415662.807862,91752,0.0
1705415676.8092628,92465,0.0
1705415679.1199005,92569,1.0
1705415682.7008288,92727,0.0
1705415702.6729262,93635,1.0
1705415703.1166472,93664,0.0
1705415711.6806364,94075,0.0
1705415714.3894622,94204,0.0
1705415740.409365,95421,0.0
1705415922.2427983,101045,0.0
1705415974.7034066,103125,0.0
1705416175.8402998,111671,1.0
1705416235.9659524,114189,0.0
1705416239.3024669,114330,0.0
1705416334.2500567,118366,0.0
1705416447.3265915,120938,0.0
1705416461.3699481,121501,0.0
1705416463.815215,121602,2.0
1705416525.351419,124032,0.0
1705416691.188551,131339,0.0
1705416819.5880606,136829,0.0
1705416821.2097013,136898,0.0
1705416863.0523684,138761,0.0
1705416978.2530756,141386,1.0
1705417051.3945005,144280,2.0
1705417056.2977448,144464,0.0
1705417156.7855418,148613,0.0
1705417183.6142786,149869,0.0
1705417251.779356,153068,0.0
1705417306.3558009,155233,0.0
1705417396.1623704,159108,0.0
1705417479.5909276,160284,0.0
1705417483.4681199,160443,0.0
1705417557.5252702,163440,0.0
1705417558.9925916,163503,0.0
1705417629.9778602,166357,0.0
1705417695.9230337,169610,0.0
1705417710.6153686,170302,0.0
1705417728.751508,171142,0.0
1705417863.7772174,176736,0.0
1705417867.4878538,176897,0.0
1705417874.3091269,177201,0.0
1705418024.2942293,181252,0.0
1705418039.910099,181872,0.0
1705418077.7756379,183429,0.0
1705418132.4250405,185653,0.0
1705418192.2428777,188452,0.0
1705418260.889039,191459,0.0
1705418262.3449016,191511,0.0
1705418318.9501374,193725,0.0
1705418338.8356667,194546,0.0
1705418594.6756368,202894,0.0
1705418607.0431147,203378,0.0
1705418658.3243253,205523,0.0
1705418772.2194412,210582,0.0
1705418897.0496922,215723,0.0
1705418945.558984,217754,0.0
1705419082.8161967,221241,0.0
1705419129.8123615,223213,0.0
1705419136.722834,223485,0.0
1705419168.5393884,224814,2.0
1705419188.0075023,225721,2.0
1705419235.4007769,227895,0.0
1705419258.5317588,228817,0.0
1705419351.7443857,232719,0.0
1705419361.3683126,233102,1.0
1705419423.006278,235737,0.0
1705419435.18941,236205,0.0
1705419444.0323083,236567,0.0
1705419521.8410437,239661,0.0
1705419590.9038887,240364,1.0
1705419655.2000802,242931,0.0
1705419779.383708,248390,0.0
1705419833.7685905,250614,0.0
1705419857.387879,251622,0.0
1705419912.0457187,253877,1.0
1705419950.796081,255427,0.0
1705419953.1141121,255512,0.0
1705419967.204794,256076,1.0
1705419993.7010903,257115,0.0
1705420171.3681426,262303,2.0
1705420277.8006835,267081,2.0
1705420298.4325745,267980,0.0
1705420420.219057,272952,2.0
1705420426.0206287,273172,0.0
1705420473.0890098,275061,2.0
1705420572.4630926,279156,0.0
1705420691.9501233,282195,0.0
1705420745.7339647,284465,0.0
1705420766.8620532,285481,0.0
1705420832.3489435,288349,0.0
1705420839.2729743,288644,0.0
1705420843.3338811,288808,0.0
1705420860.59711,289500,1.0
1705420899.865607,291053,0.0
1705421108.1629188,299525,1.0
1705421266.624377,304010,0.0
1705421277.0736687,304486,1.0
1705421319.29992,306283,0.0
1705421514.3311412,314500,0.0
1705421612.858211,318459,0.0
1705421807.4637575,324781,1.0
1705421855.930652,326795,0.0
1705422044.2369606,334527,0.0
1705422055.2920752,334967,1.0
1705422064.4118807,335327,0.0
1705422238.1189797,340180,0.0
1705422275.5482562,341813,2.0
1705422286.4611888,342338,1.0
