Wall time,Step,Value
1705412397.1405957,14980,0.0
1705412403.0268452,17477,0.0
1705412679.6436903,27461,0.0
1705412685.7222383,29956,0.0
1705412703.5316641,37446,0.0
1705412957.618408,37569,0.0
1705412958.578447,37938,0.0
1705412958.888457,38061,0.0
1705413218.650539,38184,0.0
1705413220.0306818,38676,0.0
1705414246.8078957,44900,0.0
1705414735.0898995,52518,0.0
1705414736.4785762,52821,2.0
1705414737.4363048,53067,0.0
1705415205.2630136,55563,0.0
1705415226.0101726,60563,0.0
1705415246.6809003,65557,0.0
1705415742.0117328,75544,0.0
1705415752.2663045,78043,0.0
1705416212.9424558,78386,6.0
1705416213.9367218,78605,2.0
1705416215.2808416,78980,7.0
1705416711.7131078,89602,0.0
1705417191.4725819,94599,0.0
1705417200.6821358,97098,0.0
1705417210.011235,99594,0.0
1705417220.5213077,102091,0.0
1705417689.711193,105335,6.0
1705417699.7192724,107832,5.0
1705417700.8575137,108170,6.0
1705417701.566404,108395,2.0
1705418176.6667533,111171,18.0
1705418648.6511555,113902,15.0
1705419115.767137,115745,12.0
1705419119.0245433,116562,30.0
1705419590.080923,120613,18.0
1705420538.8797934,126705,14.0
1705421013.1476624,128984,18.0
1705421015.5635293,129511,14.0
1705421506.4485006,135677,35.0
1705421979.4349065,137808,14.0
1705421985.3916879,139225,16.0
1705422987.0276926,154914,0.0
1705422996.7074158,157408,0.0
1705423028.978113,164905,0.0
1705423509.6481519,167403,0.0
1705424034.709814,179892,23.0
1705424041.5792584,181582,24.0
1705424520.5159562,183398,36.0
1705424523.2789025,184022,13.0
1705424526.1814158,184676,14.0
1705425503.0872662,189605,24.0
1705425991.9897056,193888,32.0
1705425999.1827567,195483,18.0
1705426001.7235384,196114,13.0
1705426005.8886828,197130,29.0
1705426492.755752,199751,17.0
1705426979.7101839,202363,23.0
1705426989.2324855,204184,19.0
1705426993.0341709,204945,21.0
1705427517.7857459,207493,21.0
1705428052.6704338,212698,30.0
1705428055.605925,213414,16.0
1705428565.9744353,215189,27.0
1705428575.089881,217455,34.0
1705429054.3712325,218974,22.0
1705429058.8766408,220027,35.0
1705429067.4151926,221965,37.0
1705429544.2347834,223247,18.0
1705429547.6362624,224075,25.0
1705430038.9009306,229771,16.0
1705431006.3496227,237313,40.0
1705431009.1350079,238045,20.0
1705431013.9749408,239165,31.0
1705431503.254528,242770,30.0
1705432498.599974,252860,39.0
1705432503.196285,253918,46.0
1705432986.729777,255915,31.0
1705432991.9983854,257499,12.0
1705432999.184083,259251,30.0
1705433480.8781984,262910,34.0
1705433483.1427932,263433,18.0
1705433488.3691592,264976,77.0
1705433973.3612537,267753,26.0
1705434959.3077588,277053,30.0
1705434966.3794231,278930,25.0
1705435937.0553539,284292,21.0
1705435948.8211596,287322,55.0
1705435951.992644,288115,19.0
1705436430.0411222,289103,45.0
1705436435.2545085,290377,68.0
1705436444.7529342,292770,36.0
1705436939.0420828,297315,36.0
1705436953.8123176,300666,23.0
1705437434.1321383,302112,20.0
1705437440.0539238,303566,28.0
1705437945.3748138,310381,13.0
1705438450.306202,317189,45.0
1705439428.7383535,324784,69.0
1705439433.9104464,326079,58.0
1705439953.134162,336095,0.0
1705439962.9422276,338594,0.0
1705440460.7356975,343285,36.0
1705440466.084924,344706,61.0
1705440469.17246,345549,19.0
1705440967.3309636,349667,60.0
1705440973.490215,351232,64.0
1705441467.6513793,353824,48.0
1705441479.1724398,356433,29.0
1705441967.108972,359808,58.0
1705441972.0855334,360913,40.0
1705441975.6480172,361778,30.0
1705442451.1100562,362827,42.0
1705442462.2250555,365594,59.0
1705442952.4516773,369543,41.0
1705442955.881175,370302,21.0
1705442961.7691119,371796,68.0
1705443449.208453,374503,44.0
1705443462.9241612,377890,61.0
1705443966.135672,384076,41.0
1705444446.860676,386848,86.0
1705444465.2975755,391210,59.0
1705444943.114533,392274,35.0
1705444951.6551394,394230,46.0
1705444957.059557,395534,39.0
1705445461.196279,401151,33.0
1705445466.9932032,402550,75.0
1705445986.766981,412538,0.0
1705446490.468372,417535,0.0
1705446520.3480015,425025,0.0
1705447035.1673074,435017,0.0
1705447546.040753,442158,40.0
1705447555.54436,444314,69.0
1705448053.7577462,449067,57.0
1705448058.2900836,450134,42.0
1705448063.488209,451373,60.0
1705448550.0835125,454217,49.0
1705449058.7333274,462077,0.0
1705449069.2039728,464573,0.0
1705449572.9907215,472048,56.0
1705449577.2996502,473117,42.0
1705449581.8211396,474141,43.0
1705450615.0691593,492273,0.0
1705451120.9636705,499608,62.0
1705452117.95819,508375,79.0
1705452123.4602058,509682,84.0
1705452619.9952686,514622,45.0
1705452622.1626546,515210,17.0
1705452630.7622614,517207,31.0
1705453129.3754413,522203,0.0
1705453646.9144723,531227,78.0
1705454171.586269,541653,40.0
1705454659.7919085,544173,52.0
1705454665.9683428,545501,63.0
