Wall time,Step,Value
1705412397.140676,14980,40000.0
1705412403.0269046,17477,40000.0
1705412679.643745,27461,60000.0
1705412685.7222977,29956,60000.0
1705412703.5317168,37446,60000.0
1705412957.61846,37569,80000.0
1705412958.5785484,37938,80000.0
1705412958.8885217,38061,80000.0
1705413218.6506157,38184,100000.0
1705413220.030787,38676,100000.0
1705414246.80795,44900,160000.0
1705414735.089953,52518,180000.0
1705414736.4788048,52821,180000.0
1705414737.4363735,53067,180000.0
1705415205.2630687,55563,200000.0
1705415226.0102327,60563,200000.0
1705415246.680953,65557,200000.0
1705415742.011792,75544,220000.0
1705415752.266368,78043,220000.0
1705416212.9425116,78386,240000.0
1705416213.9369485,78605,240000.0
1705416215.2808988,78980,240000.0
1705416711.713161,89602,260000.0
1705417191.4726408,94599,280000.0
1705417200.682195,97098,280000.0
1705417210.011319,99594,280000.0
1705417220.5215292,102091,280000.0
1705417689.7112489,105335,300000.0
1705417699.7193317,107832,300000.0
1705417700.8575933,108170,300000.0
1705417701.5664985,108395,300000.0
1705418176.6668367,111171,320000.0
1705418648.6513991,113902,340000.0
1705419115.767194,115745,360000.0
1705419119.0245953,116562,360000.0
1705419590.0809786,120613,380000.0
1705420538.8800235,126705,420000.0
1705421013.1477365,128984,440000.0
1705421015.563588,129511,440000.0
1705421506.4485579,135677,460000.0
1705421979.4349961,137808,480000.0
1705421985.391745,139225,480000.0
1705422987.0277483,154914,520000.0
1705422996.7075074,157408,520000.0
1705423028.978183,164905,520000.0
1705423509.6482067,167403,540000.0
1705424034.7098694,179892,560000.0
1705424041.5793326,181582,560000.0
1705424520.516012,183398,580000.0
1705424523.2789543,184022,580000.0
1705424526.1814687,184676,580000.0
1705425503.0873241,189605,620000.0
1705425991.9897614,193888,640000.0
1705425999.1828096,195483,640000.0
1705426001.723592,196114,640000.0
1705426005.8887389,197130,640000.0
1705426492.7558093,199751,660000.0
1705426979.7102454,202363,680000.0
1705426989.232588,204184,680000.0
1705426993.0342267,204945,680000.0
1705427517.7858064,207493,700000.0
1705428052.6704865,212698,720000.0
1705428055.6059804,213414,720000.0
1705428565.974516,215189,740000.0
1705428575.089968,217455,740000.0
1705429054.3712902,218974,760000.0
1705429058.8766947,220027,760000.0
1705429067.415247,221965,760000.0
1705429544.2348378,223247,780000.0
1705429547.636318,224075,780000.0
1705430038.9009852,229771,800000.0
1705431006.3496737,237313,840000.0
1705431009.1350636,238045,840000.0
1705431013.9749951,239165,840000.0
1705431503.2545888,242770,860000.0
1705432498.6000457,252860,900000.0
1705432503.1963477,253918,900000.0
1705432986.7298343,255915,920000.0
1705432991.9984987,257499,920000.0
1705432999.1841424,259251,920000.0
1705433480.878259,262910,940000.0
1705433483.14287,263433,940000.0
1705433488.3692155,264976,940000.0
1705433973.3613503,267753,960000.0
1705434959.3078442,277053,1000000.0
1705434966.3794887,278930,1000000.0
1705435937.0554128,284292,1040000.0
1705435948.821245,287322,1040000.0
1705435951.9927027,288115,1040000.0
1705436430.0412245,289103,1060000.0
1705436435.2545612,290377,1060000.0
