Wall time,Step,Value
1705411960.5035243,1519,0.0
1705411960.9276567,1722,2.0
1705411962.9872544,2809,0.0
1705411964.223212,3547,0.0
1705411970.009332,6779,0.0
1705411973.8858051,8994,0.0
1705411974.0979898,9129,0.0
1705411975.564744,9953,0.0
1705411982.1944606,10444,0.0
1705411999.024492,11698,0.0
1705412000.2465968,11799,0.0
1705412004.2222695,12092,0.0
1705412080.154653,18321,0.0
1705412142.53699,20719,0.0
1705412162.1040773,22233,0.0
1705412164.8829181,22451,1.0
1705412189.228644,24431,0.0
1705412194.3978841,24902,1.0
1705412228.143136,27507,0.0
1705412231.916982,27763,1.0
1705412259.562554,30216,0.0
1705412269.3876495,30936,0.0
1705412272.4908643,31151,0.0
1705412286.5431132,32163,0.0
1705412366.6738791,38149,0.0
1705412386.8889017,39680,0.0
1705412442.0294435,41550,0.0
1705412463.4866586,43197,0.0
1705412496.4531345,46022,0.0
1705412536.240486,49179,0.0
1705412567.9258094,51706,1.0
1705412569.040026,51788,0.0
1705412576.4144514,52313,0.0
1705412580.6371305,52605,0.0
1705412601.766887,54436,0.0
1705412604.7658951,54710,0.0
1705412626.24222,56557,0.0
1705412645.3450055,57926,0.0
1705412704.0905411,60037,0.0
1705412716.0432148,60923,0.0
1705412731.9760425,62075,0.0
1705412785.5147831,66364,0.0
1705412807.1097064,67963,0.0
1705412809.1048594,68131,0.0
1705412858.004314,72039,4.0
1705412870.09513,73008,0.0
1705412874.9431412,73472,0.0
1705412890.9491072,74929,0.0
1705412905.5387323,76155,0.0
1705412952.0109992,79610,0.0
1705412987.7088115,82098,1.0
1705413028.3186178,85071,0.0
1705413032.9366431,85409,0.0
1705413048.226088,86499,0.0
1705413061.7583904,87498,0.0
1705413077.63346,88885,0.0
1705413117.6840355,92105,0.0
1705413141.5358636,93862,0.0
1705413149.4060793,94433,0.0
1705413150.6193972,94514,1.0
1705413155.179215,94849,1.0
1705413166.6087554,95785,0.0
1705413167.1954103,95844,1.0
1705413172.8972392,96343,0.0
1705413174.8588343,96523,0.0
1705413188.253044,97765,0.0
1705413261.5517533,103059,1.0
