Wall time,Step,Value
1705412329.6820877,12684,2.0
1705412330.3928773,12975,4.0
1705412592.7519765,16119,0.0
1705412598.6587029,18614,0.0
1705412616.3604226,26104,0.0
1705412874.0019712,28601,0.0
1705412891.6179578,36100,0.0
1705412897.9267106,38595,0.0
1705413166.1302583,41090,0.0
1705413189.321349,51084,0.0
1705414298.60365,81050,0.0
1705414801.5720496,91039,0.0
1705414821.1559923,96035,0.0
1705414839.9281847,101030,0.0
1705415305.7362711,103526,0.0
1705415325.81598,108526,0.0
1705415343.9319544,113520,0.0
1705415840.8305426,123507,0.0
1705415850.7970548,126006,0.0
1705416323.2682858,128500,0.0
1705416333.4055965,130994,0.0
1705416344.0772955,133494,0.0
1705416865.2882028,148487,0.0
1705417349.3147812,153484,0.0
1705417359.3096633,155983,0.0
1705417369.8100054,158479,0.0
1705417381.507815,160976,0.0
1705417864.5258713,168465,1.0
1705417866.4944065,168903,3.0
1705417876.862482,171401,4.0
1705417887.2443244,173900,1.0
1705418396.7139742,186392,0.0
1705418912.1566591,198882,0.0
1705419395.6173205,204465,5.0
1705419398.294194,205127,21.0
1705419876.789473,210506,12.0
1705420828.6326318,215322,11.0
1705421308.8319938,217291,21.0
1705421312.1028547,218011,18.0
1705421798.3687522,222981,18.0
1705422272.1154962,224707,12.0
1705422277.1792376,226017,15.0
1705423282.443261,241690,0.0
1705423292.2549732,244184,0.0
1705423322.7127833,251681,0.0
1705423804.825491,254179,0.0
1705424348.2361012,271655,0.0
1705424366.540051,276655,0.0
1705424854.5835657,278064,30.0
1705424858.7551813,279079,29.0
1705424862.7236066,280107,40.0
1705425827.2931452,284905,25.0
1705426318.3725243,288880,31.0
1705426323.632124,290107,10.0
1705426326.4495893,290697,17.0
1705426329.2454364,291385,29.0
1705426810.5669415,294074,25.0
1705427321.410825,296387,31.0
1705427329.0203514,297996,39.0
1705427334.469985,299127,34.0
1705427871.3157964,304944,0.0
1705428424.7552822,314797,36.0
1705428429.402413,315761,33.0
1705428913.4815507,317518,30.0
1705428922.4610033,319830,25.0
1705429405.2077227,321766,42.0
1705429407.5992525,322482,19.0
1705429415.4823017,324332,28.0
1705429898.5957983,326037,29.0
1705429901.6932037,326981,38.0
1705430409.9375436,334428,16.0
1705431386.5821953,341085,23.0
1705431390.721046,342152,39.0
1705431393.8399954,342903,20.0
1705431884.0996802,346471,28.0
1705432872.1510258,355015,14.0
1705432875.9402716,355827,34.0
1705433358.7675827,357885,25.0
1705433369.97608,360439,43.0
1705433379.752351,362608,53.0
1705433866.4026217,365326,44.0
1705433871.8619852,366562,57.0
1705433875.0360441,367317,31.0
1705434361.987325,369951,30.0
1705435351.0270836,380299,26.0
1705435358.6808016,382055,24.0
1705436345.5560436,390295,0.0
1705436376.6977983,397794,0.0
1705436387.440505,400295,0.0
1705436866.1961794,401214,51.0
1705436871.2589839,402371,46.0
