Wall time,Step,Value
1705412329.682147,12684,40000.0
1705412330.3929362,12975,40000.0
1705412592.7520325,16119,60000.0
1705412598.6587594,18614,60000.0
1705412616.3604786,26104,60000.0
1705412874.0020473,28601,80000.0
1705412891.6180165,36100,80000.0
1705412897.9267683,38595,80000.0
1705413166.1303153,41090,100000.0
1705413189.3214376,51084,100000.0
1705414298.603702,81050,160000.0
1705414801.5721066,91039,180000.0
1705414821.156052,96035,180000.0
1705414839.9282677,101030,180000.0
1705415305.7363284,103526,200000.0
1705415325.8160355,108526,200000.0
1705415343.9320128,113520,200000.0
1705415840.8305976,123507,220000.0
1705415850.797111,126006,220000.0
1705416323.2683618,128500,240000.0
1705416333.405657,130994,240000.0
1705416344.0773592,133494,240000.0
1705416865.2882638,148487,260000.0
1705417349.314839,153484,280000.0
1705417359.3097181,155983,280000.0
1705417369.8100827,158479,280000.0
1705417381.5078692,160976,280000.0
1705417864.5259418,168465,300000.0
1705417866.4944665,168903,300000.0
1705417876.8625374,171401,300000.0
1705417887.244395,173900,300000.0
1705418396.7140284,186392,320000.0
1705418912.1567152,198882,340000.0
1705419395.6175883,204465,360000.0
1705419398.2944946,205127,360000.0
1705419876.789526,210506,380000.0
1705420828.6326933,215322,420000.0
1705421308.8320494,217291,440000.0
1705421312.1031168,218011,440000.0
1705421798.368811,222981,460000.0
1705422272.1155512,224707,480000.0
1705422277.1792982,226017,480000.0
1705423282.467846,241690,520000.0
1705423292.255029,244184,520000.0
1705423322.7128582,251681,520000.0
1705423804.825546,254179,540000.0
1705424348.2361584,271655,560000.0
1705424366.5401068,276655,560000.0
1705424854.5836594,278064,580000.0
1705424858.7552369,279079,580000.0
1705424862.723699,280107,580000.0
1705425827.293196,284905,620000.0
1705426318.372576,288880,640000.0
1705426323.6321797,290107,640000.0
1705426326.4496436,290697,640000.0
1705426329.2455204,291385,640000.0
1705426810.5669944,294074,660000.0
1705427321.410884,296387,680000.0
1705427329.0204105,297996,680000.0
1705427334.4700782,299127,680000.0
1705427871.3159966,304944,700000.0
1705428424.7553334,314797,720000.0
1705428429.4024858,315761,720000.0
1705428913.481611,317518,740000.0
1705428922.4610574,319830,740000.0
1705429405.2077775,321766,760000.0
1705429407.5993104,322482,760000.0
1705429415.4823928,324332,760000.0
1705429898.5960524,326037,780000.0
1705429901.6932533,326981,780000.0
1705430409.9376378,334428,800000.0
1705431386.5822544,341085,840000.0
1705431390.7211285,342152,840000.0
1705431393.8400934,342903,840000.0
1705431884.099737,346471,860000.0
1705432872.1513643,355015,900000.0
1705432875.9403276,355827,900000.0
1705433358.7676382,357885,920000.0
1705433369.9761338,360439,920000.0
1705433379.7524722,362608,920000.0
1705433866.4026732,365326,940000.0
1705433871.862041,366562,940000.0
1705433875.0361128,367317,940000.0
1705434361.9873874,369951,960000.0
1705435351.0271375,380299,1000000.0
1705435358.6808558,382055,1000000.0
1705436345.5561073,390295,1040000.0
1705436376.6978805,397794,1040000.0
1705436387.4405746,400295,1040000.0
1705436866.1962368,401214,1060000.0
1705436871.2590628,402371,1060000.0
1705436881.8002248,404795,1060000.0
1705437373.5154965,408327,1080000.0
1705437381.155811,409860,1080000.0
1705437870.3872085,411554,1100000.0
1705437877.7870924,413478,1100000.0
1705438369.112197,417446,1120000.0
1705438877.2658498,425546,1140000.0
1705439862.228612,433256,1180000.0
1705439867.835449,434498,1180000.0
1705440359.7404866,438934,1200000.0
1705440364.1714017,440025,1200000.0
1705440854.437679,443346,1220000.0
1705440858.6047382,444395,1220000.0
1705440861.8336003,445056,1220000.0
1705441358.806967,449126,1240000.0
1705441365.7576714,450737,1240000.0
1705441847.0387478,452607,1260000.0
1705441858.215314,455141,1260000.0
1705442355.1903367,459721,1280000.0
1705442361.3224068,461126,1280000.0
