Wall time,Step,Value
1705411923.7687552,1519,0.0
1705411924.103264,1722,2.0
1705411925.6767035,2809,0.0
1705411926.7051187,3547,0.0
1705411931.2503595,6779,0.0
1705411934.5992258,8994,0.0
1705411934.794668,9129,0.0
1705411936.1371856,9953,0.0
1705411940.8243802,10444,0.0
1705411950.838765,11698,0.0
1705411951.6054885,11799,0.0
1705411954.306926,12092,0.0
1705412016.8325295,17749,0.0
1705412046.2112248,19944,0.0
1705412098.2334979,21519,0.0
1705412104.1143055,21979,1.0
1705412126.7629669,24065,0.0
1705412131.8337088,24552,1.0
1705412161.551607,26748,0.0
1705412166.4459248,27132,0.0
1705412193.9380105,29454,0.0
1705412200.3320878,30012,0.0
1705412204.254656,30297,0.0
1705412218.6654038,31391,0.0
1705412282.6139975,36514,0.0
1705412302.4467604,38020,0.0
1705412332.9959116,40080,1.0
1705412355.3917553,41672,1.0
1705412395.9589005,44772,2.0
1705412431.171077,47943,0.0
1705412462.4576082,50244,1.0
1705412463.513671,50320,0.0
1705412470.172009,50828,0.0
1705412472.4959912,50978,0.0
1705412493.5683203,52828,0.0
1705412496.5948725,53068,1.0
1705412519.2235835,54787,0.0
1705412535.4744136,56040,0.0
1705412562.6742094,58205,0.0
1705412577.4672124,59286,0.0
1705412585.3715289,59878,0.0
1705412623.855676,60586,1.0
1705412674.22469,64381,1.0
1705412689.2530062,65852,0.0
1705412690.0769587,65934,0.0
1705412742.596084,70203,0.0
1705412758.4761436,71375,1.0
1705412763.7970123,71760,0.0
1705412781.3549237,73359,0.0
1705412797.336496,74561,1.0
1705412842.98289,78178,1.0
1705412906.436635,80640,0.0
1705412955.419686,84153,0.0
1705412960.5264769,84580,0.0
1705412974.794162,85627,0.0
1705412991.3177307,86810,0.0
1705413012.81445,88380,0.0
1705413053.4976962,91493,0.0
1705413076.9900603,93506,0.0
1705413087.6463444,94333,1.0
1705413088.3163934,94385,0.0
1705413090.643834,94568,1.0
1705413100.443875,95426,0.0
1705413101.003127,95482,1.0
1705413106.8449502,96022,2.0
1705413108.6108623,96170,0.0
1705413125.3068185,97419,1.0
1705413239.6850102,103662,0.0
1705413266.3016548,105588,0.0
1705413374.84018,113931,0.0
1705413407.8473487,116650,0.0
1705413410.460626,116828,1.0
1705413500.7750506,121309,0.0
1705413538.8854392,124061,0.0
1705413546.5796432,124638,0.0
1705413546.8760335,124663,0.0
1705413578.796191,127000,0.0
1705413680.3606827,133971,0.0
1705413778.8849356,139280,2.0
1705413779.990544,139332,0.0
1705413853.808252,141184,0.0
1705413910.6128457,144022,0.0
1705413972.2027442,146612,0.0
1705413980.0122774,146935,0.0
1705414077.6412597,150894,0.0
1705414103.155447,151903,1.0
1705414124.9400036,152870,0.0
1705414164.0254753,154696,0.0
1705414218.169479,157264,0.0
1705414338.0529819,160515,0.0
1705414366.3685915,161781,0.0
1705414370.9808676,161978,0.0
1705414457.8366694,165625,0.0
1705414458.9602768,165678,0.0
1705414534.7201953,168822,0.0
1705414614.6960156,172109,0.0
1705414627.3473804,172651,0.0
1705414646.1906703,173544,0.0
1705414768.0364487,179063,1.0
1705414771.0388296,179176,0.0
1705414778.8536875,179475,0.0
1705414929.0693588,183836,2.0
1705414940.369153,184313,0.0
1705414972.567108,185665,1.0
1705415019.3440392,187610,0.0
1705415093.0331068,190698,0.0
1705415159.8353126,193677,0.0
1705415160.3705766,193726,0.0
1705415206.6593173,196065,0.0
1705415227.793144,197084,1.0
1705415464.0917473,205121,0.0
1705415475.6725032,205576,0.0
1705415529.1413527,207806,0.0
1705415644.9764664,212685,0.0
1705415747.3565402,217814,1.0
1705415788.7637703,219529,0.0
1705415910.6792116,222696,0.0
1705415964.6055555,224921,0.0
1705415969.85004,225151,0.0
1705415999.9295726,226397,0.0
1705416017.7415998,227112,0.0
1705416072.7503946,229378,2.0
1705416092.831394,230226,0.0
1705416185.4369016,234505,0.0
1705416191.1547937,234804,0.0
1705416264.2650833,237890,3.0
1705416275.1052134,238377,0.0
1705416280.6149266,238613,1.0
1705416396.238468,241356,0.0
1705416416.9018302,242279,0.0
1705416488.9349248,245305,0.0
1705416632.7626805,251312,1.0
1705416686.2978308,253954,1.0
1705416706.1259172,255059,0.0
1705416768.1113863,257732,1.0
1705416812.1445386,259546,0.0
1705416814.7123938,259653,0.0
1705416876.397978,260019,0.0
1705416908.1271808,261409,0.0
1705417019.033622,266159,1.0
1705417137.1989222,270992,0.0
1705417161.2664094,272025,0.0
1705417289.706933,277955,0.0
1705417299.0864096,278366,0.0
1705417405.7295465,280555,0.0
1705417503.1149578,284955,1.0
1705417575.6729863,287997,0.0
1705417634.866209,290475,0.0
1705417663.0914023,291798,1.0
1705417727.1385863,295084,0.0
1705417734.3346422,295383,0.0
1705417737.3948836,295514,0.0
1705417755.8855612,296260,0.0
1705417787.4579775,297591,1.0
1705418047.4617403,306942,0.0
1705418160.1011457,311602,0.0
1705418170.914689,312141,2.0
1705418205.1921718,313921,0.0
1705418449.4895017,322194,0.0
1705418554.9956775,326864,2.0
1705418697.399242,333112,5.0
1705418742.9921286,335045,0.0
1705418982.2471752,342950,0.0
1705418989.6081703,343234,0.0
1705419000.0874946,343661,1.0
1705419121.004482,349057,0.0
1705419167.7588587,351019,0.0
1705419185.0570102,351806,4.0
1705419306.4786303,357290,1.0
1705419352.9092462,359228,0.0
1705419458.531412,362474,1.0
1705419680.428395,372153,0.0
1705419715.7466977,373862,2.0
1705419720.0912745,374096,0.0
1705419747.856537,375401,1.0
1705419758.6212149,375847,1.0
1705419834.6524181,379115,0.0
1705419841.1533284,379379,0.0
1705419942.7590663,382714,2.0
1705420236.6079047,395346,3.0
1705420314.0619466,398908,0.0
1705420361.8753173,400349,0.0
1705420488.5366313,405482,2.0
1705420538.8707685,407602,2.0
1705420626.3122942,411390,2.0
1705420635.6039095,411818,0.0
1705420654.268372,412595,1.0
1705420768.0428371,417610,0.0
1705420799.9434211,418972,1.0
1705420820.7552183,419939,0.0
1705421039.4323013,428585,0.0
1705421127.2299054,432201,1.0
1705421329.7463357,440295,0.0
1705421357.9841955,441548,0.0
1705421622.0570323,452560,1.0
1705421634.1154437,453047,0.0
1705421760.7394068,458637,0.0
1705421765.1146255,458850,2.0
1705421881.5317256,463517,0.0
1705421933.9132829,465776,1.0
1705422040.0733929,470221,0.0
1705422082.5764084,472013,0.0
1705422101.0303211,472793,0.0
1705422123.3970666,473699,0.0
1705422183.647572,476224,0.0
1705422246.7200642,479035,2.0
1705422249.1292589,479134,2.0
1705422287.8605163,480378,0.0
1705422338.9357798,482734,2.0
1705422382.202389,484555,2.0
1705422394.2200274,485100,0.0
1705422466.1946013,488100,0.0
1705422470.8843238,488333,1.0
1705422522.0420642,490575,1.0
1705422554.4250593,491899,1.0
1705422558.4361837,492054,0.0
1705422562.5629833,492232,2.0
1705422621.3778071,494616,0.0
1705422739.6839764,499520,2.0
1705422810.9134915,500485,0.0
1705422825.6597164,501157,1.0
1705422905.14995,504627,0.0
1705422909.02109,504793,3.0
1705423006.7699134,508901,0.0
1705423233.3568382,518392,3.0
1705423352.4062161,521324,1.0
1705423384.6000874,522639,0.0
1705423433.7253714,524761,0.0
1705423450.0282238,525422,0.0
1705423477.538827,526593,1.0
1705423512.8157485,528124,1.0
1705423616.163731,532536,0.0
1705423651.812125,533978,0.0
1705423673.3849967,534855,0.0
1705423793.1064916,539928,0.0
1705424009.0847414,547013,1.0
1705424160.8037236,553360,1.0
1705424169.0451622,553710,4.0
1705424223.1470854,556011,1.0
1705424277.3809206,558353,0.0
1705424481.3399873,564815,0.0
1705424523.2367342,566547,0.0
1705424558.2312956,568014,1.0
1705424620.0051003,570512,0.0
1705424726.7162166,574968,1.0
1705424918.2144423,582327,0.0
1705424992.719802,585461,0.0
