Wall time,Step,Value
1706057050.9185097,1339,100.0
1706057051.7744944,1653,75.0
1706057449.056867,3447,375.0
1706057453.4101596,4921,25.0
1706057649.04737,5332,175.0
1706057652.5334663,6704,600.0
1706057653.6035051,7113,175.0
1706057847.5187967,7413,200.0
1706057849.4462006,8169,300.0
1706057850.4285526,8557,250.0
1706058050.550273,9700,200.0
1706058051.65624,10053,250.0
1706058468.3451045,15165,275.0
1706058669.3215022,15867,225.0
1706058878.4175215,19018,600.0
1706058880.0974162,19522,225.0
1706058881.893199,20090,250.0
1706059082.0476344,20656,125.0
1706059085.1933932,21663,450.0
1706059289.8209512,22911,300.0
1706059490.982779,24140,375.0
1706059493.165727,24836,400.0
1706059494.8303301,25375,475.0
1706059496.7819195,26082,650.0
1706059698.6311157,27184,400.0
1706059700.0574434,27687,375.0
1706059701.5596483,28193,725.0
1706059703.7309456,29024,1400.0
1706059907.1824489,30047,400.0
1706059908.3032694,30494,750.0
1706060116.0396338,33249,525.0
1706060118.040666,34033,325.0
1706060322.367975,34653,875.0
1706060324.8994267,35535,250.0
1706060534.57464,37251,875.0
1706060540.1840355,39094,275.0
1706060956.8310568,44835,450.0
1706061162.0928357,45402,800.0
1706061166.0892818,46684,675.0
1706061376.002514,47900,300.0
1706061377.074007,48326,450.0
1706061379.380158,49269,400.0
1706061790.0519853,52794,375.0
1706061998.6446087,55491,750.0
1706062207.3496156,58525,775.0
1706062208.784863,59071,400.0
1706062212.2981443,60404,275.0
1706062417.1239572,61494,600.0
1706062418.9728813,62237,675.0
1706062628.7036521,65016,625.0
1706062630.130295,65574,425.0
1706062842.2422676,69372,375.0
1706063050.8844676,70847,650.0
1706063052.4773517,71364,725.0
1706063263.5139897,73260,750.0
1706063477.1092663,77204,375.0
1706063684.7904096,78735,325.0
1706063688.197075,80038,325.0
1706063690.8537974,81089,675.0
1706064109.6453173,84278,425.0
1706064111.2769635,84856,775.0
1706064112.279926,85233,575.0
1706064321.3460977,86759,275.0
1706064322.6135008,87272,250.0
1706064324.1497705,87874,300.0
1706064534.3379679,90191,375.0
1706064539.2774942,92014,775.0
1706064746.68466,92696,775.0
1706064748.1558652,93258,675.0
1706064958.1345057,95729,500.0
1706064960.0062773,96481,375.0
1706064961.854207,97226,950.0
1706065181.4309232,102550,550.0
1706065394.2695572,105368,1000.0
1706065396.418795,106233,1025.0
1706065397.9238064,106827,650.0
1706065606.1697938,107351,250.0
