Wall time,Step,Value
1706057050.918567,1339,20000.0
1706057051.7745295,1653,20000.0
1706057449.0569108,3447,60000.0
1706057453.410205,4921,60000.0
1706057649.0474167,5332,80000.0
1706057652.533515,6704,80000.0
1706057653.603564,7113,80000.0
1706057847.5188487,7413,100000.0
1706057849.4462812,8169,100000.0
1706057850.428608,8557,100000.0
1706058050.550365,9700,120000.0
1706058051.6562877,10053,120000.0
1706058468.3451722,15165,160000.0
1706058669.3215408,15867,180000.0
1706058878.4175754,19018,200000.0
1706058880.0974724,19522,200000.0
1706058881.8932416,20090,200000.0
1706059082.0477016,20656,220000.0
1706059085.1934373,21663,220000.0
1706059289.8209875,22911,240000.0
1706059490.982827,24140,260000.0
1706059493.1657913,24836,260000.0
1706059494.8303938,25375,260000.0
1706059496.7819614,26082,260000.0
1706059698.63118,27184,280000.0
1706059700.0574923,27687,280000.0
1706059701.5597107,28193,280000.0
1706059703.7310078,29024,280000.0
1706059907.182488,30047,300000.0
1706059908.3033044,30494,300000.0
1706060116.0396717,33249,320000.0
1706060118.040717,34033,320000.0
1706060322.3680212,34653,340000.0
1706060324.8994627,35535,340000.0
1706060534.5747,37251,360000.0
1706060540.1840863,39094,360000.0
1706060956.8311045,44835,400000.0
1706061162.0928752,45402,420000.0
1706061166.089324,46684,420000.0
1706061376.0025585,47900,440000.0
1706061377.0740442,48326,440000.0
1706061379.380195,49269,440000.0
1706061790.0520384,52794,480000.0
1706061998.6446562,55491,500000.0
1706062207.3496647,58525,520000.0
1706062208.7849019,59071,520000.0
1706062212.298219,60404,520000.0
1706062417.1240005,61494,540000.0
1706062418.972918,62237,540000.0
1706062628.7037008,65016,560000.0
1706062630.130332,65574,560000.0
1706062842.2423182,69372,580000.0
1706063050.8845224,70847,600000.0
1706063052.4773874,71364,600000.0
1706063263.5140655,73260,620000.0
1706063477.109319,77204,640000.0
1706063684.7904482,78735,660000.0
1706063688.1971257,80038,660000.0
1706063690.853834,81089,660000.0
1706064109.645381,84278,700000.0
1706064111.2770128,84856,700000.0
1706064112.27998,85233,700000.0
1706064321.3461506,86759,720000.0
1706064322.6135385,87272,720000.0
1706064324.149811,87874,720000.0
1706064534.3380144,90191,740000.0
1706064539.2775464,92014,740000.0
1706064746.6847014,92696,760000.0
1706064748.155963,93258,760000.0
1706064958.134559,95729,780000.0
1706064960.006329,96481,780000.0
1706064961.854258,97226,780000.0
1706065181.4309597,102550,800000.0
1706065394.2695951,105368,820000.0
1706065396.4188335,106233,820000.0
1706065397.9238446,106827,820000.0
1706065606.169843,107351,840000.0
1706065609.697465,108713,840000.0
1706065612.6482978,109895,840000.0
1706065821.0236435,110912,860000.0
1706065823.9112635,112038,860000.0
1706066036.171969,113784,880000.0
1706066038.2195582,114519,880000.0
1706066044.7591984,117060,880000.0
1706066252.0790515,117726,900000.0
1706066254.6667678,118748,900000.0
1706066256.1283405,119348,900000.0
1706066259.778867,120792,900000.0
1706066479.927338,125447,920000.0
1706066912.8335426,133348,960000.0
1706067122.9531434,134337,980000.0
1706067128.0306308,136287,980000.0
1706067338.2704186,136876,1000000.0
1706067340.190805,137609,1000000.0
1706067563.696061,142279,1020000.0
1706067783.9862883,144986,1040000.0
1706067786.1684725,145723,1040000.0
1706067994.8868525,146136,1060000.0
1706067998.1655571,147413,1060000.0
1706068431.8508043,154636,1100000.0
1706068433.1926482,155151,1100000.0
1706068438.2256923,157037,1100000.0
1706068651.1997576,158464,1120000.0
1706068655.9685473,160323,1120000.0
1706068870.3688862,162197,1140000.0
1706068874.998713,163969,1140000.0
1706068877.4502976,164926,1140000.0
1706069089.540712,166411,1160000.0
1706069093.5533075,167975,1160000.0
1706069095.4842837,168655,1160000.0
1706069307.3616729,170025,1180000.0
1706069528.312569,174295,1200000.0
1706069530.0245814,174932,1200000.0
1706069531.2514482,175423,1200000.0
1706069533.2186081,176205,1200000.0
1706069966.667268,182838,1240000.0
1706069969.6779943,184065,1240000.0
1706069971.5164242,184823,1240000.0
1706070190.587599,186958,1260000.0
1706070407.617274,189704,1280000.0
1706070412.094535,191539,1280000.0
1706070414.70045,192533,1280000.0
1706070629.4895773,194832,1300000.0
1706070633.9536753,196535,1300000.0
1706070854.4917738,200982,1320000.0
1706071069.9041533,202579,1340000.0
1706071071.4881718,203216,1340000.0
1706071292.294388,207222,1360000.0
1706071294.5009248,208026,1360000.0
1706071509.8008187,209254,1380000.0
1706071514.7236211,210914,1380000.0
1706071730.031621,212006,1400000.0
1706071731.7868106,212557,1400000.0
1706071953.874044,215523,1420000.0
1706071958.830792,217229,1420000.0
1706071964.1043117,219014,1420000.0
1706072183.3371081,221931,1440000.0
1706072401.4202561,224804,1460000.0
1706072403.4778512,225509,1460000.0
1706072405.45098,226227,1460000.0
1706072617.145282,227080,1480000.0
1706072619.4572017,228015,1480000.0
1706072621.4924967,228806,1480000.0
1706072847.5948205,234327,1500000.0
1706073064.3153744,237079,1520000.0
1706073065.926786,237715,1520000.0
1706073506.1501098,244629,1560000.0
1706073725.3262224,247836,1580000.0
1706073727.9964561,248876,1580000.0
1706073730.2820847,249790,1580000.0
1706073732.5771186,250664,1580000.0
1706073734.8133187,251508,1580000.0
1706073952.3152635,253894,1600000.0
1706074173.3407605,257457,1620000.0
1706074176.8301017,258769,1620000.0
1706074397.9290628,262351,1640000.0
1706074399.1913948,262845,1640000.0
1706074619.9545221,266174,1660000.0
1706074622.210856,266967,1660000.0
1706074838.8357024,267838,1680000.0
1706074845.5036771,270097,1680000.0
1706075065.0240233,273133,1700000.0
1706075067.360579,274033,1700000.0
1706075286.9536495,276219,1720000.0
1706075289.257272,277098,1720000.0
1706075510.098644,280447,1740000.0
1706075732.297587,283878,1760000.0
1706075734.3230147,284656,1760000.0
1706075736.420676,285442,1760000.0
1706075740.6572645,287184,1760000.0
1706075953.919022,288017,1780000.0
1706075956.1200917,288910,1780000.0
1706075959.931104,290437,1780000.0
1706075961.9289925,291169,1780000.0
1706076176.77343,292177,1800000.0
1706076178.7270443,292927,1800000.0
1706076402.2016056,296761,1820000.0
1706076407.252068,298765,1820000.0
1706076408.6458585,299279,1820000.0
1706076411.2145133,300326,1820000.0
1706076627.3488994,301692,1840000.0
1706076848.9015458,304433,1860000.0
1706076851.6048238,305358,1860000.0
1706077079.5970943,308973,1880000.0
1706077081.8200476,309792,1880000.0
1706077086.7376423,311451,1880000.0
1706077308.1655085,313037,1900000.0
1706077314.8076336,315202,1900000.0
1706077536.50893,316134,1920000.0
1706077545.0255094,319021,1920000.0
1706077547.8410928,319923,1920000.0
1706077767.2806213,320519,1940000.0
1706077770.9398646,321912,1940000.0
1706077776.094272,323622,1940000.0
1706077778.5419424,324402,1940000.0
1706078004.2537892,327168,1960000.0
1706078006.970119,328070,1960000.0
1706078008.818766,328773,1960000.0
1706078228.3568976,330637,1980000.0
1706078236.0113986,333786,1980000.0
1706078464.131884,337540,2000000.0
1706078691.8089812,340078,2020000.0
1706078693.6876094,340832,2020000.0
1706078917.617416,342722,2040000.0
1706078922.8649309,344720,2040000.0
1706079142.415681,346513,2060000.0
1706079145.3247774,347487,2060000.0
1706079147.3935323,348128,2060000.0
1706079149.756109,349071,2060000.0
1706079152.211761,350055,2060000.0
1706079371.0582283,352722,2080000.0
1706079373.320453,353609,2080000.0
1706079375.9225082,354636,2080000.0
1706079591.0443497,355694,2100000.0
1706079598.1866493,358540,2100000.0
1706080041.0575938,364939,2140000.0
1706080047.152136,367452,2140000.0
1706080048.4398963,367960,2140000.0
1706080266.9755871,369790,2160000.0
1706080268.8265805,370368,2160000.0
1706080272.4996586,371538,2160000.0
1706080492.3363886,372679,2180000.0
1706080498.6252418,375087,2180000.0
1706080502.504578,376429,2180000.0
1706080719.9435058,378310,2200000.0
1706080722.0484014,379132,2200000.0
1706080941.4537816,381866,2220000.0
1706080945.5054445,383531,2220000.0
1706081165.3465335,385690,2240000.0
1706081167.8381708,386576,2240000.0
1706081394.6573606,391665,2260000.0
1706081397.1096325,392622,2260000.0
1706081399.2093878,393435,2260000.0
1706081619.4578948,396807,2280000.0
1706081838.582241,399279,2300000.0
1706081842.4598577,400854,2300000.0
1706082062.5834215,403730,2320000.0
1706082285.8921075,407386,2340000.0
1706082295.2097442,411098,2340000.0
1706082516.4029808,411592,2360000.0
1706082519.4456477,412613,2360000.0
1706082525.887009,414820,2360000.0
1706082749.6080449,416788,2380000.0
1706082751.176511,417414,2380000.0
1706082752.945757,418106,2380000.0
1706082756.366408,419417,2380000.0
1706082976.963552,421422,2400000.0
1706082983.8926773,424254,2400000.0
1706082985.1618657,424759,2400000.0
1706083206.0614512,427579,2420000.0
1706083207.166864,428014,2420000.0
1706083431.5130904,432433,2440000.0
1706083650.6963003,433959,2460000.0
1706083659.5731108,437582,2460000.0
1706083662.0149322,438604,2460000.0
1706083882.4251916,440599,2480000.0
1706083888.8812711,442915,2480000.0
1706084109.6147254,444701,2500000.0
1706084113.6620693,446266,2500000.0
1706084117.315555,447599,2500000.0
1706084339.7194717,450409,2520000.0
1706084344.5650516,452179,2520000.0
1706084346.7995138,453021,2520000.0
1706084566.861049,455351,2540000.0
1706084790.7225637,458696,2560000.0
1706085016.8580108,461665,2580000.0
1706085019.9045005,462816,2580000.0
1706085022.081421,463612,2580000.0
1706085025.417238,464717,2580000.0
1706085027.41413,465473,2580000.0
1706085257.463986,469481,2600000.0
1706085477.822639,471095,2620000.0
1706085480.173158,471964,2620000.0
1706085483.2775617,473158,2620000.0
1706085486.9867468,474608,2620000.0
1706085704.335158,475095,2640000.0
1706085710.1943405,477453,2640000.0
1706085933.9911244,479108,2660000.0
1706086174.689075,485785,2680000.0
1706086401.953914,489064,2700000.0
1706086630.3630087,494188,2720000.0
1706086632.0201356,494780,2720000.0
1706086633.8027945,495501,2720000.0
1706086858.3400261,498308,2740000.0
1706086862.1965904,499815,2740000.0
1706086863.9528344,500511,2740000.0
1706086865.906328,501274,2740000.0
1706087086.1616383,503108,2760000.0
1706087310.0559034,506639,2780000.0
1706087313.1401336,507797,2780000.0
1706087532.8421607,509929,2800000.0
1706087535.7284262,510981,2800000.0
1706087541.4665196,513165,2800000.0
1706087764.616505,516677,2820000.0
1706087767.2372022,517706,2820000.0
1706087986.9420226,519466,2840000.0
1706087998.7601829,523806,2840000.0
1706088216.0807335,524622,2860000.0
1706088220.7543228,526426,2860000.0
1706088442.0917342,528851,2880000.0
1706088447.3306274,530973,2880000.0
1706088670.3812072,533437,2900000.0
1706088673.0379803,534483,2900000.0
1706088677.2470753,536085,2900000.0
1706088899.5453415,537899,2920000.0
1706088902.3092916,538951,2920000.0
1706088906.3416896,540385,2920000.0
1706088909.4785748,541518,2920000.0
1706089133.2396445,543210,2940000.0
