Wall time,Step,Value
1706056946.913933,8606,0.0
1706056989.2395778,13959,450.0
1706057053.4187613,20163,0.0
1706057064.9245744,21372,0.0
1706057184.4300196,33447,125.0
1706057235.3338387,38670,0.0
1706057276.1029131,42384,50.0
1706057298.128019,44651,0.0
1706057312.07275,46090,25.0
1706057346.8003497,49645,0.0
1706057399.5347726,55021,0.0
1706057487.4436176,63529,0.0
1706057517.7817245,66609,400.0
1706057566.3767507,71542,0.0
1706057583.900368,73386,75.0
1706057691.87094,84000,125.0
1706057699.8020253,84832,50.0
1706057708.8801029,85775,50.0
1706057785.6693523,93733,0.0
1706057791.6389763,94353,100.0
1706057817.1829548,96949,450.0
1706057828.4833128,98123,0.0
1706057835.2369385,98829,475.0
1706057898.1653357,104703,75.0
1706057911.6255367,106123,0.0
1706057994.230046,114526,0.0
1706058028.4711995,118043,25.0
1706058067.9328935,121442,0.0
1706058097.213066,124393,0.0
1706058110.1609738,125636,50.0
1706058114.8197691,126098,775.0
1706058140.298329,128800,0.0
1706058156.0280564,130342,0.0
1706058247.2113862,139431,25.0
1706058492.711429,162316,50.0
1706058509.4922547,164023,0.0
1706058510.4405115,164123,50.0
1706058862.4333043,198799,125.0
1706058934.7180915,205358,0.0
1706058939.7667906,205872,100.0
1706058955.2191532,207411,0.0
1706058957.1882455,207616,0.0
1706058988.011416,210745,25.0
1706059053.7937074,217272,75.0
1706059111.6934435,222588,50.0
1706059117.1835828,223143,50.0
1706059153.2594316,226758,25.0
1706059160.4657843,227464,25.0
1706059174.050357,228816,0.0
1706059182.4438696,229620,0.0
1706059229.4533036,234180,25.0
1706059242.235322,235473,25.0
1706059299.4874601,240719,25.0
1706059419.4873898,252927,0.0
1706059525.113536,262761,0.0
1706059542.446731,264546,0.0
1706059543.117283,264614,0.0
1706059581.5570672,268486,125.0
1706059648.7145557,275192,0.0
1706059672.5524023,277594,50.0
1706059691.928544,279498,100.0
1706059784.3163724,288038,0.0
1706059829.8085618,292468,0.0
1706059927.1773684,301544,0.0
1706059949.4052792,303702,75.0
1706059988.0652976,307688,150.0
1706060022.6381466,311172,0.0
1706060035.5678625,312456,0.0
1706060068.5993462,315703,50.0
1706060080.440193,316821,50.0
1706060083.1346602,317095,75.0
1706060125.7811701,320782,125.0
1706060183.548675,326503,0.0
1706060245.2450662,332663,125.0
1706060307.4381182,338686,0.0
1706060421.9079754,349143,175.0
1706060497.7204378,356579,100.0
1706060508.913585,357686,0.0
1706060569.6553102,362827,100.0
1706060579.972381,363837,100.0
1706060612.4394689,367090,25.0
1706060696.5717678,375468,575.0
1706060704.2351344,376229,0.0
1706060903.8647738,395344,0.0
1706060924.4365177,397495,0.0
1706061013.9295778,405659,125.0
1706061053.8069773,409627,0.0
1706061203.6991982,423460,100.0
1706061206.7639794,423758,0.0
1706061251.689505,428141,0.0
1706061448.427045,446906,0.0
1706061456.6360884,447722,100.0
1706061458.5500941,447911,500.0
1706061499.343244,452023,150.0
1706061503.1366153,452409,25.0
1706061520.3019562,454142,0.0
1706061550.0522606,457109,0.0
1706061563.541173,458446,0.0
1706061593.0993032,460749,125.0
1706061624.8818057,464014,0.0
1706061653.1931968,466824,50.0
1706061717.2035902,473029,0.0
1706061757.9433405,477109,25.0
1706061809.4642434,481496,0.0
1706062020.533964,501621,0.0
1706062171.712118,516670,100.0
1706062215.3231006,520097,200.0
1706062231.2462301,521684,125.0
1706062310.1486745,529358,0.0
1706062333.5859122,531772,25.0
1706062348.0975392,533216,25.0
1706062403.8006437,538776,0.0
1706062464.2529633,544064,0.0
1706062488.6416647,546430,75.0
1706062492.9511888,546869,0.0
1706062571.208311,554629,0.0
1706062635.8449137,560299,0.0
1706062689.6957874,565628,50.0
1706062692.2920263,565893,200.0
1706062715.2922504,568142,50.0
1706062716.4992456,568267,175.0
1706062722.3584218,568848,0.0
1706062726.3917594,569242,0.0
1706062907.8216546,586433,0.0
1706062922.8325722,587882,250.0
1706062938.3603933,589413,0.0
1706062944.4357781,590003,50.0
1706062953.3442667,590863,25.0
1706063083.810278,602753,0.0
1706063102.566049,604601,0.0
1706063159.6262925,610100,0.0
1706063206.086285,614610,475.0
1706063280.2569685,621051,0.0
1706063353.0148215,628189,0.0
1706063357.1485853,628592,125.0
1706063359.6912441,628847,200.0
1706063413.3664527,634106,50.0
1706063534.733964,645483,75.0
1706063575.8684618,649464,0.0
1706063624.291174,654242,25.0
1706063681.1655514,659788,100.0
1706063820.1661406,672558,25.0
1706063844.5202866,675011,100.0
1706063847.6372447,675309,25.0
1706063851.064385,675645,575.0
1706063932.493109,682903,275.0
1706063990.4126756,688518,50.0
1706064026.2232707,692019,0.0
1706064107.51514,699983,25.0
1706064118.4653127,700335,125.0
1706064141.6405401,702585,75.0
1706064175.8339999,705946,0.0
1706064206.1792533,708898,100.0
1706064238.423218,712086,50.0
1706064275.5294647,715663,50.0
1706064369.0430448,724123,25.0
1706064509.445904,737961,525.0
1706064702.1655166,755844,0.0
1706064821.9503624,766846,525.0
1706064982.2995336,781622,75.0
1706064988.1541348,782174,0.0
1706065064.521101,789558,0.0
1706065104.2089143,793438,175.0
1706065144.6523442,797311,25.0
1706065183.8766835,800250,100.0
1706065215.82102,803379,25.0
1706065242.4721186,805974,25.0
1706065243.851454,806104,50.0
1706065297.9856682,811333,0.0
1706065311.6508656,812649,25.0
1706065353.247668,816748,125.0
1706065359.1652915,817328,0.0
1706065555.9344597,835224,50.0
1706065632.5945923,841945,0.0
1706065663.6208656,844905,0.0
1706065776.1285982,855856,25.0
1706065826.6108618,860057,25.0
1706065867.4218094,863909,0.0
1706065901.1978571,867146,0.0
1706066107.9704254,886202,0.0
1706066117.750438,887148,0.0
1706066265.2906647,900513,0.0
1706066308.289667,904680,150.0
1706066349.4737346,908618,0.0
1706066350.2669683,908696,0.0
1706066436.360782,917005,0.0
1706066484.207879,920425,200.0
1706066514.017796,923287,0.0
1706066540.8592703,925814,0.0
1706066573.7552748,929072,125.0
1706066575.1279204,929198,100.0
1706066605.1947596,932087,0.0
1706066612.17091,932744,25.0
1706066629.3762972,934412,100.0
1706066718.6958914,942064,75.0
1706066750.9284036,945169,0.0
1706066786.4466493,948564,25.0
1706066802.6906176,950166,225.0
1706066855.01559,955305,0.0
1706066876.1289089,957320,0.0
1706066883.6474686,958060,125.0
1706067032.5780268,971539,25.0
1706067034.689908,971742,0.0
1706067097.789886,977829,75.0
1706067165.6479895,983649,25.0
1706067181.057726,985158,0.0
1706067231.9871411,990063,0.0
1706067251.7838655,991943,25.0
1706067298.9837523,996362,0.0
1706067401.680075,1005440,0.0
1706067403.8615606,1005634,0.0
1706067475.706391,1012358,0.0
1706067487.0708358,1013454,25.0
1706067496.2690048,1014323,75.0
1706067859.7843254,1047183,50.0
1706067865.50128,1047714,450.0
1706067875.1301842,1048607,75.0
1706067896.7773106,1050710,0.0
1706067938.672719,1054781,0.0
1706067966.5008838,1057433,0.0
1706067971.7862897,1057913,0.0
1706068073.0225039,1066884,475.0
1706068080.8784502,1067634,100.0
1706068236.008423,1081317,75.0
1706068301.4868348,1087603,175.0
1706068317.5038278,1089197,50.0
1706068361.8478932,1093435,0.0
1706068804.44963,1133925,0.0
1706068847.3642242,1138061,50.0
1706068896.4854276,1141645,150.0
1706068920.1617181,1143974,0.0
1706069051.1634817,1156474,25.0
