Wall time,Step,Value
1706056818.3037033,1454,125.0
1706056819.1476936,1828,125.0
1706057247.6678407,4842,275.0
1706057251.7401981,6372,550.0
1706057479.846909,6659,0.0
1706057482.3656118,7528,0.0
1706057483.3071868,7813,0.0
1706057716.130879,8316,325.0
1706057718.283078,9045,350.0
1706057719.2805238,9384,425.0
1706057956.9905665,10515,475.0
1706057958.0272117,10885,225.0
1706058441.6433125,15596,275.0
1706058678.3769746,16460,325.0
1706058926.7241461,20419,400.0
1706058929.1104982,21321,625.0
1706058931.536725,22252,625.0
1706059169.6229308,22932,125.0
1706059172.9140472,24068,250.0
1706059413.2027395,25363,675.0
1706059652.9689426,26472,325.0
1706059654.3564525,27000,800.0
1706059655.2931278,27356,225.0
1706059657.1388247,28014,475.0
1706059898.2314887,29154,825.0
1706059899.3454905,29582,700.0
1706059900.5481098,29986,675.0
1706059901.6082578,30347,325.0
1706060142.0789638,31263,525.0
1706060143.1424294,31688,375.0
1706060389.5547376,35544,1175.0
1706060392.4837317,36589,625.0
1706060629.7070823,36898,225.0
1706060632.0709293,37711,450.0
1706060873.3275828,38961,600.0
1706060879.3005133,41031,800.0
1706061372.2825396,46342,125.0
1706061610.3469703,46756,675.0
1706061613.7079957,48142,600.0
1706061855.8679516,49535,725.0
1706061857.4877014,50169,825.0
1706061860.0153906,51159,350.0
1706062349.9692352,54645,350.0
1706062598.5836046,57299,550.0
1706062844.0544589,59022,525.0
1706062845.851605,59680,475.0
1706062848.0538113,60545,300.0
1706063092.9093783,61636,575.0
1706063094.2925003,62129,675.0
1706063336.8222134,64668,525.0
1706063337.6992543,65008,425.0
1706063584.925728,68414,725.0
1706063827.3178012,69481,625.0
1706063828.8933547,70098,500.0
1706064071.8600016,71597,375.0
1706064324.0054235,75748,775.0
1706064567.9712107,77314,675.0
1706064571.0945125,78514,725.0
1706064573.7920325,79569,625.0
1706065062.7494426,82724,825.0
1706065063.860935,83100,575.0
1706065065.0551102,83539,275.0
1706065310.5286207,85212,625.0
1706065312.1653802,85699,625.0
1706065313.695056,86249,700.0
1706065561.243748,88170,675.0
1706065565.5148935,89632,725.0
1706065807.805675,90181,950.0
1706065808.9523854,90591,400.0
1706066055.7827039,92980,700.0
1706066057.1960573,93567,725.0
1706066059.0142112,94232,725.0
1706066313.058082,97898,475.0
1706066559.6323671,99575,450.0
1706066560.7241907,99974,400.0
1706066561.9811428,100410,325.0
1706066805.1100175,100882,425.0
1706066808.5103257,102207,775.0
1706066812.377057,103790,325.0
1706067055.9223523,104823,375.0
1706067059.3615754,106111,925.0
1706067306.3762674,107160,725.0
1706067307.609913,107640,425.0
1706067312.3525288,109421,1275.0
1706067557.9095888,110282,350.0
1706067559.5470917,110966,350.0
1706067561.3539834,111697,375.0
1706067564.8065195,113007,550.0
1706067810.8852248,115356,550.0
1706068310.2108445,121277,450.0
1706068558.8789709,122676,475.0
1706068564.4070518,124640,650.0
1706068806.6349647,125106,650.0
1706068807.8195522,125571,475.0
1706069060.161136,129732,950.0
