Wall time,Step,Value
1706056818.3037362,1454,20000.0
1706056819.1477323,1828,20000.0
1706057247.667918,4842,60000.0
1706057251.7402387,6372,60000.0
1706057479.8469603,6659,80000.0
1706057482.3656793,7528,80000.0
1706057483.3072448,7813,80000.0
1706057716.130916,8316,100000.0
1706057718.2831244,9045,100000.0
1706057719.2805896,9384,100000.0
1706057956.9906218,10515,120000.0
1706057958.0272756,10885,120000.0
1706058441.6433656,15596,160000.0
1706058678.3770232,16460,180000.0
1706058926.7241826,20419,200000.0
1706058929.1105492,21321,200000.0
1706058931.5367792,22252,200000.0
1706059169.6229842,22932,220000.0
1706059172.9142375,24068,220000.0
1706059413.2027764,25363,240000.0
1706059652.9689863,26472,260000.0
1706059654.356496,27000,260000.0
1706059655.2932038,27356,260000.0
1706059657.1388679,28014,260000.0
1706059898.2315583,29154,280000.0
1706059899.3455644,29582,280000.0
1706059900.5481539,29986,280000.0
1706059901.6083002,30347,280000.0
1706060142.0790257,31263,300000.0
1706060143.1424782,31688,300000.0
1706060389.5547795,35544,320000.0
1706060392.4837797,36589,320000.0
1706060629.7071276,36898,340000.0
1706060632.0709705,37711,340000.0
1706060873.3276227,38961,360000.0
1706060879.3005486,41031,360000.0
1706061372.282589,46342,400000.0
1706061610.3470106,46756,420000.0
1706061613.7080324,48142,420000.0
1706061855.8680224,49535,440000.0
1706061857.487756,50169,440000.0
1706061860.0154362,51159,440000.0
1706062349.9692965,54645,480000.0
1706062598.5836797,57299,500000.0
1706062844.054501,59022,520000.0
1706062845.8516593,59680,520000.0
1706062848.053893,60545,520000.0
1706063092.9094262,61636,540000.0
1706063094.2925515,62129,540000.0
1706063336.8222694,64668,560000.0
1706063337.6992962,65008,560000.0
1706063584.925789,68414,580000.0
1706063827.3178422,69481,600000.0
1706063828.893391,70098,600000.0
1706064071.860049,71597,620000.0
1706064324.0054722,75748,640000.0
1706064567.971326,77314,660000.0
1706064571.0945516,78514,660000.0
1706064573.79208,79569,660000.0
1706065062.7494814,82724,700000.0
1706065063.8610194,83100,700000.0
1706065065.055154,83539,700000.0
1706065310.5286841,85212,720000.0
1706065312.1654594,85699,720000.0
1706065313.6951263,86249,720000.0
1706065561.2437992,88170,740000.0
1706065565.514935,89632,740000.0
1706065807.805737,90181,760000.0
1706065808.9524362,90591,760000.0
1706066055.7827528,92980,780000.0
1706066057.196105,93567,780000.0
1706066059.0142546,94232,780000.0
1706066313.0581698,97898,800000.0
1706066559.6324139,99575,820000.0
1706066560.72423,99974,820000.0
1706066561.9811847,100410,820000.0
1706066805.1100588,100882,840000.0
1706066808.5103662,102207,840000.0
1706066812.3771067,103790,840000.0
1706067055.9224334,104823,860000.0
1706067059.3616574,106111,860000.0
