Wall time,Step,Value
1706056762.4476316,13857,0.0
1706056813.557625,19883,0.0
1706056829.6984684,21157,75.0
1706056939.6940434,32622,0.0
1706056997.044502,37917,50.0
1706057043.794433,41595,25.0
1706057067.2731595,43751,25.0
1706057082.8686059,45149,0.0
1706057118.501792,48385,425.0
1706057180.042163,53979,50.0
1706057282.2627792,62717,0.0
1706057322.0369203,66201,575.0
1706057381.5879405,71475,0.0
1706057528.9559572,83960,50.0
1706057542.6632042,85156,150.0
1706057552.625682,86032,25.0
1706057640.4346063,93600,50.0
1706057647.6802323,94222,150.0
1706057675.7351472,96674,0.0
1706057695.3274794,98397,25.0
1706057768.7855258,104126,125.0
1706057788.3090782,105863,25.0
1706057903.041512,115624,50.0
1706057944.2439935,119086,0.0
1706057997.9097052,123252,50.0
1706058031.728105,126158,0.0
1706058048.149301,127510,25.0
1706058050.9984097,127768,75.0
1706058086.640505,130817,425.0
1706058102.0814722,132091,0.0
1706058202.5543194,140267,0.0
1706058491.6795554,164153,0.0
1706058510.1528866,165757,0.0
1706059013.4733593,206992,0.0
1706059018.4188483,207412,0.0
1706059039.367858,209150,150.0
1706059083.2332735,212984,25.0
1706059154.556509,218865,25.0
1706059218.9362745,223833,0.0
1706059227.771148,224593,25.0
1706059269.492296,228055,0.0
1706059278.2506332,228793,0.0
1706059292.4647973,230091,0.0
1706059301.4797094,230849,50.0
1706059356.1377459,235479,75.0
1706059374.45956,237012,50.0
1706059574.2062268,253533,0.0
1706059706.1587262,264031,0.0
1706059728.9607704,265933,500.0
1706059730.0838475,266026,50.0
1706059773.681752,269733,225.0
1706059846.8122275,275913,0.0
1706059875.0212495,278249,50.0
1706059907.3324006,280376,25.0
1706060008.432039,288879,125.0
1706060055.1977978,292817,25.0
1706060165.658286,301466,0.0
1706060195.2483287,303966,0.0
1706060235.4277995,307388,100.0
1706060272.8711085,310539,25.0
1706060288.06727,311819,0.0
1706060330.0944746,315415,100.0
1706060349.6817605,317041,75.0
1706060352.4301474,317284,0.0
1706060405.75386,321103,25.0
1706060476.4584434,327110,125.0
1706060554.0215187,333694,50.0
1706060624.7589724,339650,0.0
1706060750.4174635,349795,100.0
1706060849.7488773,358127,0.0
1706060861.2731104,359089,25.0
1706060934.0174482,364711,50.0
1706060943.9594395,365553,0.0
1706060980.2079275,368668,25.0
1706061077.8197873,376938,200.0
1706061087.796511,377734,100.0
1706061340.354201,398109,200.0
1706061376.912831,400435,0.0
1706061477.9098477,408808,50.0
1706061521.254476,412510,0.0
1706061687.0119393,426022,500.0
1706061690.2715309,426307,0.0
1706061741.1409433,430611,25.0
1706061972.1042836,449382,125.0
1706061984.2532878,450402,475.0
1706061986.7901676,450601,25.0
1706062034.9015422,454578,0.0
1706062039.736791,454966,25.0
1706062096.889157,459819,0.0
1706062116.7813175,460919,0.0
1706062141.5948362,463007,50.0
1706062183.663944,466429,25.0
1706062222.4621763,469703,0.0
1706062296.7545378,475817,0.0
1706062344.1624246,479799,25.0
1706062413.892708,484939,0.0
1706062670.9958847,505738,0.0
1706062865.6470544,521329,550.0
1706062908.603674,524801,25.0
1706062920.7413456,525819,0.0
1706063005.38884,532743,0.0
1706063032.8021204,535067,50.0
1706063048.62739,536394,75.0
1706063117.2258456,541679,200.0
1706063193.532512,548057,0.0
1706063228.6945767,551043,725.0
1706063235.4971397,551616,200.0
1706063324.6866314,559213,50.0
1706063392.6428752,564482,75.0
1706063447.0555177,569087,75.0
1706063448.7407386,569236,0.0
1706063476.8696625,571603,0.0
1706063477.6959786,571680,0.0
1706063482.648228,572092,25.0
1706063487.0432627,572475,50.0
1706063715.504166,590908,150.0
1706063734.1962686,592453,0.0
1706063754.1410692,594145,0.0
1706063759.4264162,594628,25.0
1706063771.8366842,595650,100.0
1706063934.8447673,608717,25.0
1706063956.6238985,610499,25.0
1706064013.6839678,615363,0.0
1706064081.723038,620235,0.0
1706064153.2145178,626246,0.0
1706064238.2987173,633380,0.0
1706064243.2959929,633811,25.0
1706064245.5322087,633985,125.0
1706064314.7817826,639698,0.0
1706064457.4587672,650868,500.0
1706064507.8995569,655136,0.0
1706064565.7500398,659965,200.0
1706064782.4166408,677500,175.0
1706064811.131513,679907,25.0
1706064825.0070481,680437,575.0
1706064913.0679913,687716,150.0
1706064982.9377801,693582,100.0
1706065032.5877964,697574,150.0
1706065136.2875457,705699,0.0
1706065138.612885,705894,75.0
1706065170.2694068,708540,25.0
1706065217.088559,712525,125.0
1706065247.6806154,715063,100.0
1706065291.5932634,718611,0.0
1706065462.542953,732191,250.0
1706065635.627161,745900,50.0
1706065833.8649573,761759,0.0
1706065973.6088521,773361,0.0
1706066166.5710206,788649,0.0
1706066173.8957078,789260,0.0
1706066257.7313356,796142,0.0
1706066319.6009593,800542,125.0
