Wall time,Step,Value
1706056895.367369,2030,475.0
1706056896.3804288,2433,475.0
1706057343.6928656,4423,300.0
1706057348.5156841,6104,300.0
1706057578.8904154,6395,50.0
1706057581.5188134,7295,50.0
1706057582.3181581,7577,25.0
1706057814.9540365,8101,425.0
1706057816.92356,8796,100.0
1706057817.694224,9065,100.0
1706058053.6587374,10323,650.0
1706058054.705887,10740,225.0
1706058526.2986038,14669,375.0
1706058758.1926436,15500,925.0
1706058995.755806,18776,475.0
1706058997.0148835,19284,425.0
1706058998.3517907,19783,400.0
1706059232.4362035,20461,300.0
1706059235.3316941,21421,275.0
1706059473.0780892,22631,325.0
1706059713.140901,23999,275.0
1706059714.4740894,24401,275.0
1706059715.8896835,24840,325.0
1706059716.8563416,25167,575.0
1706059953.3969727,26055,300.0
1706059954.9595673,26519,375.0
1706059956.118186,26877,300.0
1706059957.5125134,27363,450.0
1706060191.3214045,28185,275.0
1706060192.7224865,28745,700.0
1706060433.0244079,31737,725.0
1706060435.4361913,32655,725.0
1706060671.0582151,33288,475.0
1706060673.3624325,34166,400.0
1706060912.0017946,35497,425.0
1706060917.479481,37338,475.0
1706061399.559248,41894,250.0
1706061638.4133868,42295,350.0
1706061642.087183,43508,675.0
1706061881.7798572,44763,625.0
1706061883.607581,45332,775.0
1706061886.027546,46094,200.0
1706062371.7180557,49333,300.0
1706062616.8403273,51453,225.0
1706062858.4232318,53533,525.0
1706062859.8704824,54092,3975.0
1706062863.3220978,55278,1350.0
1706063100.9581378,56136,350.0
1706063102.0947714,56551,350.0
1706063347.00888,59785,1275.0
1706063348.120347,60201,575.0
1706063596.509763,63920,325.0
1706063837.782257,64967,700.0
1706063838.9709742,65429,775.0
1706064083.5799482,66958,300.0
1706064329.6746523,70213,725.0
1706064570.1158864,71685,725.0
1706064572.5523407,72703,750.0
1706064574.973286,73686,750.0
1706065064.8002632,77461,400.0
1706065066.6645176,78116,475.0
1706065068.850943,78910,475.0
1706065313.8191192,81075,425.0
1706065315.4990356,81714,700.0
1706065316.7503798,82228,700.0
1706065564.5749643,84306,475.0
1706065568.950101,85748,375.0
1706065812.9994462,86424,475.0
1706065815.0905087,87129,550.0
1706066057.0662959,88843,650.0
1706066058.5832841,89390,700.0
1706066059.477097,89740,250.0
1706066309.5021985,94035,475.0
1706066557.715775,95691,575.0
1706066559.1454937,96206,750.0
1706066560.4871702,96612,625.0
1706066805.2330673,97179,550.0
1706066808.4108825,98397,825.0
1706066811.6833537,99576,1325.0
1706067057.1349092,100852,625.0
1706067059.7238529,101845,700.0
1706067303.2105818,102877,700.0
1706067304.6766274,103455,675.0
1706067308.774822,105111,425.0
1706067550.2396944,105657,675.0
1706067552.2190385,106417,850.0
1706067554.3076823,107127,975.0
1706067557.5739303,108417,475.0
1706067804.7101097,111760,425.0
1706068308.2263696,117995,425.0
1706068551.1159186,118889,350.0
1706068556.3117657,120830,1000.0
1706068797.7818875,121317,500.0
1706068799.5004165,121878,725.0
1706069061.1194878,127385,850.0
1706069313.720832,130485,1300.0
1706069316.2495515,131417,800.0
1706069563.8251784,132131,775.0
1706069567.6515925,133652,500.0
1706070063.262121,138673,250.0
1706070065.1223755,139449,425.0
1706070069.5108361,141220,375.0
1706070319.4403777,142480,475.0
1706070322.8042192,143637,525.0
1706070571.712194,145100,550.0
1706070575.4530842,146461,500.0
1706070577.421481,147090,525.0
1706070827.2078114,148692,475.0
1706070831.0778916,150029,450.0
1706070832.663836,150616,775.0
1706071081.1592064,151864,425.0
1706071331.1090899,154867,500.0
1706071333.2027807,155643,900.0
1706071335.0226893,156343,425.0
1706071337.0654242,157167,1025.0
1706071834.2164788,162236,425.0
1706071837.8779602,163418,450.0
1706071839.7164865,164087,950.0
1706072089.6719346,166395,725.0
1706072343.8843818,169243,500.0
1706072349.4628448,171040,475.0
1706072350.9265924,171531,750.0
1706072604.3940017,173308,475.0
1706072608.8270247,174901,1075.0
1706072867.400482,179014,750.0
1706073114.6965826,180008,375.0
1706073116.3330944,180667,450.0
1706073369.5808535,183714,725.0
1706073371.2520013,184325,500.0
1706073615.216149,185484,725.0
1706073618.8851433,186969,675.0
1706073865.7305791,188367,775.0
1706073866.8050752,188731,300.0
1706074124.332592,191802,775.0
1706074127.6967373,193023,550.0
1706074131.7521818,194388,450.0
1706074387.0111089,197269,725.0
1706074644.4089513,200190,775.0
1706074647.2263696,201153,500.0
1706074648.8417115,201696,800.0
1706074900.8277388,202575,775.0
1706074902.5937355,203112,775.0
1706074905.1485891,203927,875.0
1706075166.0240676,207645,550.0
1706075420.1037555,209467,425.0
1706075421.818756,210068,500.0
1706075930.0366137,215970,750.0
1706076185.740088,218442,475.0
1706076187.654043,219139,450.0
1706076189.0949109,219730,475.0
1706076191.125695,220357,500.0
1706076193.009605,221058,4075.0
1706076447.7212448,223615,550.0
1706076704.6810064,227848,900.0
1706076708.6931453,229372,4000.0
1706076961.0882385,232281,725.0
1706076962.525682,232858,700.0
1706077215.8996766,235669,525.0
1706077218.0611496,236430,725.0
1706077466.7742312,237331,3750.0
1706077472.803079,239673,600.0
1706077725.2807455,241854,650.0
1706077727.986443,242850,3950.0
1706077978.825688,245321,1050.0
1706077980.3397028,245857,425.0
1706078229.4969125,247917,525.0
1706078483.0026944,251010,850.0
1706078485.0487814,251810,575.0
1706078486.7044318,252469,600.0
1706078489.6338513,253643,500.0
1706078737.487564,254358,750.0
1706078739.8472195,255111,725.0
1706078743.7220361,256623,725.0
1706078745.8002005,257429,675.0
1706078994.8038495,257973,725.0
1706078996.8267403,258653,775.0
1706079254.6339123,261818,800.0
1706079259.834106,263632,1075.0
1706079261.7407625,264275,525.0
1706079264.8053718,265227,1075.0
1706079516.7999086,266859,425.0
1706079775.6594872,270001,1325.0
1706079777.6230388,270705,825.0
1706080039.562101,274716,2375.0
1706080040.8356564,275246,500.0
1706080043.9146562,276524,750.0
1706080293.9713476,278072,500.0
1706080300.9810228,280834,825.0
1706080551.7373116,281944,4400.0
1706080557.5885127,283926,575.0
1706080559.5007734,284534,475.0
1706080807.7397969,285392,825.0
1706080809.9595802,286277,4050.0
1706080813.6320257,287599,800.0
1706080815.5167441,288276,575.0
1706081074.3525395,290813,600.0
1706081077.187572,291734,700.0
1706081079.1199682,292349,3825.0
1706081333.57877,293427,500.0
1706081338.437956,295182,250.0
1706081593.8255305,297870,525.0
1706081854.5026932,301281,1100.0
1706081855.8145761,301804,450.0
1706082108.9370806,303660,525.0
1706082114.9812765,305865,1100.0
1706082367.2980022,306572,825.0
1706082368.6860304,307070,750.0
1706082370.465455,307699,825.0
1706082372.4890661,308371,875.0
1706082373.8776555,308952,775.0
1706082629.9659503,311673,825.0
1706082631.4810133,312291,475.0
1706082633.742705,313199,825.0
1706082885.1187897,313815,325.0
1706082891.9627953,316249,350.0
1706083409.23976,321186,725.0
1706083415.4339018,323374,775.0
1706083416.8328373,323884,800.0
1706083672.7886791,325285,425.0
1706083673.997004,325684,275.0
1706083675.7402358,326303,400.0
1706083933.0249507,327765,575.0
1706083937.8077168,329411,1425.0
1706083940.9155922,330389,775.0
1706084201.2462535,331830,825.0
1706084203.0695076,332425,775.0
1706084464.2469945,334723,650.0
1706084468.5065463,336226,675.0
1706084728.9186988,338125,525.0
1706084729.9936702,338550,550.0
1706084997.2565825,342720,675.0
1706084999.887659,343809,4150.0
1706085001.7085094,344518,350.0
1706085262.4606588,346691,675.0
1706085522.6506212,348591,325.0
1706085526.6606152,349858,475.0
1706085789.1641858,352494,450.0
1706086049.1213808,355450,550.0
1706086055.7882764,358053,550.0
1706086311.577742,359005,1400.0
1706086313.3761904,359598,850.0
1706086316.7043247,360979,1400.0
1706086571.202978,362026,775.0
1706086572.8897185,362687,500.0
1706086574.2025247,363207,775.0
1706086577.9259758,364653,825.0
1706086835.9606626,365801,550.0
1706086838.2764616,366711,550.0
1706086839.66425,367288,650.0
1706087099.1375318,369338,525.0
1706087100.7103362,369929,500.0
1706087364.4556704,373304,425.0
1706087621.8204536,375029,700.0
1706087628.014209,377024,1175.0
1706087629.2245443,377463,425.0
1706087887.2973301,378580,500.0
1706087890.9644384,379758,475.0
1706088147.9434953,380999,800.0
1706088151.291176,382042,375.0
1706088152.6783142,382492,475.0
1706088412.3493063,384114,600.0
1706088416.261242,385501,500.0
1706088418.6215444,386385,625.0
1706088679.1983042,388891,650.0
1706088943.573457,391691,700.0
1706089206.7736073,393699,3650.0
1706089208.7402074,394438,850.0
1706089210.3442998,394957,825.0
1706089212.024406,395604,850.0
1706089214.8038154,396699,875.0
1706089481.448542,400253,400.0
1706089742.5318356,401929,1300.0
1706089745.1622891,402798,750.0
1706089747.812175,403649,825.0
1706089750.1149044,404409,775.0
1706090006.849955,404952,550.0
1706090012.8827264,407354,875.0
1706090269.9021935,408515,650.0
1706090533.2896445,413053,925.0
1706090792.8170657,415051,300.0
1706091053.7553375,418367,475.0
1706091054.7006462,418748,275.0
1706091057.7302866,419822,1250.0
1706091315.3469899,421969,750.0
1706091318.6884665,423304,700.0
1706091320.4744463,424008,550.0
1706091322.2920532,424722,3950.0
1706091584.7076724,426765,4025.0
1706091849.9518695,430355,575.0
1706091854.5970411,431945,1300.0
1706092109.746263,433306,550.0
1706092111.067346,433848,775.0
1706092114.8797376,435337,4575.0
1706092372.5048301,437633,575.0
1706092373.594354,438056,325.0
1706092630.4121842,439095,525.0
1706092637.9526412,441984,1325.0
1706092894.6697638,442788,475.0
1706092897.9017515,444059,525.0
1706093154.3280785,445600,250.0
1706093158.1829891,446991,4200.0
1706093414.7071729,448835,500.0
1706093415.660368,449212,425.0
1706093419.0603218,450613,3700.0
1706093677.1699789,452179,500.0
1706093679.364883,452989,925.0
1706093682.9344103,454425,225.0
1706093685.1377668,455150,3725.0
1706093945.9107757,456312,400.0
1706093947.530304,456926,825.0
1706093949.5949607,457627,825.0
1706094212.9630375,460951,3975.0
1706094475.9101777,463599,1250.0
1706094477.4848428,464096,700.0
1706094478.751667,464568,700.0
1706095261.226956,472439,775.0
1706095265.1848812,473748,775.0
1706095531.4034986,477877,750.0
1706095788.6957703,478777,775.0
1706095793.4602382,480616,825.0
1706095794.9710224,481216,775.0
1706096051.493413,483336,3775.0
1706096310.6178977,485833,3725.0
1706096312.1458824,486422,775.0
1706096315.905507,487943,450.0
1706096317.2589076,488475,350.0
1706096572.6923733,489067,475.0
1706096574.0817275,489616,400.0
1706096575.8969939,490339,400.0
1706096841.0767639,494600,625.0
1706097102.4032643,496437,900.0
1706097372.4097924,500878,375.0
1706097637.3800733,504325,400.0
1706097890.5597672,504991,4125.0
1706097891.9259286,505471,375.0
1706097893.939337,506271,625.0
1706098152.626805,507833,300.0
1706098423.6841364,513761,675.0
1706098426.1226194,514651,1000.0
1706098950.0913856,519704,4700.0
1706098952.1426148,520338,3675.0
1706099217.973112,523429,825.0
1706099219.394627,523959,425.0
1706099475.4633656,524950,225.0
1706099477.1435962,525554,575.0
1706099478.7466698,526157,800.0
1706099482.364893,527487,475.0
1706099738.8234472,528134,825.0
1706099744.4196007,530507,1050.0
1706100001.551994,532040,425.0
1706100264.1022835,535560,650.0
1706100265.5923061,536078,475.0
1706100271.036717,538240,550.0
1706100530.575863,540596,500.0
1706100792.6236255,542662,700.0
1706100796.1138458,543791,775.0
1706101056.5272965,545477,850.0
1706101057.6925027,545892,350.0
1706101321.758641,548106,275.0
1706101323.3117394,548613,750.0
1706101853.3826058,556252,950.0
1706102106.6429906,556799,700.0
1706102107.8250146,557238,700.0
1706102368.1642604,559727,675.0
1706102372.807722,561589,3725.0
1706102631.7143486,563590,4075.0
1706102636.1443691,565389,4275.0
1706102638.408504,566257,1050.0
1706102896.2398973,567683,1150.0
1706102898.8986714,568685,3800.0
1706102901.899696,569885,125.0
1706103159.0214329,572136,875.0
1706103160.5659633,572730,525.0
1706103412.6526608,573867,400.0
1706103414.5651886,574664,400.0
1706103419.8508344,576838,500.0
1706103676.892342,579140,775.0
1706103677.9169183,579543,350.0
1706103937.8899431,580894,3875.0
1706103941.295362,582022,1000.0
1706104203.0011268,584799,525.0
1706104204.111136,585232,375.0
1706104457.7585394,586697,350.0
1706104459.530306,587436,300.0
1706104461.2024832,588103,400.0
1706104462.9492118,588805,3825.0
1706104715.0263848,590044,475.0
1706104722.9822557,593151,4000.0
1706104977.7228827,594417,425.0
1706104979.1990502,595001,375.0
1706105234.4510784,596872,625.0
1706105241.8552704,599821,4225.0
1706105494.964208,601227,350.0
1706105749.3495011,602911,550.0
1706105750.508674,603390,550.0
1706106008.270893,606192,225.0
1706106010.8330271,607167,225.0
1706106012.9668753,607949,425.0
1706106269.2877111,609414,3850.0
1706106272.4091349,610479,375.0
1706106274.14076,611092,475.0
1706106534.9252517,613163,3850.0
1706106797.8908315,616305,3825.0
1706106801.4756532,617595,450.0
1706106803.4980001,618223,425.0
1706107064.4130018,619638,750.0
1706107328.043694,622079,1050.0
1706107594.9749293,625098,300.0
1706107599.3006957,626615,3975.0
1706107601.951388,627485,425.0
1706107862.583746,628953,4150.0
1706107866.847914,630426,3725.0
1706107869.6889336,631444,4025.0
1706108129.8329728,633353,4225.0
1706108131.538864,633879,650.0
1706108133.8613582,634600,4275.0
1706108393.7877626,635985,525.0
1706108662.1074274,639811,550.0
1706108666.7249436,641376,4275.0
1706108929.474889,642813,600.0
1706108933.2269728,644199,4600.0
1706109197.4841447,647746,3750.0
1706109459.1588807,650909,3750.0
1706109463.6161404,652710,4350.0
1706109466.04111,653694,4225.0
1706109982.5432382,658088,275.0
1706109983.7351825,658565,700.0
1706109985.35043,659220,925.0
1706109986.8790007,659850,575.0
1706109988.2098174,660401,625.0
1706110252.440028,663775,975.0
1706110512.7389297,666177,275.0
1706110777.358896,670126,4200.0
1706110779.5813732,670896,4200.0
1706111037.4303637,672981,475.0
1706111041.3894603,674567,800.0
1706111043.7390904,675360,4375.0
1706111298.5883787,676300,4100.0
1706111301.5212536,677351,650.0
1706111561.529388,679073,375.0
1706111565.5336716,680568,4025.0
1706111568.6688147,681602,350.0
1706111824.9094005,682134,825.0
