Wall time,Step,Value
1706056832.781292,13857,0.0
1706056887.0807743,19666,0.0
1706056906.4261177,21000,0.0
1706057038.3033385,33309,0.0
1706057092.3511167,38181,0.0
1706057139.6492622,41958,0.0
1706057162.5246305,44023,0.0
1706057178.6511145,45486,50.0
1706057213.8867085,48642,0.0
1706057270.1263776,53741,25.0
1706057379.712292,62741,400.0
1706057420.280017,66283,0.0
1706057476.3460052,71233,0.0
1706057637.54128,84785,50.0
1706057647.9907036,85699,25.0
1706057737.8743057,93541,0.0
1706057745.5064285,94184,50.0
1706057779.2195728,97031,0.0
1706057798.6511168,98731,0.0
1706057872.3135865,104602,150.0
1706057891.2248924,106247,125.0
1706058043.918228,119403,0.0
1706058094.8059065,123194,100.0
1706058128.1556408,126074,0.0
1706058141.7269397,127345,100.0
1706058144.9850736,127631,50.0
1706058177.168036,130383,0.0
1706058195.7758868,132018,100.0
1706058314.3027282,141709,0.0
1706058592.558822,165628,125.0
1706058613.2147555,167451,500.0
1706059110.6914604,209834,425.0
1706059116.0072873,210278,50.0
1706059137.8786588,212064,175.0
1706059179.9292405,215736,0.0
1706059264.9550111,222531,0.0
1706059334.4923322,228556,100.0
1706059378.6125371,232276,50.0
1706059387.0195792,232964,0.0
1706059402.1627898,234236,0.0
1706059411.8044012,235052,25.0
1706059462.6203918,239418,50.0
1706059485.3614001,240768,50.0
1706059677.2774541,257058,25.0
1706059794.612046,266622,0.0
1706059817.7937763,268585,0.0
1706059818.9525182,268692,75.0
1706059864.345358,272498,25.0
1706059934.1286912,278481,75.0
1706059968.1250184,280756,75.0
1706059989.367663,282676,0.0
1706060087.8652139,291137,425.0
1706060241.6657526,303891,100.0
1706060315.7817886,310192,0.0
1706060353.4886284,313487,500.0
1706060371.1170824,314966,125.0
1706060408.666396,318208,0.0
1706060423.492233,319481,75.0
1706060425.9921508,319685,0.0
1706060474.528411,323393,0.0
1706060546.0222328,329518,125.0
1706060617.2586143,335563,75.0
1706060691.7818341,341379,0.0
1706060806.4201539,351155,0.0
1706060905.4342885,359559,0.0
1706060929.09946,360993,200.0
1706060996.7400932,366772,0.0
1706061008.6708715,367784,125.0
1706061050.013859,371252,50.0
1706061148.8190024,379711,75.0
1706061165.8652327,380724,0.0
1706061400.2993007,400063,125.0
