Wall time,Step,Value
1706056960.8424017,1145,0.0
1706056961.6143384,1435,0.0
1706057418.9040732,5146,50.0
1706057422.8993084,6511,150.0
1706057648.5307384,6752,25.0
1706057650.804657,7654,50.0
1706057651.381719,7893,25.0
1706057879.846689,8283,325.0
1706057881.786618,8996,150.0
1706057882.9434752,9404,200.0
1706058116.784509,10489,325.0
1706058117.5972478,10821,275.0
1706058593.0407658,15044,200.0
1706058826.6138182,16001,375.0
1706059065.3982348,19437,250.0
1706059066.9293146,19937,375.0
1706059068.5874763,20579,300.0
1706059302.755458,21418,350.0
1706059306.8645124,23056,450.0
1706059540.2029028,23958,250.0
1706059777.350512,25322,375.0
1706059778.6315308,25820,675.0
1706059780.1102855,26406,1200.0
1706059781.2314575,26829,425.0
1706060017.2093544,28014,850.0
1706060018.7083883,28498,425.0
1706060019.9077208,28900,450.0
1706060021.2804077,29407,425.0
1706060259.3968098,30189,300.0
1706060260.6819937,30584,400.0
1706060506.6750607,33651,300.0
1706060509.0927842,34550,450.0
1706060745.7394764,35160,425.0
1706060747.7908795,35995,400.0
1706060984.8309834,37244,425.0
1706060989.5556886,39111,450.0
1706061478.1831887,43631,675.0
1706061714.9781556,43953,375.0
1706061718.65955,45284,900.0
1706061957.310674,46799,750.0
1706061958.381676,47230,400.0
1706061960.9539943,48186,425.0
1706062443.4490674,51405,675.0
1706062688.3844516,54018,400.0
1706062930.9089415,55961,325.0
1706062932.9910064,56718,1000.0
1706062935.7741196,57744,650.0
1706063176.3930225,58717,300.0
1706063178.2914398,59367,750.0
1706063426.5972242,62219,775.0
1706063427.6950343,62638,450.0
1706063679.1214008,66723,500.0
1706063920.5104733,67984,3725.0
1706063922.452848,68705,1050.0
1706064164.0697985,70538,400.0
1706064412.3757,74369,450.0
1706064655.9576905,76111,800.0
1706064658.8304756,77237,500.0
1706064661.6912975,78306,450.0
1706065150.7654455,81443,475.0
1706065152.7595847,82174,425.0
1706065154.9916732,82966,500.0
1706065400.4406564,84487,475.0
1706065401.8761938,84964,750.0
1706065403.1812692,85375,400.0
1706065650.0674882,87325,575.0
1706065653.5453672,88694,575.0
1706065896.6554282,89393,500.0
1706065898.2988622,89975,800.0
1706066143.3966331,92282,500.0
1706066145.388168,93068,1325.0
1706066146.5179172,93532,725.0
1706066396.9667673,97230,400.0
1706066643.5970547,98990,325.0
1706066645.0535254,99443,450.0
1706066647.2063546,100123,775.0
1706066890.6164238,100633,750.0
1706066893.60427,101623,375.0
1706066896.3575428,102583,450.0
1706067141.4785511,103631,825.0
1706067145.0310104,104983,1025.0
1706067390.213984,106083,400.0
1706067391.6249082,106633,425.0
1706067395.227134,107969,500.0
1706067638.7335987,108515,825.0
1706067640.5951812,109203,825.0
1706067642.4243627,109845,800.0
1706067645.9556873,111184,800.0
1706067896.8124664,114617,450.0
1706068398.5085092,120187,325.0
1706068647.9419694,121722,775.0
1706068653.3808992,123768,725.0
1706068897.8123038,124754,875.0
1706068899.2305138,125272,525.0
1706069161.3048112,131086,725.0
1706069411.3258505,133784,1250.0
1706069413.5269177,134625,725.0
1706069658.6541097,135418,1025.0
1706069663.1745896,137007,500.0
1706070170.2750099,142705,4075.0
1706070172.7728572,143692,1425.0
1706070179.0399663,146152,900.0
1706070426.2533157,148456,3700.0
1706070431.016791,150285,475.0
1706070675.933219,151549,525.0
1706070679.809496,153072,900.0
1706070681.9226494,153851,400.0
1706070927.6545382,155627,550.0
1706070931.054031,156878,825.0
1706070933.0904512,157678,825.0
1706071181.2894633,159182,500.0
1706071435.235303,162843,425.0
1706071438.0056417,163900,925.0
1706071439.9504132,164623,450.0
1706071442.5073304,165545,425.0
1706071939.4797132,172049,450.0
1706071943.8055558,173756,525.0
1706071946.0329742,174599,3925.0
1706072195.426846,176639,825.0
1706072441.9779582,179103,250.0
1706072445.1243503,180300,550.0
1706072446.94919,181022,1250.0
1706072696.7608504,183515,775.0
1706072700.2584617,184805,375.0
1706072954.4547658,188388,400.0
1706073203.1359594,190435,550.0
1706073205.1877763,191167,425.0
1706073457.127225,194568,800.0
1706073459.0583022,195287,550.0
1706073710.149618,196818,675.0
1706073715.4039915,198828,1275.0
1706073963.1276412,200164,800.0
1706073965.5294957,201062,475.0
1706074214.1961827,203463,475.0
1706074217.74913,204864,575.0
1706074221.505838,206213,525.0
1706074475.5683148,210301,1350.0
1706074725.2605703,213137,3750.0
1706074727.0681217,213854,1000.0
1706074728.4706297,214397,500.0
1706074972.810963,214818,775.0
1706074975.3822534,215706,975.0
1706074977.167835,216416,3725.0
