Wall time,Step,Value
1706056896.1636117,13857,0.0
1706056961.9010572,20027,0.0
1706056975.9601202,21338,125.0
1706057108.260032,33269,0.0
1706057165.797558,38419,0.0
1706057215.5920885,41969,25.0
1706057239.0809426,44130,0.0
1706057255.0476966,45598,50.0
1706057292.2771099,48863,175.0
1706057348.1256166,53794,0.0
1706057449.1903694,62377,75.0
1706057487.683482,65814,50.0
1706057548.6950724,71248,0.0
1706057704.1882682,84780,0.0
1706057714.8018813,85662,0.0
1706057796.2256708,92824,0.0
1706057802.674546,93379,0.0
1706057832.8036573,96016,50.0
1706057850.4069417,97567,0.0
1706057917.44405,102900,0.0
1706057934.6384325,104364,0.0
1706058077.8874333,116933,125.0
1706058125.202739,120500,0.0
1706058160.2708564,123594,100.0
1706058175.3543766,124890,50.0
1706058177.5501714,125083,0.0
1706058211.6865454,128086,75.0
1706058228.579372,129495,0.0
1706058339.7248037,138988,25.0
1706058615.2300382,161773,25.0
1706058633.6764321,163405,475.0
1706059119.925072,204391,150.0
1706059125.260192,204843,25.0
1706059144.8666933,206508,0.0
1706059187.6971872,210278,0.0
1706059262.1847434,216653,0.0
1706059339.029128,222784,0.0
1706059384.7588995,226652,600.0
1706059393.154964,227366,0.0
1706059407.5824466,228594,0.0
1706059418.0341146,229531,175.0
1706059469.3024094,233989,575.0
1706059486.39908,235476,25.0
1706059691.2543573,252663,50.0
1706059813.323777,262604,150.0
1706059838.7715518,264832,0.0
1706059839.5838082,264908,0.0
1706059883.0986557,268541,25.0
1706059959.5577052,275219,50.0
1706059982.1640909,277213,75.0
1706060006.8842974,279280,0.0
1706060118.961283,288150,600.0
1706060275.0633144,300767,0.0
1706060347.9383714,306914,50.0
1706060382.3751826,309823,125.0
1706060397.5318165,311138,550.0
1706060436.630186,314478,75.0
1706060448.059588,315491,0.0
1706060450.8186798,315735,50.0
1706060490.1872258,319007,0.0
1706060574.9925313,325610,50.0
1706060642.514434,331305,0.0
1706060713.4857218,337397,0.0
1706060833.3994305,347081,175.0
1706060927.2804308,355155,0.0
1706060938.4205122,356128,0.0
1706061009.9374108,361721,25.0
1706061022.565645,362799,0.0
1706061064.0871236,366322,25.0
1706061163.2660277,374759,0.0
1706061174.3506396,375644,425.0
1706061411.1950746,394924,75.0
1706061438.1921713,397177,125.0
1706061534.132672,404840,0.0
1706061581.0004828,408773,0.0
1706061740.7188792,421725,0.0
1706061746.2794595,422166,225.0
1706061793.4980206,426227,0.0
1706062032.3198702,445998,75.0
1706062080.9053879,450063,0.0
1706062084.4945576,450392,0.0
1706062136.236681,454795,150.0
1706062149.1263382,455871,50.0
1706062176.1666226,458121,100.0
1706062222.2470272,461563,25.0
1706062257.129432,464488,25.0
1706062330.868739,470726,125.0
1706062387.7337615,475558,0.0
1706062439.1436014,479886,0.0
1706062694.5326653,500165,0.0
1706062885.3825316,516309,0.0
1706062939.1416388,520168,200.0
1706062954.0999618,521408,0.0
1706063037.6124613,528468,500.0
1706063064.8586721,530774,125.0
1706063082.8302581,532268,125.0
1706063149.6512768,537876,25.0
1706063223.4636798,543402,175.0
1706063258.4585125,546303,0.0
1706063261.7712262,546608,50.0
1706063353.8215268,554358,0.0
1706063418.0008864,559629,0.0
1706063482.7024999,564291,200.0
1706063485.395448,564520,100.0
1706063511.3237839,566750,100.0
1706063512.8766057,566900,75.0
1706063524.4469726,567857,250.0
1706063783.3174496,588739,200.0
1706063801.4885795,590250,150.0
1706063808.4779973,590811,25.0
1706063819.5445783,591723,0.0
1706063976.4789555,604273,125.0
1706064000.1206343,606264,25.0
1706064070.9035473,612184,50.0
1706064127.1733572,617076,0.0
1706064225.4658399,624645,50.0
1706064315.84671,632212,0.0
1706064321.24357,632671,425.0
1706064382.4773862,637866,25.0
1706064564.3865235,652487,0.0
1706064612.703246,656550,0.0
1706064843.0290651,675172,50.0
1706064877.5954275,678020,150.0
1706064882.1845605,678395,0.0
1706064977.292969,685825,0.0
1706065057.7323122,692383,450.0
1706065111.7608256,696937,125.0
1706065215.402433,704847,0.0
1706065219.2554245,705164,125.0
1706065248.0156565,707565,25.0
1706065296.965514,711606,0.0
1706065326.1267297,714009,125.0
1706065365.5151792,717169,225.0
1706065538.4200068,730916,0.0
1706065709.5620599,744703,25.0
1706065943.1989312,763358,25.0
1706066265.0829282,789677,525.0
1706066274.4275265,790421,125.0
1706066346.7078753,796437,25.0
1706066409.3495317,801023,50.0
1706066453.3826587,804714,350.0
1706066494.0218847,808118,625.0
1706066529.8604639,811048,500.0
1706066564.171758,813896,0.0
1706066566.8043785,814103,100.0
1706066626.9417284,819001,0.0
1706066649.4447787,820169,250.0
1706066700.1497219,824420,25.0
1706066709.9257386,825205,0.0
1706066951.047621,844498,125.0
1706067034.4097095,851403,200.0
1706067071.5899305,854509,25.0
1706067205.252335,864843,175.0
1706067258.070936,869192,50.0
1706067301.278262,872744,0.0
1706067339.9423711,875960,75.0
1706067584.122067,895596,0.0
1706067595.7328103,896543,50.0
1706067771.3381667,910286,150.0
1706067825.8625267,914860,0.0
1706067884.8703527,919764,0.0
1706067886.2890263,919883,150.0
1706068022.230635,930249,0.0
1706068062.9394338,933647,0.0
1706068100.79546,936799,0.0
1706068130.283515,939231,25.0
1706068188.2037797,943320,550.0
1706068189.3826666,943419,100.0
1706068220.9238703,946030,25.0
1706068226.6830683,946510,25.0
1706068252.490053,948582,150.0
1706068342.9781897,956051,0.0
1706068374.2025285,958568,0.0
1706068421.8076115,961946,50.0
1706068440.0484262,963517,0.0
1706068518.0092363,969784,100.0
1706068543.8319147,971857,25.0
1706068552.3335025,972567,225.0
1706068756.2586374,988577,100.0
1706068761.2713156,988992,100.0
1706068828.6180382,994582,75.0
1706068924.8195903,1001647,25.0
1706068940.9348395,1002943,100.0
1706069005.4474552,1008139,200.0
1706069032.9285302,1010376,50.0
1706069096.1124897,1015623,25.0
1706069228.8703916,1025564,100.0
1706069235.1598961,1026070,825.0
1706069317.0081336,1032944,75.0
1706069342.8756318,1035068,0.0
1706069813.802389,1071807,25.0
1706069832.9745867,1073347,0.0
1706069858.3428845,1075420,75.0
1706069929.9137654,1080467,0.0
1706069964.40079,1083308,0.0
1706069974.3896372,1084169,625.0
1706070099.276547,1094317,475.0
1706070110.9299462,1095283,0.0
1706070281.4611454,1108376,75.0
1706070377.4155307,1116397,50.0
1706070397.0280957,1117988,150.0
1706070454.764864,1121803,0.0
1706070986.0907595,1164139,150.0
1706071030.067002,1167670,250.0
1706071072.56233,1171198,0.0
1706071102.4604998,1173758,175.0
1706071355.6449041,1193542,175.0
1706071425.867088,1199377,0.0
1706071569.7730422,1210421,25.0
1706071576.3507314,1210995,0.0
1706071643.9359,1216632,0.0
1706071751.5940046,1224696,75.0
1706071776.4465115,1226761,100.0
1706071823.7544947,1230686,100.0
1706071882.6214108,1235630,50.0
1706071885.277027,1235846,525.0
1706071947.8038118,1240147,25.0
1706071999.204052,1244362,0.0
1706072103.4683588,1252846,25.0
1706072174.1343508,1258638,150.0
1706072337.454021,1271348,0.0
1706072626.226818,1294820,100.0
1706072631.9941304,1295278,50.0
