Wall time,Step,Value
1706056806.9072866,1379,200.0
1706056807.7092042,1743,200.0
1706057223.1421468,4124,25.0
1706057226.6422577,5413,25.0
1706057444.7966158,5658,25.0
1706057447.0850563,6497,25.0
1706057447.7201324,6740,25.0
1706057668.144385,7286,400.0
1706057671.317799,8544,700.0
1706057672.4520926,8994,325.0
1706057897.249936,10382,200.0
1706057898.675465,10842,275.0
1706058363.4189618,15741,350.0
1706058591.076822,16516,275.0
1706058824.3033764,19818,275.0
1706058825.4518504,20278,425.0
1706058826.485057,20713,400.0
1706059052.6404333,21523,350.0
1706059055.853746,22829,400.0
1706059284.1270308,23965,425.0
1706059510.9167929,25148,400.0
1706059511.9294047,25496,325.0
1706059513.0253112,25902,650.0
1706059514.3643274,26407,725.0
1706059742.2728007,27232,275.0
1706059743.571916,27652,375.0
1706059744.7625022,28074,475.0
1706059745.7641513,28393,375.0
1706059973.356036,29242,450.0
1706059974.5848951,29601,400.0
1706060208.7034552,32175,350.0
1706060210.4471326,32885,375.0
1706060436.6626573,33283,675.0
1706060439.010298,34198,700.0
1706060669.110914,35540,675.0
1706060672.9453726,37108,700.0
1706061141.9600027,41759,750.0
1706061370.9299746,42182,275.0
1706061374.3842278,43498,425.0
1706061607.5326853,45014,450.0
1706061608.9654078,45561,550.0
1706061611.1958444,46440,525.0
1706062076.1568534,49761,725.0
1706062311.4035063,52586,700.0
1706062547.6885583,54859,350.0
1706062548.5787108,55212,275.0
1706062551.1176112,56230,900.0
1706062783.9733121,57098,600.0
1706062785.4274492,57676,525.0
1706063021.3067214,60127,375.0
1706063022.6183455,60643,750.0
1706063262.7930944,64425,525.0
1706063494.3039389,65739,775.0
1706063495.862436,66340,750.0
1706063733.7070882,68736,500.0
1706063976.5686746,72758,750.0
1706064218.201611,74990,825.0
1706064221.849315,76339,425.0
1706064225.5600364,77653,475.0
1706064698.7547023,81307,450.0
1706064700.3253305,81863,775.0
1706064702.1336496,82510,775.0
1706064939.201717,84335,750.0
1706064941.1607609,85003,400.0
1706064943.013671,85721,775.0
1706065181.631413,88289,750.0
1706065187.407978,90573,775.0
1706065421.5633156,91119,550.0
1706065422.904322,91651,500.0
1706065666.2929869,94261,650.0
1706065667.841807,94766,775.0
1706065669.58771,95388,675.0
1706065912.762727,99011,275.0
1706066149.1971848,100940,800.0
1706066150.8949926,101627,775.0
1706066151.965509,102043,600.0
1706066388.0478036,102659,575.0
1706066390.4906104,103624,725.0
1706066393.183216,104713,750.0
1706066631.82765,106549,450.0
1706066635.3793206,107837,475.0
1706066871.5045085,108966,475.0
1706066873.2001526,109626,800.0
1706066878.2737672,111628,825.0
1706067116.0935616,112019,650.0
1706067117.806095,112691,450.0
1706067119.528289,113357,700.0
1706067122.0576258,114318,425.0
1706067363.4587853,117517,325.0
1706067849.5180387,123982,775.0
1706068088.4162354,125405,775.0
1706068091.8972292,126747,700.0
1706068330.33026,127691,1000.0
1706068331.8515267,128290,425.0
1706068582.5645237,134526,600.0
1706068822.6761382,137473,525.0
1706068824.313842,138112,700.0
1706069061.82217,138776,500.0
1706069064.7802227,139907,475.0
1706069549.51697,145600,325.0
1706069551.671719,146440,525.0
1706069556.4460058,148354,500.0
1706069796.0605714,149967,1025.0
1706069799.583831,151354,475.0
1706070040.4425776,152948,500.0
1706070043.7203064,154135,700.0
1706070045.190536,154697,550.0
1706070287.6214244,156082,4200.0
