Wall time,Step,Value
1706056806.907322,1379,20000.0
1706056807.709242,1743,20000.0
1706057223.1421828,4124,60000.0
1706057226.6423078,5413,60000.0
1706057444.7966557,5658,80000.0
1706057447.0850945,6497,80000.0
1706057447.7201736,6740,80000.0
1706057668.1444223,7286,100000.0
1706057671.317836,8544,100000.0
1706057672.452136,8994,100000.0
1706057897.249994,10382,120000.0
1706057898.6755288,10842,120000.0
1706058363.4190044,15741,160000.0
1706058591.0768647,16516,180000.0
1706058824.3034286,19818,200000.0
1706058825.4519162,20278,200000.0
1706058826.4850962,20713,200000.0
1706059052.6404815,21523,220000.0
1706059055.853787,22829,220000.0
1706059284.1270673,23965,240000.0
1706059510.9168804,25148,260000.0
1706059511.9294689,25496,260000.0
1706059513.0253751,25902,260000.0
1706059514.3643923,26407,260000.0
1706059742.2728574,27232,280000.0
1706059743.5719707,27652,280000.0
1706059744.762537,28074,280000.0
1706059745.7641897,28393,280000.0
1706059973.3560932,29242,300000.0
1706059974.5849483,29601,300000.0
1706060208.7034922,32175,320000.0
1706060210.4471717,32885,320000.0
1706060436.6626978,33283,340000.0
1706060439.010336,34198,340000.0
1706060669.110962,35540,360000.0
1706060672.945412,37108,360000.0
1706061141.9600453,41759,400000.0
1706061370.9300115,42182,420000.0
1706061374.3842633,43498,420000.0
1706061607.5327399,45014,440000.0
1706061608.9654548,45561,440000.0
1706061611.195884,46440,440000.0
1706062076.1568913,49761,480000.0
1706062311.4035437,52586,500000.0
1706062547.6886163,54859,520000.0
1706062548.578755,55212,520000.0
1706062551.1176658,56230,520000.0
1706062783.973367,57098,540000.0
1706062785.4275005,57676,540000.0
1706063021.3067582,60127,560000.0
1706063022.6183865,60643,560000.0
1706063262.7931356,64425,580000.0
1706063494.3039887,65739,600000.0
1706063495.862483,66340,600000.0
1706063733.7071369,68736,620000.0
1706063976.5687451,72758,640000.0
1706064218.2016683,74990,660000.0
1706064221.8493724,76339,660000.0
1706064225.560106,77653,660000.0
1706064698.7547438,81307,700000.0
1706064700.3254063,81863,700000.0
1706064702.1336887,82510,700000.0
1706064939.2017753,84335,720000.0
1706064941.1608214,85003,720000.0
1706064943.0137403,85721,720000.0
1706065181.6314683,88289,740000.0
1706065187.408036,90573,740000.0
1706065421.5634255,91119,760000.0
1706065422.9043763,91651,760000.0
1706065666.2930493,94261,780000.0
1706065667.8418615,94766,780000.0
1706065669.5877657,95388,780000.0
1706065912.7627761,99011,800000.0
1706066149.1972206,100940,820000.0
1706066150.8950384,101627,820000.0
1706066151.9655583,102043,820000.0
1706066388.0478456,102659,840000.0
1706066390.4906464,103624,840000.0
1706066393.1832745,104713,840000.0
1706066631.8277047,106549,860000.0
1706066635.379357,107837,860000.0
1706066871.5045638,108966,880000.0
1706066873.2002106,109626,880000.0
1706066878.2738023,111628,880000.0
1706067116.0936177,112019,900000.0
1706067117.806133,112691,900000.0
1706067119.5283432,113357,900000.0
1706067122.057664,114318,900000.0
1706067363.4588778,117517,920000.0
1706067849.5180962,123982,960000.0
1706068088.4162717,125405,980000.0
1706068091.897276,126747,980000.0
1706068330.330316,127691,1000000.0
1706068331.851571,128290,1000000.0
1706068582.5645635,134526,1020000.0
1706068822.6761782,137473,1040000.0
1706068824.3138888,138112,1040000.0
1706069061.8222077,138776,1060000.0
1706069064.780283,139907,1060000.0
1706069549.5170221,145600,1100000.0
1706069551.6717627,146440,1100000.0
1706069556.4460523,148354,1100000.0
1706069796.060629,149967,1120000.0
1706069799.5838723,151354,1120000.0
1706070040.4426336,152948,1140000.0
1706070043.7203605,154135,1140000.0
1706070045.1905959,154697,1140000.0
1706070287.6214952,156082,1160000.0
1706070293.3376975,158096,1160000.0
1706070295.3675678,158831,1160000.0
1706070536.8177805,160240,1180000.0
1706070784.7990005,164145,1200000.0
1706070786.168861,164679,1200000.0
1706070788.886449,165637,1200000.0
1706070790.475914,166150,1200000.0
1706071280.6924021,171925,1240000.0
1706071284.931606,173371,1240000.0
1706071286.5919197,174028,1240000.0
1706071529.7551048,176105,1260000.0
1706071775.3189788,178741,1280000.0
1706071779.4988647,180398,1280000.0
1706071780.8530335,180922,1280000.0
1706072024.3155608,183108,1300000.0
1706072029.5639853,184948,1300000.0
1706072275.3086336,188975,1320000.0
1706072516.3296194,190673,1340000.0
1706072518.4259322,191337,1340000.0
1706072771.6065462,195371,1360000.0
1706072774.2110264,196292,1360000.0
1706073017.2526023,198102,1380000.0
1706073023.2113268,200445,1380000.0
1706073264.6225748,201963,1400000.0
1706073266.7237244,202789,1400000.0
1706073511.1343708,206380,1420000.0
1706073515.0414977,207945,1420000.0
1706073518.466335,209328,1420000.0
1706073763.5382745,212274,1440000.0
1706074007.5867326,214807,1460000.0
1706074010.2900615,215687,1460000.0
1706074012.365106,216408,1460000.0
1706074254.1615353,217216,1480000.0
1706074256.3411007,218047,1480000.0
1706074258.2349503,218802,1480000.0
1706074508.8764539,223832,1500000.0
1706074752.5445435,225803,1520000.0
1706074754.1801157,226410,1520000.0
1706075250.8198907,232719,1560000.0
1706075498.307043,235703,1580000.0
1706075500.3074818,236467,1580000.0
1706075502.7109084,237378,1580000.0
1706075505.175261,238294,1580000.0
1706075507.1499083,239050,1580000.0
1706075753.1649528,241107,1600000.0
1706076001.384127,244384,1620000.0
1706076005.9850307,246079,1620000.0
1706076254.8785398,248437,1640000.0
1706076256.2717607,248898,1640000.0
1706076507.2366567,251741,1660000.0
1706076509.2267299,252531,1660000.0
1706076751.8067622,253146,1680000.0
1706076758.1344411,255675,1680000.0
1706077010.521644,258070,1700000.0
1706077011.9720693,258608,1700000.0
1706077260.8848684,260945,1720000.0
1706077263.5001304,261892,1720000.0
1706077512.8648107,265115,1740000.0
1706077762.4508986,268614,1760000.0
1706077764.9216943,269428,1760000.0
1706077766.9553952,270159,1760000.0
1706077772.994113,272449,1760000.0
1706078016.4387097,273089,1780000.0
1706078018.601049,273820,1780000.0
1706078023.464842,275535,1780000.0
1706078025.3384619,276239,1780000.0
1706078267.8752902,276562,1800000.0
1706078270.5833054,277490,1800000.0
1706078523.6327376,280957,1820000.0
1706078528.005255,282536,1820000.0
1706078530.3327858,283442,1820000.0
1706078531.682838,283958,1820000.0
1706078779.6921663,285554,1840000.0
1706079030.182476,288440,1860000.0
1706079031.7826452,289086,1860000.0
1706079277.660477,291980,1880000.0
1706079279.3382304,292658,1880000.0
1706079283.5646074,294371,1880000.0
1706079528.9298797,295764,1900000.0
1706079537.7477586,299088,1900000.0
1706079780.0452635,299768,1920000.0
1706079785.7781515,301785,1920000.0
1706079787.893127,302645,1920000.0
1706080032.7105958,303491,1940000.0
1706080034.8389108,304250,1940000.0
1706080039.7913356,306115,1940000.0
1706080042.3806238,307111,1940000.0
1706080285.5062447,308693,1960000.0
1706080287.0382252,309299,1960000.0
1706080289.782329,310392,1960000.0
1706080535.0569372,312163,1980000.0
1706080542.0109725,314867,1980000.0
1706080790.9853916,318236,2000000.0
1706081039.6821256,321248,2020000.0
1706081040.8364553,321695,2020000.0
1706081286.0589018,323709,2040000.0
1706081293.101678,326398,2040000.0
1706081533.5198936,326936,2060000.0
1706081535.2678747,327629,2060000.0
1706081537.4486034,328480,2060000.0
1706081539.0481617,329087,2060000.0
1706081541.0805027,329870,2060000.0
1706081789.5328934,332296,2080000.0
1706081792.35812,333166,2080000.0
1706081794.4475815,333909,2080000.0
1706082039.1069667,334730,2100000.0
1706082044.8743515,336813,2100000.0
1706082543.0964258,341206,2140000.0
1706082549.0446615,343499,2140000.0
1706082550.9298382,344242,2140000.0
1706082800.0424168,346107,2160000.0
1706082801.8040473,346664,2160000.0
1706082803.1944213,347135,2160000.0
1706083047.7964911,348434,2180000.0
1706083050.870815,349650,2180000.0
