Wall time,Step,Value
1706056718.333416,8606,0.0
1706056751.615087,13857,0.0
1706056808.1629195,20060,50.0
1706056821.039112,21502,0.0
1706056930.5453792,33170,0.0
1706056986.1521716,38585,25.0
1706057031.4318538,42297,0.0
1706057060.143507,44975,50.0
1706057076.0495162,46427,175.0
1706057113.9000964,49890,25.0
1706057167.6397736,54910,0.0
1706057266.2299163,63776,0.0
1706057306.409976,67423,50.0
1706057361.3754878,72417,0.0
1706057378.3045044,73991,50.0
1706057499.0506256,84703,0.0
1706057510.7468257,85765,0.0
1706057521.1601098,86682,25.0
1706057605.5729718,94404,0.0
1706057612.1370132,95008,0.0
1706057642.4360142,97760,50.0
1706057655.432753,98976,575.0
1706057663.7947013,99743,150.0
1706057738.3438468,105870,0.0
1706057757.6471152,107604,50.0
1706057862.2985258,117060,150.0
1706057906.2922783,120446,0.0
1706057948.0689504,124153,0.0
1706057977.908938,126890,0.0
1706057994.24894,128313,25.0
1706057996.5461674,128535,100.0
1706058029.7049327,131525,25.0
1706058045.9311717,132923,25.0
1706058158.4252849,142350,0.0
1706058432.7616985,166013,0.0
1706058450.998438,167659,0.0
1706058452.0091856,167741,50.0
1706058855.4655368,202551,175.0
1706058929.638027,209166,0.0
1706058934.824276,209626,75.0
1706058955.1805537,211424,0.0
1706058996.1309023,215108,0.0
1706059075.5999756,221856,125.0
1706059139.3001084,227415,125.0
1706059148.7404418,228286,125.0
1706059186.8529937,231713,0.0
1706059195.4002006,232428,0.0
1706059210.0148082,233688,0.0
1706059218.3103175,234435,0.0
1706059269.9332545,238989,25.0
1706059291.3182747,240507,50.0
1706059346.3096552,245464,50.0
1706059473.0998216,256755,0.0
1706059588.3439713,266530,50.0
1706059610.1278367,268455,175.0
1706059612.5987036,268655,675.0
1706059653.4735498,272192,0.0
1706059726.1544101,278664,50.0
1706059752.3979647,280519,125.0
1706059776.1334271,282631,0.0
1706059873.9545949,291273,0.0
1706059920.1592314,295407,0.0
1706060025.2270496,304151,575.0
1706060052.2882812,306503,175.0
1706060096.5141003,310320,125.0
1706060132.2958252,313491,125.0
1706060150.8897772,315176,100.0
1706060187.3504474,318375,0.0
1706060201.1991262,319617,550.0
1706060203.8983688,319857,0.0
1706060254.5157394,323922,0.0
1706060332.5850213,330840,75.0
1706060399.0187283,336758,0.0
1706060475.1948376,342964,0.0
1706060582.9690928,352554,25.0
1706060687.041682,361243,125.0
1706060700.76005,362452,0.0
1706060762.62099,367922,125.0
1706060774.8549888,369012,75.0
1706060812.1086578,372273,50.0
1706060919.624497,381233,75.0
1706060929.2166932,382078,125.0
1706061159.9185994,401637,75.0
1706061185.5468855,403905,75.0
1706061277.7628613,411906,0.0
1706061317.7319348,415383,0.0
1706061482.1501362,429245,550.0
