Wall time,Step,Value
1706056816.4722836,4138,0.0
1706056818.716529,5176,0.0
1706057233.2686799,7511,0.0
1706057236.781178,8796,0.0
1706057453.9218464,9142,450.0
1706057456.6838078,10210,125.0
1706057457.6800535,10582,500.0
1706057677.757126,10947,250.0
1706057680.1633816,11913,250.0
1706057681.9179132,12490,975.0
1706057906.042785,13883,300.0
1706057907.1057048,14316,275.0
1706058365.2321432,19661,300.0
1706058591.3522515,20564,350.0
1706058825.012956,23546,275.0
1706058826.011638,23934,350.0
1706058827.7507992,24485,650.0
1706059056.07698,25270,350.0
1706059059.800297,26612,325.0
1706059288.4037683,27778,350.0
1706059516.280307,29260,650.0
1706059517.2116954,29637,275.0
1706059518.6025493,30173,300.0
1706059519.6505454,30602,400.0
1706059745.1656585,31416,175.0
1706059746.6894538,32018,900.0
1706059748.3181238,32638,1000.0
1706059749.3294032,33026,225.0
1706059975.6428504,34053,650.0
1706059976.6033292,34439,325.0
1706060210.5548055,37275,675.0
1706060213.137666,38192,725.0
1706060439.8886046,38566,350.0
1706060442.145516,39475,350.0
1706060671.0979214,40508,625.0
1706060676.1674347,42474,625.0
1706061149.6189647,48007,675.0
1706061379.0849128,48483,725.0
1706061382.5675194,49767,325.0
1706061611.9258623,51352,450.0
1706061613.2310057,51868,650.0
1706061615.8363488,52853,250.0
1706062078.973454,57376,625.0
1706062314.0776272,60352,725.0
1706062549.6955523,62382,775.0
1706062551.6262789,63166,975.0
1706062554.4365458,64184,1125.0
1706062788.1216083,65209,775.0
1706062789.716199,65725,775.0
1706063031.8225944,68524,1200.0
1706063033.936214,69178,775.0
1706063276.6532233,72527,250.0
1706063511.9863057,73512,775.0
1706063513.2904177,73980,750.0
1706063750.5534425,75571,675.0
1706063998.7036393,79858,725.0
1706064237.3806572,81609,750.0
1706064240.5483253,82772,1175.0
1706064242.6958673,83619,225.0
1706064725.8470726,87289,825.0
1706064727.1344852,87759,400.0
1706064728.4971473,88180,350.0
1706064968.6343966,89881,750.0
1706064969.9163764,90391,475.0
1706064970.9025507,90769,625.0
1706065211.1164558,93600,600.0
1706065215.1359782,95218,675.0
1706065452.7702568,95665,725.0
1706065454.5829718,96387,750.0
1706065701.4821858,98639,350.0
1706065703.4435616,99292,750.0
1706065705.5834415,100133,1050.0
1706065956.7240334,105351,525.0
1706066198.3100162,107173,1350.0
1706066199.876099,107804,500.0
1706066201.7267346,108519,400.0
1706066442.700286,109332,950.0
1706066445.0307202,110257,525.0
1706066448.9615927,111651,600.0
1706066688.7429721,112690,475.0
1706066690.8720067,113513,600.0
1706066931.4442906,114853,700.0
1706066934.3743281,115809,1225.0
1706066938.786552,117337,475.0
1706067178.3697038,117806,550.0
1706067180.1211758,118460,775.0
1706067181.5514026,118930,575.0
1706067185.1436985,120067,875.0
1706067432.1905575,122581,375.0
1706067926.285876,129307,1025.0
1706068169.163813,130672,800.0
1706068175.34019,132790,700.0
1706068418.0969892,133683,750.0
1706068420.7713654,134615,675.0
1706068676.2882273,140852,525.0
1706068922.1811175,143651,825.0
1706068923.6344433,144162,825.0
1706069163.6251163,144757,400.0
1706069167.0754793,146065,475.0
1706069658.7283065,151101,525.0
1706069660.4425673,151653,450.0
1706069665.1138027,153346,400.0
1706069907.699002,154643,475.0
1706069911.507943,156032,825.0
1706070159.0789118,157519,825.0
1706070162.4962475,158785,500.0
1706070164.238636,159327,375.0
1706070410.0128818,160587,775.0
1706070413.4855003,161871,750.0
1706070415.9121387,162660,525.0
1706070661.341277,164180,4200.0
1706070911.2723508,167687,775.0
1706070912.8155112,168291,575.0
1706070915.5736735,169275,1325.0
1706070917.7913144,170136,1275.0
1706071416.296018,175594,800.0
1706071419.1723654,176757,1250.0
1706071420.737998,177356,825.0
1706071666.45613,179783,1325.0
1706071911.5090697,182204,550.0
1706071914.9846659,183471,1075.0
1706071916.5408156,183962,400.0
1706072161.1125734,185772,550.0
1706072164.381758,186915,450.0
1706072412.8019087,189910,450.0
1706072657.0190897,191086,450.0
1706072659.0131512,191859,525.0
1706072908.8033237,195226,675.0
1706072910.2859814,195820,750.0
1706073152.1928074,197074,775.0
1706073157.6850824,199078,800.0
1706073406.973713,201043,500.0
1706073408.8552265,201708,700.0
1706073660.043548,204623,950.0
1706073663.933474,205942,325.0
1706073668.3010263,207568,425.0
1706073917.3032994,210341,1100.0
