Wall time,Step,Value
1706056816.4723268,4138,20000.0
1706056818.716573,5176,20000.0
1706057233.2687328,7511,60000.0
1706057236.7812293,8796,60000.0
1706057453.9219105,9142,80000.0
1706057456.68385,10210,80000.0
1706057457.6801338,10582,80000.0
1706057677.75718,10947,100000.0
1706057680.1634321,11913,100000.0
1706057681.9179788,12490,100000.0
1706057906.042821,13883,120000.0
1706057907.105749,14316,120000.0
1706058365.2321796,19661,160000.0
1706058591.3522964,20564,180000.0
1706058825.0129917,23546,200000.0
1706058826.0116932,23934,200000.0
1706058827.7508519,24485,200000.0
1706059056.0770524,25270,220000.0
1706059059.8003485,26612,220000.0
1706059288.40382,27778,240000.0
1706059516.2803562,29260,260000.0
1706059517.2117727,29637,260000.0
1706059518.6025844,30173,260000.0
1706059519.6505928,30602,260000.0
1706059745.1657605,31416,280000.0
1706059746.689489,32018,280000.0
1706059748.3181753,32638,280000.0
1706059749.329447,33026,280000.0
1706059975.6429226,34053,300000.0
1706059976.6033769,34439,300000.0
1706060210.5548506,37275,320000.0
1706060213.1377053,38192,320000.0
1706060439.8886416,38566,340000.0
1706060442.145581,39475,340000.0
1706060671.09796,40508,360000.0
1706060676.1674953,42474,360000.0
1706061149.6190183,48007,400000.0
1706061379.084953,48483,420000.0
1706061382.5675685,49767,420000.0
1706061611.925902,51352,440000.0
1706061613.231058,51868,440000.0
1706061615.8363826,52853,440000.0
1706062078.973503,57376,480000.0
1706062314.0776901,60352,500000.0
1706062549.6955898,62382,520000.0
1706062551.6263251,63166,520000.0
1706062554.4365811,64184,520000.0
1706062788.1217146,65209,540000.0
1706062789.7162642,65725,540000.0
1706063031.8226523,68524,560000.0
1706063033.9362633,69178,560000.0
1706063276.6532588,72527,580000.0
1706063511.9863942,73512,600000.0
1706063513.2905009,73980,600000.0
1706063750.5535107,75571,620000.0
1706063998.703688,79858,640000.0
1706064237.3807113,81609,660000.0
1706064240.548363,82772,660000.0
1706064242.6959133,83619,660000.0
1706064725.847118,87289,700000.0
1706064727.1345446,87759,700000.0
1706064728.4972048,88180,700000.0
1706064968.6344543,89881,720000.0
1706064969.9164238,90391,720000.0
1706064970.9026031,90769,720000.0
1706065211.116492,93600,740000.0
1706065215.1360137,95218,740000.0
1706065452.7703023,95665,760000.0
1706065454.5830212,96387,760000.0
1706065701.482238,98639,780000.0
1706065703.443596,99292,780000.0
1706065705.5834982,100133,780000.0
1706065956.7240956,105351,800000.0
1706066198.310095,107173,820000.0
1706066199.8761897,107804,820000.0
1706066201.726773,108519,820000.0
1706066442.7003279,109332,840000.0
1706066445.030761,110257,840000.0
1706066448.961632,111651,840000.0
1706066688.7430074,112690,860000.0
1706066690.8720496,113513,860000.0
1706066931.4443638,114853,880000.0
1706066934.3743923,115809,880000.0
1706066938.7865932,117337,880000.0
1706067178.36975,117806,900000.0
1706067180.1212466,118460,900000.0
1706067181.5514588,118930,900000.0
1706067185.1437788,120067,900000.0
1706067432.190632,122581,920000.0
1706067926.2859256,129307,960000.0
1706068169.1638596,130672,980000.0
1706068175.3402705,132790,980000.0
1706068418.09709,133683,1000000.0
1706068420.771424,134615,1000000.0
1706068676.288267,140852,1020000.0
1706068922.1811845,143651,1040000.0
1706068923.6344893,144162,1040000.0
1706069163.6251597,144757,1060000.0
1706069167.0755417,146065,1060000.0
1706069658.7284107,151101,1100000.0
1706069660.4426434,151653,1100000.0
1706069665.1138656,153346,1100000.0
1706069907.699064,154643,1120000.0
1706069911.5079775,156032,1120000.0
1706070159.0789714,157519,1140000.0
1706070162.4963083,158785,1140000.0
1706070164.2387042,159327,1140000.0
1706070410.0129485,160587,1160000.0
1706070413.4855387,161871,1160000.0
1706070415.912186,162660,1160000.0
1706070661.341386,164180,1180000.0
1706070911.2724278,167687,1200000.0
1706070912.8155587,168291,1200000.0
1706070915.5737216,169275,1200000.0
1706070917.7913554,170136,1200000.0
1706071416.296068,175594,1240000.0
1706071419.1724126,176757,1240000.0
1706071420.738056,177356,1240000.0
1706071666.4561996,179783,1260000.0
1706071911.5091252,182204,1280000.0
1706071914.984713,183471,1280000.0
1706071916.5408673,183962,1280000.0
1706072161.1126714,185772,1300000.0
1706072164.3818126,186915,1300000.0
1706072412.8019779,189910,1320000.0
1706072657.0191228,191086,1340000.0
1706072659.0132208,191859,1340000.0
1706072908.8033762,195226,1360000.0
1706072910.28603,195820,1360000.0
1706073152.192921,197074,1380000.0
1706073157.6851296,199078,1380000.0
1706073406.973786,201043,1400000.0
1706073408.855262,201708,1400000.0
1706073660.043608,204623,1420000.0
1706073663.9335337,205942,1420000.0
1706073668.301068,207568,1420000.0
1706073917.3033457,210341,1440000.0
1706074167.6567168,213296,1460000.0
1706074171.3599484,214518,1460000.0
1706074173.3028991,215175,1460000.0
1706074417.953013,216123,1480000.0
1706074419.5884757,216620,1480000.0
1706074421.0759985,217161,1480000.0
1706074678.654172,222291,1500000.0
1706074930.076437,224260,1520000.0
1706074931.503765,224723,1520000.0
1706075428.1507816,230436,1560000.0
1706075675.5800679,232827,1580000.0
1706075678.186109,233842,1580000.0
1706075679.5387633,234371,1580000.0
1706075681.9523032,235335,1580000.0
1706075683.3004088,235880,1580000.0
1706075932.864758,238191,1600000.0
1706076186.0952501,242197,1620000.0
1706076189.5356956,243565,1620000.0
1706076438.1989663,246020,1640000.0
1706076439.6241457,246581,1640000.0
1706076691.6157296,249477,1660000.0
1706076693.7775772,250196,1660000.0
1706076937.4878645,250789,1680000.0
1706076944.1352108,253038,1680000.0
1706077190.3290837,255546,1700000.0
1706077192.0748703,256160,1700000.0
1706077437.162983,258695,1720000.0
1706077439.2702687,259468,1720000.0
1706077685.6493917,262625,1740000.0
1706077934.3183095,265863,1760000.0
1706077936.0376136,266454,1760000.0
1706077937.8630748,267064,1760000.0
1706077941.24597,268278,1760000.0
1706078185.3335838,268941,1780000.0
1706078187.295763,269663,1780000.0
1706078191.1905475,270994,1780000.0
1706078193.1936533,271665,1780000.0
1706078437.244686,272327,1800000.0
1706078439.369574,273151,1800000.0
1706078686.8739202,276508,1820000.0
1706078689.7962382,277708,1820000.0
