Wall time,Step,Value
1706056756.8478675,13857,0.0
1706056804.0698612,19666,0.0
1706056827.3578072,20987,0.0
1706056945.1997092,33620,175.0
1706056997.000937,38500,0.0
1706057040.3090668,42058,50.0
1706057063.2027924,44235,0.0
1706057080.545439,45820,0.0
1706057116.748355,49170,175.0
1706057171.0087311,54277,50.0
1706057267.3142257,62880,275.0
1706057302.4820652,66110,125.0
1706057362.1252549,71615,0.0
1706057513.8947687,85089,250.0
1706057526.0702443,86182,0.0
1706057611.7713304,94083,0.0
1706057617.801851,94649,50.0
1706057652.0446806,97726,375.0
1706057670.9858084,99468,50.0
1706057743.6515386,105486,250.0
1706057760.801187,107022,0.0
1706057891.3730958,118876,75.0
1706057937.9402688,122605,0.0
1706057972.2257416,125724,25.0
1706057986.4365666,127005,0.0
1706057989.8104177,127293,25.0
1706058019.1180923,129989,0.0
1706058034.8417299,131386,50.0
1706058139.848362,140172,100.0
1706058406.937358,163609,50.0
1706058424.4537094,165183,175.0
1706058895.3437626,205996,0.0
1706058899.8399618,206385,0.0
1706058918.751473,208009,50.0
1706058960.0009165,211651,75.0
1706059030.3329976,217895,0.0
1706059100.631471,223702,100.0
1706059139.8445957,227125,0.0
1706059148.1949005,227895,0.0
1706059161.492694,229099,0.0
1706059170.3934462,229885,0.0
1706059223.5896297,234592,0.0
1706059239.602724,235989,75.0
1706059434.9873424,252768,75.0
1706059543.442525,262061,100.0
1706059566.0234885,264073,50.0
1706059566.8670027,264150,0.0
1706059606.6866207,267667,75.0
1706059677.5688262,274025,0.0
1706059702.66162,276235,25.0
1706059724.4720874,278238,100.0
1706059825.5028594,286723,225.0
1706059970.356054,299631,150.0
1706060044.4348493,305591,75.0
1706060077.133999,308474,50.0
1706060093.2549837,309863,125.0
1706060132.8061016,313383,0.0
1706060146.9240034,314656,75.0
1706060149.6846423,314907,25.0
1706060190.6946254,318467,0.0
1706060264.0271802,324489,0.0
1706060331.1952436,330444,50.0
1706060402.2000012,336715,0.0
1706060517.0361056,346459,0.0
1706060602.148782,353993,50.0
1706060612.4112883,354914,0.0
1706060679.837756,360301,0.0
1706060690.7931294,361260,0.0
1706060727.9149857,364435,0.0
1706060819.6885247,372460,0.0
1706060829.4452648,373321,475.0
1706061061.2054234,393019,100.0
1706061089.256605,395426,100.0
1706061187.822706,403386,50.0
1706061232.3831398,407349,25.0
1706061387.9623797,420381,425.0
1706061392.544543,420794,275.0
1706061439.7547653,424953,100.0
1706061667.3189957,444581,0.0
1706061715.061222,448837,275.0
1706061719.2938943,449218,0.0
1706061774.220024,454063,100.0
1706061788.0245047,455300,0.0
1706061814.344847,457634,150.0
1706061864.0965257,461356,0.0
1706061906.1341264,465081,25.0
1706061977.7421663,471446,50.0
1706062020.5401657,475233,50.0
1706062084.889324,480074,50.0
1706062326.2643955,500729,0.0
1706062510.697162,516764,450.0
1706062558.6568193,520212,125.0
1706062574.852365,521667,0.0
1706062661.0287888,529113,225.0
1706062684.8519337,531222,50.0
1706062699.7853255,532555,0.0
1706062762.4916801,537917,100.0
1706062837.01664,543626,125.0
1706062868.8508325,546460,25.0
1706062872.720746,546788,0.0
1706062964.5161726,554597,0.0
1706063022.9012709,559537,0.0
1706063086.4373808,564219,50.0
1706063089.0389936,564425,0.0
1706063116.2527258,566780,100.0
1706063116.9973273,566846,0.0
1706063131.7523067,568079,25.0
1706063385.541043,589375,150.0
1706063402.9351997,590831,125.0
1706063409.8308976,591431,0.0
1706063421.0990603,592377,0.0
1706063572.497204,604759,0.0
1706063596.4494185,606897,100.0
1706063659.0155416,612290,25.0
1706063712.8740516,616923,225.0
1706063797.015261,623291,50.0
1706063879.8563824,630387,0.0
1706063885.3943455,630860,100.0
1706063955.1700084,636764,0.0
1706064141.5263388,651994,0.0
1706064195.3585896,656578,0.0
1706064407.495731,673973,25.0
1706064438.7804818,676629,0.0
1706064444.5493941,677105,75.0
1706064550.7953956,685280,25.0
1706064627.549261,691788,175.0
1706064677.8990476,696073,325.0
1706064785.081709,704423,0.0
1706064788.9879878,704757,150.0
1706064819.4184449,707370,225.0
1706064868.0178125,711474,0.0
1706064902.3267205,714363,0.0
1706064942.4355435,717828,150.0
1706065088.4595225,729819,0.0
1706065269.4407327,744570,25.0
1706065480.5728474,761729,75.0
1706065821.397209,789475,675.0
1706065828.1933074,790070,225.0
1706065909.1199117,796943,100.0
1706065973.2821033,801385,150.0
1706066019.370741,805201,0.0
1706066054.7018852,808234,50.0
1706066085.0163696,810850,0.0
1706066117.8401244,813602,100.0
1706066120.3620272,813809,100.0
1706066179.979113,818858,0.0
1706066192.9826589,819955,125.0
1706066247.126764,823798,50.0
1706066254.6240566,824437,25.0
1706066487.9376552,843303,100.0
1706066562.0954661,849490,25.0
1706066603.8332548,852999,175.0
1706066737.3224957,863715,250.0
1706066785.1460133,867720,50.0
1706066832.792711,871790,25.0
1706066875.5800586,875419,100.0
1706067110.8270023,894349,175.0
1706067123.7848392,895488,800.0
1706067291.352129,908855,75.0
1706067342.9886858,913161,275.0
1706067389.7689064,917083,0.0
1706067390.985711,917195,200.0
1706067510.170618,926478,125.0
1706067547.76117,929568,125.0
1706067584.1536567,932711,50.0
1706067610.724242,934981,50.0
1706067652.3490615,938502,0.0
1706067653.2634873,938581,0.0
1706067697.52268,941602,25.0
1706067706.322463,942356,25.0
1706067725.0299284,943893,0.0
1706067822.706239,952201,0.0
1706067857.879288,955168,0.0
1706067902.823189,958954,0.0
1706067934.4164112,960665,25.0
1706068002.5927954,966382,0.0
1706068024.8555493,968209,0.0
1706068034.8489633,969036,25.0
1706068218.5018828,983586,150.0
1706068222.3786552,983934,125.0
1706068285.778844,989196,175.0
1706068353.759306,994893,75.0
1706068369.1399257,996117,25.0
1706068436.3305514,1000767,50.0
1706068461.3080285,1002827,150.0
1706068526.5841577,1008182,25.0
1706068632.917289,1017210,25.0
1706068634.5999718,1017348,0.0
1706068733.9054239,1024798,25.0
1706068758.682587,1026865,575.0
1706069135.5344052,1057731,0.0
1706069149.0230806,1058857,150.0
1706069177.553663,1060612,0.0
1706069235.8049872,1065466,0.0
1706069266.4541366,1068030,0.0
1706069273.032915,1068574,25.0
1706069417.916277,1080052,50.0
1706069424.9421184,1080640,200.0
1706069577.4798014,1093355,50.0
1706069671.7626877,1100564,100.0
1706069690.7477703,1102177,25.0
1706069735.1186616,1105899,100.0
1706070240.5195034,1146111,25.0
1706070286.8231752,1149898,100.0
1706070336.1102755,1154042,0.0
1706070362.731327,1156211,0.0
1706070600.1860359,1175135,25.0
1706070675.6992426,1180486,475.0
1706070803.8638496,1191212,25.0
1706070807.4853494,1191498,0.0
1706070894.1165237,1198754,125.0
1706070988.7861204,1205644,125.0
1706071006.4177406,1207066,0.0
1706071059.9103398,1211565,50.0
1706071120.1832447,1216642,325.0
1706071121.6327379,1216763,25.0
1706071184.7742598,1221101,0.0
1706071250.5720065,1226434,500.0
1706071359.0133383,1235592,0.0
