Wall time,Step,Value
1704107929.4624214,1988,20.0
1704107934.7517107,6398,20.0
1704107937.1728399,8440,60.0
1704107937.3727114,8552,20.0
1704107955.0573332,12082,20.0
1704107967.0517318,14152,40.0
1704107968.77508,14491,0.0
1704107988.3154671,17396,0.0
1704108037.4521382,22382,0.0
1704108044.4759648,23236,0.0
1704108067.602228,26135,0.0
1704108083.0259292,27907,0.0
1704108126.561482,32857,80.0
1704108148.0595036,35265,0.0
1704108175.156042,38352,20.0
1704108225.859121,42845,0.0
1704108275.554043,48339,40.0
1704108295.2039268,50594,20.0
1704108316.7879086,52972,40.0
1704108333.8715384,54878,0.0
1704108362.4366052,58092,0.0
1704108404.3522825,61638,60.0
1704108415.8435268,62929,0.0
1704108427.9272003,64237,20.0
1704108462.039823,67724,60.0
1704108491.863932,70725,0.0
1704108501.3822575,71669,60.0
1704108503.0751355,71840,0.0
1704108523.7103505,73863,0.0
1704108531.8499758,74705,0.0
1704108601.7089832,80229,40.0
1704108672.4279408,86592,20.0
1704108685.6707227,87790,40.0
1704108686.4945672,87858,0.0
1704108704.1763682,89493,20.0
1704108726.0464191,91459,0.0
1704108894.047106,105463,0.0
1704108914.819096,107274,100.0
1704108958.4089928,111226,40.0
1704109044.0538988,119094,40.0
1704109072.4687674,120642,40.0
1704109109.8464952,123924,40.0
1704109212.1704,133151,0.0
1704109343.8947086,143904,20.0
1704109373.5479674,146503,20.0
1704109388.5355198,147814,60.0
1704109407.4159107,149474,0.0
1704109441.6886513,152753,40.0
1704109466.5317225,154985,100.0
1704109551.6303787,160678,40.0
1704109575.2527983,162717,40.0
1704109588.265578,163869,0.0
1704109627.5763588,167403,60.0
1704109646.2193296,169101,0.0
1704109668.5531678,171175,20.0
1704109672.5214334,171494,60.0
1704109688.2575343,172852,40.0
1704109757.613951,178888,20.0
1704109845.1059077,184827,100.0
1704109847.3860893,185027,0.0
1704109854.479098,185631,40.0
1704109869.4053445,186889,20.0
1704109876.33797,187507,0.0
1704109972.3141048,196096,0.0
1704110004.8508394,198925,20.0
1704110080.1534305,204008,100.0
1704110167.5753777,211765,60.0
1704110259.5455496,219872,80.0
1704110260.3780482,219944,0.0
1704110344.5090916,226219,40.0
1704110376.778499,229030,40.0
1704110383.2813904,229595,100.0
1704110452.0345755,235636,20.0
1704110462.889508,236568,60.0
1704110491.7419398,239052,20.0
1704110546.5800626,242488,60.0
1704110571.9023135,244599,40.0
