Wall time,Step,Value
1705404042.4387379,8806,120.0
1705404043.283889,9324,100.0
1705404154.4348652,11943,240.0
1705404156.1220675,12912,300.0
1705404160.7253337,15584,260.0
1705404272.8197088,16823,360.0
1705404280.9178581,21317,600.0
1705404282.824797,22478,320.0
1705404395.766002,23759,380.0
1705404405.2389657,29268,580.0
1705404767.6782615,40490,320.0
1705404889.5865934,44484,300.0
1705404894.0001175,46972,420.0
1705404897.638736,49301,220.0
1705405013.198676,50063,220.0
1705405016.257217,52033,280.0
1705405019.709145,54269,320.0
1705405140.3602066,58282,280.0
1705405142.006729,59269,240.0
1705405257.8470712,60433,360.0
1705405258.6519055,60927,120.0
1705405259.9265144,61722,280.0
1705405385.2489777,66826,140.0
1705405506.9270172,68731,260.0
1705405508.8161006,69676,280.0
1705405510.332358,70457,260.0
1705405511.6205394,71160,200.0
1705405632.050257,73192,180.0
1705405633.4078822,74000,300.0
1705405635.1590855,74795,240.0
1705405636.4439723,75513,200.0
1705405757.0948305,79079,200.0
1705405883.8064206,83998,260.0
1705406007.785204,87035,320.0
1705406009.0622149,87762,260.0
1705406132.8747501,92613,280.0
1705406380.0327883,99086,100.0
1705406500.069932,101757,240.0
1705406501.6944075,102735,300.0
1705406624.8368487,108441,240.0
1705406746.8416095,111164,340.0
1705406749.5150042,112588,140.0
1705406985.230965,117876,180.0
1705406987.4996498,119229,480.0
1705406994.1015596,123145,320.0
1705407109.4347303,124092,320.0
1705407238.8037918,130763,280.0
1705407241.5208683,132261,180.0
1705407359.6454244,133676,180.0
1705407360.9557283,134463,300.0
1705407362.365249,135085,200.0
1705407605.383449,141390,340.0
1705407735.9938383,145315,200.0
1705407738.687518,146955,160.0
1705407739.5557535,147490,120.0
1705407741.1237962,148454,220.0
1705407867.1272917,151006,180.0
1705407988.4000561,153832,140.0
1705407992.0708828,155839,320.0
1705407993.972037,156879,360.0
1705408118.0666356,159557,280.0
1705408242.423028,165586,240.0
1705408244.2586067,166670,360.0
1705408362.207892,168343,280.0
1705408367.0884962,171041,440.0
1705408492.4650288,173053,140.0
1705408493.5515149,173646,120.0
1705408496.1624136,175079,160.0
1705408618.8535314,177393,300.0
1705408620.586118,178348,200.0
1705408755.7054281,185376,120.0
1705409012.9614253,193758,260.0
1705409014.5079215,194612,260.0
1705409016.7786067,195862,520.0
1705409146.0142374,200977,340.0
1705409399.21584,210741,280.0
1705409400.2171993,211315,160.0
1705409520.1036496,214374,540.0
1705409524.860943,217273,540.0
1705409529.0491948,219713,420.0
1705409651.8557844,222912,480.0
1705409654.1217835,224188,440.0
1705409657.4349055,226014,740.0
1705409780.9618337,229044,380.0
1705410034.7055745,239165,260.0
1705410039.6411858,242091,560.0
1705410290.381642,247870,140.0
1705410295.3659723,250698,320.0
1705410296.9217117,251569,220.0
