Wall time,Step,Value
1705404042.438784,8806,40000.0
1705404043.2839348,9324,40000.0
1705404154.4349158,11943,60000.0
1705404156.12212,12912,60000.0
1705404160.7253876,15584,60000.0
1705404272.8197575,16823,80000.0
1705404280.9179044,21317,80000.0
1705404282.8248422,22478,80000.0
1705404395.7660482,23759,100000.0
1705404405.2390134,29268,100000.0
1705404767.678307,40490,160000.0
1705404889.5866413,44484,180000.0
1705404894.000164,46972,180000.0
1705404897.6387796,49301,180000.0
1705405013.1987243,50063,200000.0
1705405016.257261,52033,200000.0
1705405019.709195,54269,200000.0
1705405140.360254,58282,220000.0
1705405142.0067756,59269,220000.0
1705405257.847116,60433,240000.0
1705405258.651951,60927,240000.0
1705405259.9265578,61722,240000.0
1705405385.2490327,66826,260000.0
1705405506.9270706,68731,280000.0
1705405508.8161547,69676,280000.0
1705405510.3324146,70457,280000.0
1705405511.6205926,71160,280000.0
1705405632.0503018,73192,300000.0
1705405633.4079306,74000,300000.0
1705405635.1591568,74795,300000.0
1705405636.4440186,75513,300000.0
1705405757.094883,79079,320000.0
1705405883.8064752,83998,340000.0
1705406007.7852657,87035,360000.0
1705406009.0622616,87762,360000.0
1705406132.8747978,92613,380000.0
1705406380.0328486,99086,420000.0
1705406500.0699787,101757,440000.0
1705406501.69446,102735,440000.0
1705406624.836901,108441,460000.0
1705406746.841658,111164,480000.0
1705406749.5150619,112588,480000.0
1705406985.2310114,117876,520000.0
1705406987.4996958,119229,520000.0
1705406994.1016107,123145,520000.0
1705407109.434783,124092,540000.0
1705407238.8038592,130763,560000.0
1705407241.5209205,132261,560000.0
1705407359.6454728,133676,580000.0
1705407360.9557753,134463,580000.0
1705407362.3653126,135085,580000.0
1705407605.3835032,141390,620000.0
1705407735.9938822,145315,640000.0
1705407738.687563,146955,640000.0
1705407739.555799,147490,640000.0
1705407741.123844,148454,640000.0
1705407867.1273448,151006,660000.0
1705407988.400112,153832,680000.0
1705407992.0709379,155839,680000.0
1705407993.9720838,156879,680000.0
1705408118.066686,159557,700000.0
1705408242.4230738,165586,720000.0
1705408244.2586536,166670,720000.0
1705408362.2079468,168343,740000.0
1705408367.088549,171041,740000.0
1705408492.465077,173053,760000.0
1705408493.5515623,173646,760000.0
1705408496.1624665,175079,760000.0
1705408618.8535771,177393,780000.0
1705408620.5861683,178348,780000.0
1705408755.705473,185376,800000.0
1705409012.961478,193758,840000.0
1705409014.5079768,194612,840000.0
1705409016.7786524,195862,840000.0
1705409146.0142899,200977,860000.0
1705409399.2158847,210741,900000.0
1705409400.2172534,211315,900000.0
1705409520.103696,214374,920000.0
1705409524.860987,217273,920000.0
1705409529.04924,219713,920000.0
1705409651.8558295,222912,940000.0
1705409654.1218362,224188,940000.0
1705409657.4349592,226014,940000.0
1705409780.9619064,229044,960000.0
1705410034.7056344,239165,1000000.0
1705410039.6412396,242091,1000000.0
1705410290.381711,247870,1040000.0
1705410295.3660178,250698,1040000.0
1705410296.9217582,251569,1040000.0
1705410416.8840673,252977,1060000.0
1705410419.3328674,254505,1060000.0
1705410424.6618886,257831,1060000.0
1705410552.7917633,261837,1080000.0
1705410556.933465,264345,1080000.0
1705410714.2762432,266826,1100000.0
1705410719.175878,269374,1100000.0
1705410888.8392677,274928,1120000.0
1705411021.9696913,282636,1140000.0
1705411272.801371,292393,1180000.0
1705411274.7622018,293263,1180000.0
1705411406.2339807,298759,1200000.0
1705411408.289267,299775,1200000.0
1705411539.096464,304551,1220000.0
1705411542.7055912,306524,1220000.0
1705411544.5428846,307478,1220000.0
1705411671.6413286,313412,1240000.0
1705411674.1743453,314959,1240000.0
1705411794.6725833,317556,1260000.0
1705411802.7946231,321873,1260000.0
1705411929.160119,325551,1280000.0
1705411931.6834793,326935,1280000.0
1705411933.3980317,327873,1280000.0
1705412182.17513,329074,1300000.0
1705412190.6178937,332689,1300000.0
1705412481.6139052,337550,1320000.0
1705412484.4190326,338805,1320000.0
1705412486.8537993,339891,1320000.0
1705412768.165184,344195,1340000.0
1705412781.1106317,349731,1340000.0
1705413077.9497206,357247,1360000.0
1705413362.1093004,359694,1380000.0
1705413373.2660868,364782,1380000.0
1705413653.4653661,366001,1400000.0
1705413661.3422005,368805,1400000.0
1705413665.3734865,370373,1400000.0
1705414137.9999375,378755,1420000.0
1705414145.2356968,380484,1420000.0
1705414641.4283364,385245,1440000.0
1705415137.6582696,387550,1460000.0
1705415154.8772755,391848,1460000.0
1705415660.9161522,398391,1480000.0
1705416159.3810174,403227,1500000.0
1705416170.6221638,406390,1500000.0
1705416683.1114073,412859,1520000.0
1705416689.2994368,414791,1520000.0
1705416694.2218134,416330,1520000.0
1705417192.8740027,420101,1540000.0
1705417703.789232,428951,1560000.0
1705417711.031097,430789,1560000.0
1705418223.35295,437529,1580000.0
1705418229.5746703,439225,1580000.0
1705418233.8067071,440308,1580000.0
1705419277.8885093,457853,1620000.0
1705419786.0794196,463271,1640000.0
1705420808.929776,473689,1680000.0
1705420815.9361253,475332,1680000.0
1705421342.4300525,482625,1700000.0
1705421345.8226604,483567,1700000.0
1705421356.0426912,486154,1700000.0
1705421858.2175226,489050,1720000.0
1705422374.3205004,495121,1740000.0
1705422906.8349738,506552,1760000.0
1705423412.0578983,509836,1780000.0
1705423420.0369544,511701,1780000.0
1705423933.870742,517343,1800000.0
1705424468.968802,527383,1820000.0
1705425022.4640138,541019,1840000.0
1705425527.3382397,542770,1860000.0
1705425532.1464822,544052,1860000.0
1705425543.7028334,546977,1860000.0
1705425549.7325387,548486,1860000.0
1705426066.8670702,554319,1880000.0
1705426076.48269,556722,1880000.0
1705426606.716433,564250,1900000.0
1705426615.5036874,566464,1900000.0
