Wall time,Step,Value
1705403861.26797,1988,20.0
1705403865.7022054,5945,20.0
1705403865.9658496,6176,0.0
1705403869.8539479,9468,40.0
1705403884.9304667,12738,20.0
1705403945.4520016,21781,20.0
1705403950.3714538,22728,0.0
1705403997.8227513,31857,0.0
1705404003.193582,32860,40.0
1705404017.0749419,35476,0.0
1705404028.4341786,37568,40.0
1705404055.095974,41682,20.0
1705404056.389623,41926,20.0
1705404061.2018213,42796,0.0
1705404089.3404038,48427,40.0
1705404124.8954895,54939,80.0
1705404161.8216588,60208,40.0
1705404170.7924972,61854,0.0
1705404221.1617992,71192,20.0
1705404242.4630358,74992,40.0
1705404259.3449674,77946,40.0
1705404265.3731954,79039,0.0
1705404265.6907566,79100,0.0
1705404318.2769575,86676,20.0
1705404327.7101426,88364,20.0
1705404341.3164663,90787,100.0
1705404349.6130211,92304,20.0
1705404382.4211419,98026,0.0
1705404391.7725828,99668,0.0
1705404445.1673028,107392,60.0
1705404449.56878,108161,40.0
1705404463.7278917,110660,140.0
1705404464.753278,110848,0.0
1705404483.323814,114160,20.0
1705404487.0917706,114826,0.0
1705404511.0394306,119024,0.0
1705404616.9669669,136188,40.0
1705404648.6290953,140011,0.0
1705404649.895524,140231,60.0
1705404653.873921,140973,20.0
1705404683.3650775,146337,80.0
1705404685.190451,146661,0.0
1705404694.878081,148349,80.0
1705404742.5412095,156573,40.0
1705404744.2540774,156884,0.0
1705404778.9832845,160981,80.0
1705404784.3854673,161930,80.0
1705404789.1459692,162725,0.0
1705404836.8497162,171178,0.0
1705404840.9951699,171913,20.0
1705404841.9504747,172086,60.0
1705404855.0516744,174363,20.0
1705404920.1013494,184058,40.0
1705404936.8640835,187001,0.0
1705404990.985232,196383,20.0
1705404992.8219812,196709,40.0
1705405005.4645665,198880,80.0
1705405010.0673845,199682,40.0
1705405062.3774958,207464,0.0
1705405068.5916529,208510,40.0
1705405089.3715003,212112,60.0
1705405099.9165857,213917,40.0
1705405108.9716358,215506,20.0
1705405142.029087,220004,0.0
1705405149.3595726,221298,20.0
1705405162.9592848,223691,0.0
1705405194.8247962,229296,40.0
1705405224.6417432,234498,40.0
1705405241.771007,237434,20.0
1705405253.221976,239486,120.0
1705405265.4740953,240587,140.0
1705405280.9079921,243313,60.0
1705405317.226933,249587,40.0
1705405366.9421177,257945,20.0
1705405392.9575732,261039,60.0
1705405401.0522282,262447,20.0
1705405412.7251146,264336,40.0
1705405415.0679257,264733,100.0
1705405417.1959016,265106,40.0
1705405463.8345878,273143,40.0
1705405513.71444,280139,60.0
1705405537.6976218,284131,20.0
1705405548.1014779,285968,80.0
1705405569.7864118,289783,40.0
1705405571.9474413,290160,40.0
1705405579.618026,291496,20.0
1705405616.7402093,297865,60.0
1705405643.017823,301106,160.0
1705405654.4412193,303093,40.0
1705405656.8297586,303510,60.0
1705405704.0783112,311642,40.0
1705405718.2629673,314128,0.0
1705405740.3779235,318071,20.0
1705405789.577761,325518,120.0
1705405798.664189,327018,60.0
1705405802.7932262,327721,40.0
1705405808.0910861,328645,20.0
1705405912.0123854,344831,0.0
1705405917.3768415,345764,20.0
1705405926.438325,347337,20.0
1705405941.794289,349970,200.0
1705405961.2599537,353256,40.0
1705405966.1157267,354078,100.0
1705405967.70651,354351,100.0
1705405992.7714202,358587,40.0
1705405997.250572,359343,60.0
1705406049.8142989,366873,40.0
1705406064.2311294,369143,40.0
1705406086.0272026,372870,40.0
1705406095.1950176,374496,120.0
1705406137.2418768,380664,0.0
1705406137.8469207,380763,0.0
1705406139.572175,381052,40.0
1705406191.9692318,389884,40.0
1705406207.476785,392420,80.0
1705406210.5050387,392897,60.0
1705406213.8738105,393471,20.0
1705406238.9875317,397761,0.0
1705406239.6646276,397884,20.0
1705406250.5231948,399792,20.0
1705406260.2811651,400405,160.0
1705406264.899454,401212,20.0
1705406280.6793861,403926,20.0
1705406287.2576716,405086,20.0
1705406295.9031336,406606,0.0
1705406313.8690503,409593,100.0
1705406319.7839038,410580,100.0
1705406471.1564937,435163,20.0
1705406491.5677497,438824,40.0
1705406535.2329872,445165,80.0
1705406552.5929012,448205,0.0
1705406593.8542316,455498,40.0
1705406733.649636,478451,120.0
1705406818.413821,491724,60.0
1705406827.7847319,493346,40.0
1705406877.2144008,500996,20.0
1705406910.510231,506888,140.0
1705406913.605448,507424,60.0
1705406981.6873717,519579,120.0
1705407066.0606296,532624,20.0
1705407106.4183202,539770,40.0
1705407117.0693195,540019,0.0
1705407158.827171,547367,20.0
1705407168.0698774,548984,20.0
1705407175.2711613,550216,0.0
1705407177.7969444,550666,40.0
1705407178.5976968,550806,40.0
1705407251.4356556,561762,100.0
1705407301.165896,570355,80.0
1705407334.9426508,576164,100.0
1705407375.2677095,582025,40.0
1705407398.1872747,585992,60.0
1705407423.6723926,590482,40.0
1705407438.711243,593277,40.0
1705407461.068092,597121,40.0
1705407617.2926395,620918,20.0
1705407644.0675924,625099,20.0
1705407646.4644327,625497,40.0
1705407691.4971917,633148,20.0
1705407710.135205,635892,40.0
1705407788.813281,647834,100.0
1705407793.98727,648736,100.0
1705407804.295918,650472,0.0
1705407879.468121,661463,100.0
1705407906.8233006,665809,40.0
1705407914.5530183,667044,60.0
1705407920.1429157,668005,140.0
1705407934.6986322,670561,20.0
1705407971.0500476,677140,60.0
1705408068.2802851,691927,60.0
1705408105.6666002,698505,40.0
1705408144.0794733,703559,100.0
1705408191.5807915,711965,20.0
1705408202.3426855,713974,100.0
1705408205.7287154,714577,80.0
1705408284.4843185,726561,20.0
1705408291.868515,727843,20.0
1705408310.2524447,731056,60.0
1705408419.6844494,748350,60.0
1705408434.773616,750727,60.0
1705408438.160853,751332,0.0
1705408446.133705,752694,20.0
1705408471.0492887,756818,20.0
1705408477.6520648,757881,40.0
1705408479.91879,758206,20.0
1705408527.7938638,765158,120.0
1705408532.8055499,765985,60.0
1705408579.3408375,773891,40.0
1705408601.444444,777421,20.0
1705408603.9197283,777840,40.0
1705408723.0982249,796145,20.0
1705408786.762886,804665,40.0
1705408863.001245,817135,20.0
1705408892.027686,820486,0.0
1705408914.1061954,824214,0.0
1705408984.4350295,835739,180.0
1705408986.6895442,836102,40.0
1705409064.0768492,847869,40.0
1705409116.5309942,856498,200.0
1705409123.6840005,857553,200.0
1705409136.009204,859463,40.0
1705409200.2171276,868617,140.0
1705409261.5457134,879078,0.0
1705409280.8102703,880746,40.0
1705409327.7072735,888704,60.0
1705409345.6197095,891709,60.0
1705409347.5350223,892013,20.0
1705409413.2813272,901924,120.0
1705409433.3153927,905288,180.0
1705409497.6879754,916654,100.0
1705409627.3306231,936673,60.0
1705409643.835751,939538,220.0
1705409657.55265,940020,0.0
1705409784.6138504,960005,0.0
1705409788.4029868,960649,240.0
1705409790.076886,960945,80.0
1705409872.184328,975374,0.0
1705409918.939316,981570,40.0
1705410018.870384,998346,40.0
1705410092.887137,1008944,20.0
1705410236.4676106,1031298,100.0
1705410257.000626,1034700,0.0
1705410272.1590674,1037116,40.0
1705410355.8634615,1050519,100.0
1705410390.1581473,1055827,40.0
1705410533.4068367,1077888,40.0
1705410540.8295121,1078955,100.0
1705410608.2073827,1088350,80.0
1705410702.1248193,1099196,40.0
1705410822.1705363,1112138,40.0
1705410901.5268073,1121803,60.0
1705410907.0218945,1122727,0.0
1705410940.3782308,1128750,220.0
1705411026.587701,1140805,160.0
1705411030.2825613,1141449,40.0
1705411121.9561477,1157197,40.0
1705411191.6429393,1166843,40.0
1705411209.3049781,1169895,120.0
1705411211.5492902,1170274,20.0
1705411278.8211808,1180016,0.0
1705411283.2401826,1180797,40.0
1705411295.8164465,1182941,80.0
1705411354.4116595,1193159,260.0
1705411395.1006343,1199394,60.0
1705411453.4835727,1206820,20.0
1705411461.2902567,1208097,120.0
1705411470.8588107,1209766,260.0
1705411518.5915565,1217606,80.0
1705411569.7116272,1223850,220.0
1705411574.5681398,1224768,20.0
1705411605.450426,1230070,240.0
1705411709.3025897,1245861,120.0
1705411784.6230953,1258791,120.0
1705411821.570497,1262750,120.0
1705411915.560898,1278737,220.0
1705411977.5509536,1285077,80.0
1705412036.0231173,1289110,140.0
1705412059.2318196,1290911,60.0
1705412109.1567514,1294832,40.0
1705412350.9527225,1310700,120.0
1705412461.7099543,1318825,120.0
1705412494.3247283,1320052,0.0
1705412610.9472969,1328771,180.0
1705412703.4045799,1335787,120.0
1705412747.3052578,1338811,60.0
1705412884.6047144,1347451,260.0
1705413299.7058911,1376034,20.0
1705413313.2905831,1377020,40.0
1705413400.7908561,1382164,20.0
1705413619.1839397,1397936,120.0
1705413693.6478615,1401192,120.0
1705413803.4991713,1406775,40.0
1705414223.4429078,1423461,120.0
1705414299.6341038,1426820,180.0
1705414383.4692261,1430486,40.0
1705414400.0383327,1431123,20.0
1705414528.4937167,1436248,240.0
1705414554.6970928,1437312,60.0
1705414660.7128944,1440709,60.0
1705414889.7599263,1450434,220.0
1705414932.0362725,1452150,300.0
1705415049.1811006,1456791,220.0
1705415721.5746758,1482423,300.0
1705415855.6950328,1488139,40.0
1705415929.8810682,1491272,220.0
1705416084.9503427,1497390,240.0
1705416659.4569836,1519606,40.0
1705416944.8727639,1530577,180.0
1705417230.988555,1540839,20.0
1705417466.1897275,1550634,340.0
1705418240.605525,1580004,0.0
1705418339.4865296,1583876,240.0
1705418718.2089462,1599500,160.0
1705419356.1471536,1622765,300.0
1705419668.740564,1635531,20.0
1705420157.0930417,1654781,300.0
1705420277.2640736,1659975,260.0
1705420465.9398944,1666309,300.0
1705420581.0422804,1670863,220.0
1705420594.7386904,1671410,300.0
1705420782.2428372,1679232,140.0
1705421042.9688995,1688202,160.0
1705421251.2563727,1696653,300.0
1705421607.4424613,1709969,20.0
1705421637.5658276,1711128,80.0
1705421695.3720093,1713577,180.0
1705421774.3154502,1717032,240.0
1705421799.7630816,1718185,20.0
1705421970.630732,1723628,280.0
1705422287.4625897,1736585,300.0
1705422460.5934274,1742848,120.0
1705423204.0610254,1771911,420.0
1705423579.3796692,1785820,0.0
1705423774.097051,1793643,300.0
1705423920.253597,1799675,300.0
1705424070.4574113,1804208,340.0
1705424135.4466019,1806785,60.0
1705424509.520396,1821099,200.0
1705424693.85643,1828428,60.0
1705424840.7689297,1834371,80.0
1705425093.1134148,1842702,380.0
1705425174.4658806,1845928,320.0
1705425294.0528138,1850796,200.0
