Wall time,Step,Value
1705403955.5447698,3858,160.0
1705403956.5356839,4477,100.0
1705404066.3703034,7250,380.0
1705404068.8598225,8682,440.0
1705404074.3536167,11838,240.0
1705404183.6426823,13425,520.0
1705404187.9547777,16029,180.0
1705404189.1656013,16713,240.0
1705404299.7105916,17623,280.0
1705404307.504819,21942,320.0
1705404655.5969217,30871,200.0
1705404773.6608312,33458,140.0
1705404777.3257058,35302,340.0
1705404781.6258104,37611,320.0
1705404894.358555,38297,160.0
1705404896.844861,39886,300.0
1705404899.8885224,41751,400.0
1705405018.4555826,45618,380.0
1705405019.309604,46185,180.0
1705405132.810509,46845,260.0
1705405134.1452532,47604,280.0
1705405135.3512998,48375,300.0
1705405255.391493,53522,120.0
1705405371.7874503,55193,300.0
1705405373.1382704,55932,220.0
1705405374.7936294,56839,360.0
1705405376.4819133,57580,220.0
1705405495.3221943,60415,220.0
1705405496.185046,60914,160.0
1705405497.030278,61404,120.0
1705405499.1910782,62401,320.0
1705405623.0697286,67058,320.0
1705405743.976008,71392,340.0
1705405861.3604596,73912,260.0
1705405862.5639877,74602,240.0
1705405983.190927,78856,220.0
1705406227.8654256,87082,340.0
1705406348.038796,90003,480.0
1705406349.9053612,91097,300.0
1705406475.8139935,98039,280.0
1705406591.6317658,100977,360.0
1705406593.6452985,102199,160.0
1705406830.0916739,108524,120.0
1705406831.8723016,109520,300.0
1705406836.9791336,112463,300.0
1705406949.0946445,113169,160.0
1705407070.6466913,119079,160.0
1705407073.6658716,120950,220.0
1705407187.4127684,122505,180.0
1705407188.8322916,123246,240.0
1705407190.505967,123982,240.0
1705407431.6980197,130284,220.0
1705407553.585421,134534,320.0
1705407555.9576988,135887,100.0
1705407557.4615672,136622,140.0
1705407559.322151,137681,320.0
1705407685.5995975,140617,360.0
1705407811.3540797,143398,460.0
1705407815.841509,145755,340.0
1705407818.5739188,147150,440.0
1705407943.0227602,150031,440.0
1705408070.8752348,156079,420.0
1705408073.1208754,157345,320.0
1705408188.711102,159494,500.0
1705408194.3775327,162929,320.0
1705408312.0708032,165061,200.0
1705408313.4453022,165839,140.0
1705408316.9675028,167835,260.0
1705408436.2456827,169622,240.0
1705408438.4264274,170839,280.0
1705408569.740472,178418,280.0
1705408826.8610294,187078,280.0
1705408829.3307595,188371,420.0
1705408831.3814673,189512,380.0
1705408953.8910234,193435,260.0
1705409204.6462488,202454,460.0
1705409207.5904799,204037,520.0
1705409328.6526623,206473,240.0
1705409332.3473804,208529,180.0
1705409336.2477827,210687,280.0
1705409458.2064426,214504,420.0
1705409461.0190248,216203,520.0
1705409462.3792567,217022,220.0
1705409581.6724117,219946,300.0
1705409834.5926235,232345,180.0
1705409838.73445,234628,160.0
1705410081.3816714,240549,160.0
1705410085.6008084,243076,80.0
1705410087.4017086,243932,160.0
1705410209.6040833,245142,320.0
1705410211.355975,246248,340.0
1705410215.6471074,248485,240.0
1705410339.6232,253285,560.0
1705410343.3031363,255442,320.0
1705410462.5358884,257277,260.0
1705410466.1702816,259103,200.0
1705410595.8766484,264601,360.0
1705410783.0427105,272251,360.0
1705411057.62311,279981,280.0
1705411060.320812,281467,420.0
1705411185.1037116,286776,220.0
1705411187.82152,288307,640.0
1705411309.3972385,291574,340.0
1705411311.333956,292682,400.0
1705411312.724417,293458,300.0
1705411445.0809019,298274,440.0
1705411447.391497,299493,300.0
1705411570.8892856,302545,400.0
1705411576.98507,306005,260.0
1705411701.6670725,312137,320.0
1705411703.5355349,313214,300.0
1705411705.3574467,314335,300.0
1705411823.6916616,315103,200.0
1705411826.3283901,316652,320.0
1705411963.0734026,321118,440.0
1705411965.925277,322411,400.0
1705411968.1766503,323387,320.0
1705412243.283432,327452,620.0
1705412252.9832268,331649,340.0
1705412543.973961,338922,520.0
1705412814.7983644,341780,380.0
1705412821.592702,344624,280.0
1705413096.112289,345833,520.0
1705413103.4991126,348917,240.0
1705413107.0942364,350532,520.0
1705413395.8239648,357186,540.0
1705413397.700532,357998,180.0
