Wall time,Step,Value
1705403955.5448227,3858,40000.0
1705403956.5357366,4477,40000.0
1705404066.370361,7250,60000.0
1705404068.859875,8682,60000.0
1705404074.3536694,11838,60000.0
1705404183.6427295,13425,80000.0
1705404187.9548645,16029,80000.0
1705404189.165655,16713,80000.0
1705404299.7106454,17623,100000.0
1705404307.504874,21942,100000.0
1705404655.5969718,30871,160000.0
1705404773.6609085,33458,180000.0
1705404777.3257587,35302,180000.0
1705404781.6258569,37611,180000.0
1705404894.3586032,38297,200000.0
1705404896.8449097,39886,200000.0
1705404899.888568,41751,200000.0
1705405018.4556272,45618,220000.0
1705405019.3096483,46185,220000.0
1705405132.810563,46845,240000.0
1705405134.1453001,47604,240000.0
1705405135.3513515,48375,240000.0
1705405255.3915486,53522,260000.0
1705405371.7874978,55193,280000.0
1705405373.138317,55932,280000.0
1705405374.7937164,56839,280000.0
1705405376.481994,57580,280000.0
1705405495.322242,60415,300000.0
1705405496.185093,60914,300000.0
1705405497.030327,61404,300000.0
1705405499.191125,62401,300000.0
1705405623.0697825,67058,320000.0
1705405743.9760623,71392,340000.0
1705405861.3605056,73912,360000.0
1705405862.564036,74602,360000.0
1705405983.1909726,78856,380000.0
1705406227.8654969,87082,420000.0
1705406348.0388532,90003,440000.0
1705406349.9054077,91097,440000.0
1705406475.81404,98039,460000.0
1705406591.631812,100977,480000.0
1705406593.6453505,102199,480000.0
1705406830.09173,108524,520000.0
1705406831.872353,109520,520000.0
1705406836.9791803,112463,520000.0
1705406949.0946946,113169,540000.0
1705407070.6467378,119079,560000.0
1705407073.6659179,120950,560000.0
1705407187.4128153,122505,580000.0
1705407188.832337,123246,580000.0
1705407190.5060408,123982,580000.0
1705407431.6981282,130284,620000.0
1705407553.5854743,134534,640000.0
1705407555.957752,135887,640000.0
1705407557.4616122,136622,640000.0
1705407559.3221972,137681,640000.0
1705407685.599652,140617,660000.0
1705407811.3541374,143398,680000.0
1705407815.841564,145755,680000.0
1705407818.5739646,147150,680000.0
1705407943.0228136,150031,700000.0
1705408070.8752892,156079,720000.0
