Wall time,Step,Value
1705403810.4957476,1988,20.0
1705403813.8813992,5945,20.0
1705403814.0791373,6176,0.0
1705403816.8936663,9468,40.0
1705403827.3143568,12738,20.0
1705403864.8619845,21961,0.0
1705403870.071369,23253,60.0
1705403913.442713,31775,0.0
1705403916.5523248,32350,40.0
1705403931.1600397,35389,80.0
1705403941.8807392,37589,0.0
1705403971.6075675,42385,0.0
1705403975.5148563,43097,100.0
1705403980.3172994,44034,0.0
1705403999.5370007,47730,0.0
1705404014.4630375,50549,40.0
1705404052.7179666,57805,0.0
1705404091.6392817,63252,0.0
1705404100.1952674,64832,0.0
1705404152.5264287,74488,40.0
1705404175.9813757,79054,20.0
1705404197.358259,81496,20.0
1705404203.7139132,82650,40.0
1705404204.117714,82722,0.0
1705404242.0303843,89600,0.0
1705404253.6189735,91694,40.0
1705404264.3459282,93580,80.0
1705404273.220003,95259,40.0
1705404316.717018,101654,40.0
1705404322.5588043,102711,20.0
1705404354.0975344,108423,40.0
1705404359.0299468,109213,20.0
1705404360.6991243,109509,0.0
1705404374.417443,111966,40.0
1705404377.8290865,112573,140.0
1705404388.1470952,114440,60.0
1705404393.7797112,115439,0.0
1705404412.5105138,119031,40.0
1705404512.7498188,135628,20.0
1705404542.1144738,140253,20.0
1705404542.8722434,140400,40.0
1705404547.9540317,141322,20.0
1705404571.337277,145447,20.0
1705404576.7816556,146412,60.0
1705404581.481611,147250,0.0
1705404628.5362148,155304,40.0
1705404631.1931665,155777,0.0
1705404647.732005,159044,0.0
1705404660.3938575,160231,20.0
1705404663.1269636,160740,20.0
1705404714.372256,169719,20.0
1705404718.4433553,170443,40.0
1705404718.8135462,170511,0.0
1705404734.592109,173373,0.0
1705404808.867371,184864,100.0
1705404824.9400594,187776,0.0
1705404877.7743857,197231,20.0
1705404879.4944954,197523,0.0
1705404890.2637799,199401,40.0
1705404903.2349055,200605,80.0
1705404948.9056573,208705,80.0
1705404956.6343026,210036,20.0
1705404975.6310608,213423,20.0
1705404987.5598497,215587,60.0
1705404999.3647058,217687,0.0
1705405028.7061462,221729,20.0
1705405042.8514104,224244,40.0
1705405056.2979245,226635,20.0
1705405083.788061,231439,0.0
1705405109.9436426,236059,0.0
1705405122.5781453,238364,20.0
1705405146.3122048,241468,40.0
1705405150.232044,242176,0.0
1705405170.4930675,245810,20.0
1705405207.2125216,252378,20.0
1705405262.9608526,261271,40.0
1705405285.3914528,265289,20.0
1705405291.9439106,266403,20.0
1705405305.5503094,268823,80.0
1705405306.8434346,269066,60.0
1705405312.7740047,270121,120.0
1705405369.2451978,279840,20.0
1705405422.0239978,287823,20.0
1705405440.9977264,291093,40.0
1705405449.854267,292641,60.0
1705405459.841491,294437,0.0
1705405464.4232407,295259,100.0
1705405473.4462044,296822,60.0
1705405523.6614392,304099,0.0
1705405540.2141116,306997,0.0
1705405549.1349423,308584,60.0
1705405553.053799,309263,40.0
1705405613.1143894,319969,60.0
1705405635.7564228,322249,100.0
1705405660.4572167,326620,40.0
1705405702.647662,334045,40.0
1705405711.124861,335559,0.0
1705405715.3644497,336318,40.0
1705405723.0572948,337701,0.0
1705405821.5764127,353837,40.0
1705405829.4207683,355237,100.0
1705405839.199622,356994,80.0
1705405851.653483,359174,0.0
1705405878.581867,362669,60.0
1705405882.4657357,363447,40.0
1705405882.9917376,363555,20.0
1705405901.7519147,366833,0.0
1705405907.2559829,367808,80.0
1705405959.273331,376937,20.0
1705405972.1278288,379202,40.0
1705406006.9641566,383967,0.0
1705406015.7364469,385574,20.0
1705406062.150318,393662,20.0
