Wall time,Step,Value
1705100014.5654979,12986,40000.0
1705100014.9428732,13265,40000.0
1705100092.355945,16023,60000.0
1705100093.2917678,16728,60000.0
1705100096.4508846,19155,60000.0
1705100174.7833207,20083,80000.0
1705100180.4063447,24393,80000.0
1705100181.2228935,25025,80000.0
1705100260.3102038,26352,100000.0
1705100268.382513,32421,100000.0
1705100523.3614004,44257,160000.0
1705100611.0537732,49140,180000.0
1705100613.4120865,50836,180000.0
1705100615.618561,52457,180000.0
1705100696.8131332,53052,200000.0
1705100698.5924332,54338,200000.0
1705100700.4133673,55672,200000.0
1705100785.5196383,59259,220000.0
1705100786.623358,60083,220000.0
1705100868.3404617,61038,240000.0
1705100869.523852,61891,240000.0
1705100870.487991,62596,240000.0
1705100958.0944374,67492,260000.0
1705101040.5145946,69380,280000.0
1705101042.1266696,70567,280000.0
1705101043.0963757,71292,280000.0
1705101044.0928779,72039,280000.0
1705101128.1028197,74728,300000.0
1705101128.746779,75200,300000.0
1705101130.20854,76284,300000.0
1705101131.2577527,77069,300000.0
1705101215.8621855,80836,320000.0
1705101300.6210907,85348,340000.0
1705101383.1669385,87521,360000.0
1705101384.2781906,88330,360000.0
1705101471.7548528,92833,380000.0
1705101642.392544,100094,420000.0
1705101725.0890656,103013,440000.0
1705101725.7325585,103475,440000.0
1705101814.9552097,109439,460000.0
1705101899.220784,111196,480000.0
1705101901.0846224,112575,480000.0
1705102067.8199189,117256,520000.0
1705102068.9355001,118074,520000.0
1705102071.9399064,120324,520000.0
1705102158.0679154,121477,540000.0
1705102246.4034548,127056,560000.0
1705102249.1789603,129124,560000.0
1705102332.3693502,130565,580000.0
1705102333.1688812,131149,580000.0
1705102334.2194407,131926,580000.0
1705102503.8853884,137090,620000.0
1705102590.3757217,140764,640000.0
1705102593.0121734,142716,640000.0
1705102593.9221458,143405,640000.0
1705102594.927431,144166,640000.0
1705102680.4990993,146961,660000.0
1705102766.3305976,150098,680000.0
1705102768.3720737,151603,680000.0
1705102769.6681843,152572,680000.0
1705102857.0715563,156721,700000.0
1705102947.5473993,163523,720000.0
1705102948.4297235,164192,720000.0
1705103032.4586098,166055,740000.0
1705103037.845833,170082,740000.0
1705103122.4519095,172673,760000.0
1705103123.6060452,173529,760000.0
1705103125.9521759,175292,760000.0
1705103209.3944767,177538,780000.0
1705103210.4163764,178287,780000.0
1705103306.0181935,186162,800000.0
1705103480.4210393,193767,840000.0
1705103481.7471168,194756,840000.0
1705103483.549116,196118,840000.0
1705103572.2243252,200674,860000.0
1705103751.2009265,212011,900000.0
1705103752.6268198,213089,900000.0
1705103837.3815303,214906,920000.0
1705103841.030285,217628,920000.0
1705103843.890752,219799,920000.0
1705103929.55456,223768,940000.0
1705103931.4301426,225193,940000.0
1705103933.4412713,226731,940000.0
1705104019.291837,229932,960000.0
1705104198.5953257,242839,1000000.0
1705104202.5245054,245842,1000000.0
1705104377.5639157,253814,1040000.0
1705104382.4747715,257518,1040000.0
1705104383.5624864,258351,1040000.0
1705104467.740972,259614,1060000.0
1705104469.1910398,260690,1060000.0
1705104472.2393548,263007,1060000.0
1705104560.4300616,267236,1080000.0
1705104563.8330479,269827,1080000.0
1705104649.1001399,271616,1100000.0
1705104651.5330188,273434,1100000.0
1705104744.1368866,281279,1120000.0
1705104836.364869,288351,1140000.0
1705105013.2781782,299040,1180000.0
1705105015.2339497,300521,1180000.0
1705105106.7961,307820,1200000.0
1705105109.0667708,309551,1200000.0
1705105198.0223107,313682,1220000.0
1705105200.0900311,315256,1220000.0
1705105202.3649454,316984,1220000.0
1705105297.035644,322765,1240000.0
1705105298.754487,324086,1240000.0
1705105386.301225,326743,1260000.0
1705105392.8906097,331676,1260000.0
1705105486.5031672,339270,1280000.0
1705105488.7715738,340993,1280000.0
1705105490.9713173,342683,1280000.0
1705105576.7649097,344580,1300000.0
1705105580.6653163,347522,1300000.0
1705105669.3306866,351560,1320000.0
1705105671.3883786,353089,1320000.0
1705105672.5394468,353961,1320000.0
1705105759.6827152,358146,1340000.0
1705105767.5568671,364105,1340000.0
1705105863.6839643,373599,1360000.0
1705105950.9280963,377487,1380000.0
1705105957.8834658,382840,1380000.0
1705106043.0502238,384335,1400000.0
1705106047.678718,387807,1400000.0
1705106049.9454837,389540,1400000.0
1705106147.8936908,399978,1420000.0
1705106150.3805985,401902,1420000.0
1705106248.4937131,410940,1440000.0
1705106335.3275096,415249,1460000.0
1705106343.0589342,421227,1460000.0
1705106437.216747,430029,1480000.0
1705106530.82221,438143,1500000.0
1705106535.138515,441475,1500000.0
1705106627.1207454,448114,1520000.0
1705106629.121758,449651,1520000.0
1705106631.6307378,451598,1520000.0
1705106718.8266962,455600,1540000.0
1705106816.0980966,467375,1560000.0
1705106818.0258043,468855,1560000.0
1705106913.1231966,476363,1580000.0
1705106915.4992025,478199,1580000.0
1705106918.4084556,480461,1580000.0
1705107112.4536965,497464,1620000.0
1705107207.745255,507626,1640000.0
1705107390.941164,519389,1680000.0
1705107393.0784452,521008,1680000.0
