Wall time,Step,Value
1705099886.637076,1988,20.0
1705099890.0084243,5945,20.0
1705099890.2056444,6176,0.0
1705099893.002801,9468,40.0
1705099903.6597352,12738,0.0
1705099947.0715568,21243,20.0
1705099950.2415686,22180,40.0
1705099979.9660594,30659,40.0
1705099981.953959,31210,0.0
1705099990.4126625,33558,20.0
1705099998.864889,35899,0.0
1705100019.7010655,40666,0.0
1705100020.8429418,40987,20.0
1705100023.4064982,41706,0.0
1705100036.6305394,45382,0.0
1705100045.62685,47835,100.0
1705100070.5716157,54592,0.0
1705100098.7398117,60616,60.0
1705100105.2151241,62316,0.0
1705100136.0641882,70387,0.0
1705100151.7945411,74503,0.0
1705100162.8317192,77339,40.0
1705100170.419677,79188,0.0
1705100170.7283742,79262,0.0
1705100203.000479,85671,0.0
1705100210.8210611,87698,0.0
1705100215.492042,88919,0.0
1705100220.9678817,90348,0.0
1705100245.1584954,96616,40.0
1705100248.4107525,97463,0.0
1705100285.861735,104477,120.0
1705100288.0672765,105039,40.0
1705100288.9127295,105257,20.0
1705100296.3128982,107175,60.0
1705100297.1762133,107396,0.0
1705100306.5473003,109773,60.0
1705100312.2241964,111240,140.0
1705100328.2187233,115348,20.0
1705100410.3132114,134317,40.0
1705100423.7523243,137654,120.0
1705100424.668374,137878,60.0
1705100429.3791962,139046,20.0
1705100448.3714,142344,40.0
1705100450.04589,142762,40.0
1705100456.3536515,144328,0.0
1705100489.0751545,152355,100.0
1705100492.4261878,153180,120.0
1705100504.9193625,156288,0.0
1705100508.3350456,157131,0.0
1705100510.9282503,157762,0.0
1705100552.3835402,165974,20.0
1705100556.2602887,166951,0.0
1705100556.8021834,167088,40.0
1705100570.3704765,170421,0.0
1705100579.3284745,172573,140.0
1705100618.3776052,180701,0.0
1705100630.8640132,183802,80.0
1705100669.9919116,193513,120.0
1705100672.486316,194142,40.0
1705100682.3562684,196593,40.0
1705100683.9500873,196996,0.0
1705100724.3736537,206040,160.0
1705100727.7775419,206907,40.0
1705100740.7643769,210143,0.0
1705100747.828212,211896,40.0
1705100753.765312,213363,0.0
1705100774.194712,218417,60.0
1705100780.302142,219930,0.0
1705100795.5007658,222259,40.0
1705100815.16412,227152,40.0
1705100839.3172615,233109,0.0
1705100850.7609038,235954,160.0
1705100860.4788814,238368,0.0
1705100862.2214828,238803,20.0
1705100884.5858347,242966,40.0
1705100911.619047,249536,80.0
1705100942.8471446,257247,60.0
1705100948.227899,258596,40.0
1705100966.48669,261828,60.0
1705100973.2635212,263537,100.0
1705100981.7646227,265647,0.0
1705100982.9009705,265932,40.0
1705100985.3236275,266533,60.0
1705101016.413093,274229,80.0
1705101062.2314441,284116,40.0
1705101073.1117105,286801,60.0
1705101078.8415158,288217,80.0
1705101089.9523675,290973,40.0
1705101091.6093163,291381,80.0
1705101096.8565226,292682,60.0
1705101135.835525,301177,0.0
1705101146.747019,303987,40.0
1705101154.0158875,305854,20.0
1705101155.3900926,306207,60.0
1705101195.3068397,316154,20.0
1705101203.761026,318262,40.0
1705101226.6918597,322743,20.0
1705101255.3231442,329945,40.0
1705101260.1556187,331181,0.0
1705101263.5774715,332057,60.0
1705101270.6085567,333860,100.0
1705101312.9498634,343194,20.0
1705101318.6450446,344655,40.0
1705101339.512432,349970,60.0
1705101345.6328633,351491,160.0
1705101350.9747572,352816,60.0
1705101361.777603,355485,40.0
1705101379.9279048,359962,140.0
1705101388.2585285,360825,40.0
1705101389.705849,361189,140.0
1705101404.1083806,364754,40.0
1705101408.008359,365710,0.0
1705101439.7280202,373485,40.0
1705101447.837814,375467,20.0
1705101464.2411814,379483,40.0
1705101474.8044844,380779,80.0
1705101501.7898734,387471,20.0
1705101502.257966,387585,40.0
1705101503.1816292,387813,40.0
1705101537.7958288,396352,80.0
1705101551.3688862,399706,60.0
1705101559.3928292,400062,20.0
1705101562.9621632,400977,20.0
1705101579.4180424,405082,20.0
1705101581.6324549,405627,180.0
1705101590.6510608,407856,100.0
1705101591.5844781,408086,20.0
1705101594.882405,408902,60.0
1705101604.6626847,411312,120.0
1705101608.4387097,412242,60.0
1705101617.737223,414555,40.0
1705101627.0489032,416909,20.0
1705101631.9569552,418155,20.0
1705101738.1829557,442490,0.0
1705101748.2725854,445052,20.0
1705101770.3851633,450576,40.0
1705101779.9562907,452897,20.0
1705101800.999196,457988,0.0
1705101863.6766431,471664,20.0
1705101883.8187652,476618,0.0
1705101931.7368014,487426,0.0
1705101939.835427,489338,20.0
1705101965.8154476,495767,0.0
1705101981.6741543,499755,60.0
1705101987.8449452,500115,0.0
1705102034.3302886,511850,100.0
1705102085.0719879,523155,60.0
1705102112.3253882,529580,80.0
1705102112.6056118,529644,0.0
