Wall time,Step,Value
1705152569.2521636,12928,40.0
1705152569.8435981,13245,0.0
1705152773.6155915,15431,360.0
1705152776.3054752,16749,420.0
1705152783.205394,20031,340.0
1705152950.7978103,21170,320.0
1705152955.4266903,23356,100.0
1705152957.7842953,24509,420.0
1705153123.8949509,25376,300.0
1705153130.7538044,28788,320.0
1705153646.4509945,37798,140.0
1705153817.1746676,41176,280.0
1705153821.152715,43083,300.0
1705153824.2279582,44418,180.0
1705153992.6683855,45183,180.0
1705153996.5873625,47127,260.0
1705153999.7007308,48481,140.0
1705154167.8782349,50978,220.0
1705154169.226726,51625,200.0
1705154335.108038,52392,260.0
1705154337.3111193,53317,240.0
1705154339.0177672,54204,320.0
1705154514.1706529,59381,240.0
1705154680.5488646,60986,240.0
1705154681.7210433,61578,160.0
1705154683.644927,62578,280.0
1705154685.6093225,63422,240.0
1705154857.0912154,66863,320.0
1705154858.4061053,67543,180.0
1705154860.922952,68746,300.0
1705154862.7481432,69683,320.0
1705155033.2414594,73231,240.0
1705155206.1103196,77187,200.0
1705155374.7826376,79009,100.0
1705155376.109259,79691,220.0
1705155550.187193,84355,220.0
1705155892.5240924,89942,140.0
1705156064.5859294,92627,280.0
1705156066.4862082,93462,260.0
1705156242.304668,98980,180.0
1705156412.9763548,100832,260.0
1705156415.088959,101936,100.0
1705156760.8202555,107411,60.0
1705156762.452575,108191,180.0
1705156767.3792598,110662,340.0
1705156934.6743174,111385,220.0
1705157112.8163216,117305,180.0
1705157116.4103029,118922,140.0
1705157286.866037,120832,160.0
1705157288.7927036,121701,280.0
1705157290.6539028,122533,240.0
1705157634.9750717,129102,120.0
1705157808.6610568,132917,260.0
1705157812.4640124,134824,160.0
1705157815.0910149,136013,380.0
1705157817.1110244,137078,300.0
1705157989.9090428,139517,300.0
1705158164.2062135,142621,260.0
1705158167.4615946,144287,260.0
1705158169.0225503,145057,240.0
1705158341.4918416,147905,180.0
1705158521.848623,154950,460.0
1705158523.9411397,155985,260.0
1705158692.9912746,157879,220.0
1705158697.4318686,160093,200.0
1705158921.7343726,161628,260.0
1705158923.5178287,162523,260.0
1705158927.446349,164162,300.0
1705159104.3655403,165994,380.0
1705159105.6457274,166673,140.0
1705159283.1729884,171489,80.0
1705159634.0894074,179090,500.0
1705159636.2564194,180303,340.0
1705159637.8774564,181227,260.0
1705159816.1309044,185651,100.0
1705160173.96403,195762,280.0
1705160176.2665021,196829,320.0
1705160346.8456473,198622,320.0
1705160350.4731174,200667,400.0
1705160354.2248685,202670,400.0
1705160527.3208733,205200,320.0
1705160529.6533544,206391,300.0
1705160532.2921605,207521,340.0
1705160708.2044373,210693,360.0
1705161068.2514703,222005,140.0
1705161072.8580446,224157,460.0
1705161420.169492,229051,400.0
1705161427.1518514,232546,440.0
1705161429.5608218,233770,360.0
1705161601.805779,234751,280.0
1705161603.6578872,235659,280.0
1705161608.4886389,237712,240.0
1705161789.5039804,242908,320.0
1705161794.237406,245103,300.0
1705161968.132623,248075,560.0
