Wall time,Step,Value
1705152569.25222,12928,40000.0
1705152569.8436563,13245,40000.0
1705152773.6156454,15431,60000.0
1705152776.3055725,16749,60000.0
1705152783.2054515,20031,60000.0
1705152950.7978582,21170,80000.0
1705152955.4267561,23356,80000.0
1705152957.7843885,24509,80000.0
1705153123.8950098,25376,100000.0
1705153130.753863,28788,100000.0
1705153646.4510498,37798,160000.0
1705153817.1747227,41176,180000.0
1705153821.1527982,43083,180000.0
1705153824.2280436,44418,180000.0
1705153992.6684787,45183,200000.0
1705153996.5874457,47127,200000.0
1705153999.700791,48481,200000.0
1705154167.8782825,50978,220000.0
1705154169.2268147,51625,220000.0
1705154335.108119,52392,240000.0
1705154337.311174,53317,240000.0
1705154339.0178227,54204,240000.0
1705154514.1707394,59381,260000.0
1705154680.548913,60986,280000.0
1705154681.7211003,61578,280000.0
1705154683.6449811,62578,280000.0
1705154685.609422,63422,280000.0
1705154857.091272,66863,300000.0
1705154858.4062028,67543,300000.0
1705154860.9230065,68746,300000.0
1705154862.748202,69683,300000.0
1705155033.2415414,73231,320000.0
1705155206.1103847,77187,340000.0
1705155374.7826936,79009,360000.0
1705155376.1093156,79691,360000.0
1705155550.1872551,84355,380000.0
1705155892.524149,89942,420000.0
1705156064.5859852,92627,440000.0
1705156066.4863017,93462,440000.0
1705156242.3047168,98980,460000.0
1705156412.976404,100832,480000.0
1705156415.0890136,101936,480000.0
1705156760.8203115,107411,520000.0
1705156762.4526587,108191,520000.0
1705156767.3793085,110662,520000.0
1705156934.6743715,111385,540000.0
1705157112.8164337,117305,560000.0
1705157116.410412,118922,560000.0
1705157286.866096,120832,580000.0
1705157288.7928047,121701,580000.0
1705157290.6539576,122533,580000.0
1705157634.9751232,129102,620000.0
1705157808.6611388,132917,640000.0
1705157812.464089,134824,640000.0
1705157815.0910687,136013,640000.0
1705157817.1110723,137078,640000.0
1705157989.9090898,139517,660000.0
1705158164.2062626,142621,680000.0
1705158167.4616418,144287,680000.0
1705158169.0226045,145057,680000.0
1705158341.491925,147905,700000.0
1705158521.8486774,154950,720000.0
1705158523.9411883,155985,720000.0
1705158692.9913287,157879,740000.0
1705158697.4319334,160093,740000.0
1705158921.7344291,161628,760000.0
1705158923.5178878,162523,760000.0
1705158927.446399,164162,760000.0
1705159104.3655972,165994,780000.0
1705159105.645784,166673,780000.0
1705159283.1730409,171489,800000.0
