Wall time,Step,Value
1705152400.361473,1988,20.0
1705152403.9653006,5945,20.0
1705152404.1790843,6176,0.0
1705152407.2437413,9468,40.0
1705152419.8235235,12738,20.0
1705152468.7060182,20512,20.0
1705152473.1911411,21652,0.0
1705152509.6473026,30343,0.0
1705152513.244816,31054,0.0
1705152527.1856565,33764,0.0
1705152542.3062713,36155,0.0
1705152584.452082,41322,0.0
1705152587.084939,41563,20.0
1705152597.009295,42474,0.0
1705152663.758692,49108,20.0
1705152736.238027,56185,0.0
1705152800.4287663,62153,0.0
1705152815.27829,64032,60.0
1705152899.4757576,74358,40.0
1705152935.7734077,78525,0.0
1705152970.5675738,81660,20.0
1705152977.824864,82719,20.0
1705152979.4388504,82895,60.0
1705153037.6307995,89870,40.0
1705153056.7415626,92304,40.0
1705153072.315866,94144,40.0
1705153083.4854977,95481,40.0
1705153147.719427,102239,40.0
1705153158.6356962,103562,60.0
1705153209.858742,109701,20.0
1705153216.5762017,110665,0.0
1705153240.966178,113563,0.0
1705153246.1262004,114194,100.0
1705153265.570549,116358,40.0
1705153272.2213552,117117,80.0
1705153313.9123366,120932,20.0
1705153444.3957965,136883,140.0
1705153484.9018614,140828,0.0
1705153485.8585236,140944,20.0
1705153492.424307,141775,40.0
1705153523.7686226,145688,0.0
1705153533.8320405,146860,0.0
1705153601.4854093,155000,40.0
1705153607.6157713,155701,40.0
1705153639.4444726,159443,80.0
1705153654.5650532,160305,60.0
1705153660.7478166,161027,80.0
1705153727.7501092,169391,100.0
1705153732.0641813,170005,40.0
1705153732.7597294,170092,0.0
1705153751.0125647,172243,0.0
1705153845.4705405,182727,0.0
1705153871.6274247,185815,60.0
1705153955.1410842,195835,80.0
1705153957.384221,196090,0.0
1705153979.8646288,198636,0.0
1705153984.1869247,199161,60.0
1705154055.6584783,207011,180.0
1705154066.7146094,208282,20.0
1705154098.528501,212261,0.0
1705154112.3903217,213927,40.0
1705154127.8180819,215782,0.0
1705154174.4240057,220588,20.0
1705154188.2732935,222275,40.0
1705154200.657586,223978,40.0
1705154243.2574694,229091,40.0
1705154289.5784326,234833,40.0
1705154309.7450895,237170,0.0
1705154328.8052988,239477,20.0
1705154346.3866498,240345,40.0
1705154363.2073178,242399,0.0
1705154411.7643013,248275,40.0
1705154478.131751,256315,0.0
1705154503.0834439,259391,20.0
1705154525.6093466,261128,40.0
1705154541.8398292,263297,20.0
1705154543.4806664,263544,40.0
1705154547.312941,264079,20.0
1705154601.709257,270830,0.0
1705154663.128986,278076,40.0
1705154694.8238876,280874,0.0
1705154709.1958542,282591,60.0
1705154724.8000777,284708,0.0
1705154728.0841641,285081,0.0
1705154737.5255897,286125,0.0
1705154793.7288253,293044,120.0
1705154816.3908849,295767,40.0
1705154835.398265,298055,160.0
1705154838.643337,298444,20.0
1705154925.2580144,307758,80.0
1705154944.6208525,310288,60.0
1705154975.8411393,314017,0.0
1705155040.0428772,320839,0.0
1705155052.6524844,322349,40.0
1705155057.6669412,322989,60.0
1705155063.667951,323883,20.0
1705155191.1609535,339165,0.0
1705155197.2894492,339871,40.0
1705155215.2098036,341048,60.0
1705155233.1466372,343247,0.0
1705155256.2699184,346274,20.0
1705155265.7072692,347365,60.0
1705155266.6123302,347472,20.0
1705155301.1482177,351782,100.0
1705155306.637957,352422,120.0
1705155366.4038162,359476,20.0
1705155388.6167917,361318,80.0
1705155430.4938025,366491,60.0
1705155441.2982407,367831,20.0
1705155479.9622614,372647,0.0
1705155480.5349696,372717,0.0
1705155482.4143343,372941,20.0
1705155550.227055,380004,0.0
1705155575.4918084,382959,20.0
1705155578.7524657,383393,80.0
1705155581.696134,383832,20.0
1705155614.8164897,387875,60.0
1705155616.3455853,388080,80.0
1705155631.7933083,390083,20.0
1705155635.2810874,390538,0.0
1705155642.1330974,391333,20.0
1705155666.4932683,394212,20.0
1705155673.5504222,395081,40.0
1705155680.6445825,395918,0.0
1705155704.0448241,398724,60.0
1705155710.2347398,399428,20.0
1705155879.5268314,419041,40.0
1705155907.4167318,421359,20.0
1705155954.5673678,427141,0.0
1705155981.5984805,430522,20.0
1705156031.9312382,436358,20.0
1705156196.495497,455258,80.0
1705156284.6800683,465094,40.0
1705156294.1921372,466221,20.0
1705156348.237773,472879,20.0
1705156383.2602077,476910,0.0
1705156389.4195418,477611,140.0
1705156495.009097,489504,20.0
1705156598.245961,500659,0.0
1705156650.9843128,506954,20.0
1705156696.953011,512555,20.0
1705156710.8903856,514168,20.0
1705156715.1823695,514668,40.0
1705156718.9777324,515128,80.0
1705156723.609866,515669,180.0
1705156815.1579661,525879,100.0
1705156868.9717567,532416,40.0
1705156911.550414,537439,0.0
1705156969.0262735,543377,0.0
1705156998.386237,547100,40.0
1705157034.6894658,551608,0.0
1705157054.9692068,553973,100.0
1705157070.6115427,555812,0.0
1705157294.5015695,580201,80.0
1705157326.2436323,584225,0.0
1705157328.7918792,584521,0.0
1705157387.5632648,591780,0.0
1705157414.5859118,594996,140.0
