Wall time,Step,Value
1705666818.2942762,11226,-24.0
1705666826.6169932,13050,-24.0
1705667276.906941,20811,-24.0
1705667284.4401073,22460,-24.0
1705667305.305067,27327,-24.0
1705667732.6161942,29824,-1.0
1705667763.1145408,37323,-3.0
1705667773.2969394,39818,-3.0
1705668199.633045,41464,-23.0
1705668231.7792187,48842,-24.0
1705669589.32874,69290,-24.0
1705670032.8626034,75816,-24.0
1705670049.5672667,79822,0.0
1705670062.225545,82898,-24.0
1705670487.0518594,84979,-24.0
1705670505.2751708,89501,-23.0
1705670521.8569891,93602,-11.0
1705670977.648135,101234,-10.0
1705670984.2657897,102907,-24.0
1705671418.1823056,105401,0.0
1705671426.3382244,107895,0.0
1705671435.994228,110395,0.0
1705671913.44623,124062,0.0
1705672361.6002667,128264,-23.0
1705672368.9392567,129870,-24.0
1705672375.5932553,131489,-24.0
1705672381.0651164,133138,-24.0
1705672837.513251,138876,-8.0
1705672848.2127624,141373,-8.0
1705672854.9802089,143003,-24.0
1705672863.896834,145502,-7.0
1705673344.6633294,157994,-2.0
1705673806.5074592,166367,-24.0
1705674255.190599,173862,-8.0
1705674262.1850379,175529,-24.0
1705674737.903882,186395,-24.0
1705675653.3337233,202279,-24.0
1705676113.428055,208092,-22.0
1705676120.1247516,209730,-24.0
1705676605.5170164,223552,-22.0
1705677065.3572018,229198,-23.0
1705677079.6387286,232666,-23.0
1705677994.509547,245584,-24.0
1705678003.931267,247803,-24.0
1705678028.9547727,253920,-23.0
1705678472.548728,255920,-24.0
1705678969.598626,270011,-23.0
1705678986.8137622,274099,-22.0
1705679432.0758066,277937,-24.0
1705679439.9510539,279918,-23.0
1705679447.7238855,281891,-23.0
1705680379.9135244,297630,-24.0
1705680859.498275,308592,-22.0
1705680873.3012035,312559,-24.0
1705680882.3153365,315007,-21.0
1705680890.8711734,317092,-24.0
1705681361.3176205,324563,-21.0
1705681829.2637048,331120,-24.0
1705681845.1875386,335308,-24.0
1705681851.882807,337431,-23.0
1705682317.2980914,344441,-22.0
1705682800.1649594,357774,-23.0
1705682810.264221,360270,-11.0
1705683268.7648923,364418,-22.0
1705683298.2658098,371133,-9.0
1705683743.6994822,375185,-23.0
1705683753.4227228,377461,-24.0
1705683772.2856278,382071,-24.0
1705684224.1830895,386732,-16.0
1705684233.4995253,389139,-24.0
1705684738.477371,406631,-22.0
1705685696.2593071,426606,-19.0
1705685706.6363363,429103,-21.0
1705685715.970122,431453,-24.0
1705686191.6655588,441166,-20.0
1705687166.0115724,465956,-20.0
1705687175.241141,468213,-23.0
1705687631.9010465,473205,-19.0
1705687650.3888123,478201,-20.0
1705687670.661438,483200,-20.0
1705688128.2518725,489418,-24.0
1705688136.6969016,491478,-24.0
1705688146.408841,493596,-23.0
1705688613.2409492,500770,-20.0
1705689586.535578,524813,-24.0
1705689604.126153,529202,-24.0
1705690549.1064239,544140,-24.0
1705690578.6197886,551385,-20.0
1705690589.661123,553886,-23.0
1705691038.3970468,555745,-24.0
1705691047.7191756,558241,-20.0
1705691065.4841952,562628,-24.0
1705691541.190659,572619,0.0
1705691559.2406003,577556,0.0
1705692017.6973782,582294,-23.0
1705692036.8430793,586807,-24.0
1705692528.5957253,598716,-23.0
1705693026.637912,613518,-22.0
1705693982.3621438,630733,-16.0
1705693993.4438272,633232,-17.0
1705694478.1845045,645032,-24.0
1705694488.8676043,647419,-23.0
1705694961.1061854,654847,0.0
1705694970.312806,657345,0.0
1705694980.7339442,659844,0.0
1705695457.5468876,669834,0.0
1705695467.1661847,672328,0.0
1705695925.0998292,677076,-23.0
1705695951.4063199,683824,-24.0
1705696429.950783,693504,-21.0
1705696439.9688318,695983,-23.0
1705696449.5812633,698478,-18.0
1705696899.4090784,700973,-19.0
1705696919.1313763,705965,-19.0
1705697388.858267,713455,-22.0
1705697399.16644,715949,-20.0
1705697409.665334,718448,-20.0
1705697879.17875,725853,-18.0
1705697910.6269956,733042,-16.0
1705698403.1964948,747855,-16.0
1705698860.0765963,752802,-24.0
1705698893.5493577,760295,-22.0
1705699345.5504878,762240,-23.0
1705699361.6819997,767091,-8.0
1705699368.5544753,769072,-24.0
1705699862.051654,781199,-24.0
1705699870.5730438,783693,-22.0
1705700360.0930119,793661,-15.0
1705700820.1754243,798351,-22.0
1705700845.7229292,804741,-24.0
1705701322.6228762,814350,-15.0
1705701812.9949727,824342,-18.0
1705701832.2788851,829339,-19.0
1705702316.8214962,839326,-22.0
1705702327.7198198,841826,-19.0
1705702338.5894785,844325,-20.0
1705702796.4082873,849320,-19.0
1705703289.5532482,861707,-24.0
1705703300.415129,864203,0.0
1705703781.5692773,874199,-13.0
1705703791.5312872,876694,0.0
1705703802.540627,879080,-24.0
1705704790.9758682,903765,0.0
1705705277.8435886,915136,-24.0
1705706228.1510942,932242,-15.0
1705706238.5677865,934739,-21.0
1705706729.4284964,947228,0.0
1705706739.639505,949726,0.0
1705706760.3909016,954717,0.0
1705707227.004246,959713,-19.0
1705707709.6996212,969531,-22.0
1705708242.9074092,992014,-18.0
1705708713.4226048,996896,-23.0
1705708722.721979,999392,-22.0
1705709201.3421247,1006734,-21.0
1705709699.0031333,1021192,-21.0
1705710225.8347569,1041162,-22.0
1705710675.9792328,1043660,-15.0
1705710686.6236026,1046160,-13.0
1705710708.711666,1051154,-6.0
1705710719.1889777,1053653,-14.0
1705711187.2761614,1060006,-24.0
1705711194.9760125,1062037,-24.0
1705711686.5920665,1074483,-24.0
1705711697.018367,1076982,-15.0
1705713138.7138972,1104461,0.0
1705713170.034097,1111958,-2.0
1705713180.364734,1114452,0.0
1705713646.2457287,1119446,-16.0
1705713664.4355006,1124438,-14.0
1705714144.4313715,1131924,-5.0
1705715132.0857875,1157537,-16.0
1705715614.0926652,1167530,-8.0
1705715625.047287,1170029,-17.0
1705715645.4618385,1174949,-21.0
1705716126.0172372,1182443,-11.0
1705716146.4157064,1187440,-10.0
1705716637.8793726,1199932,-15.0
1705717095.4872224,1202431,-23.0
1705717594.75646,1217382,-17.0
1705717615.130154,1222383,-15.0
1705717624.9329236,1224884,-15.0
1705718078.2699745,1227378,-17.0
1705718089.2404313,1229873,-15.0
1705718099.459251,1232367,-11.0
1705718110.2448184,1234864,-14.0
1705718581.5297105,1239861,-17.0
1705718601.720403,1244860,-16.0
1705719090.1636572,1257350,-8.0
1705719100.1368463,1259845,0.0
1705719110.769632,1262346,-15.0
1705719566.7159662,1267338,-6.0
1705720049.0687551,1277325,-22.0
1705720070.392836,1282321,-13.0
1705720091.5881445,1287314,-17.0
1705720571.0297298,1297302,-11.0
1705720580.878954,1299798,-18.0
1705721040.634077,1302298,-18.0
1705721077.9417872,1312286,0.0
1705721564.0863922,1322278,-16.0
