Wall time,Step,Value
1705666818.2943318,11226,40000.0
1705666826.6170518,13050,40000.0
1705667276.9069977,20811,60000.0
1705667284.4401677,22460,60000.0
1705667305.305124,27327,60000.0
1705667732.6164339,29824,80000.0
1705667763.1146023,37323,80000.0
1705667773.2969956,39818,80000.0
1705668199.633117,41464,100000.0
1705668231.7792807,48842,100000.0
1705669589.3288004,69290,160000.0
1705670032.8626573,75816,180000.0
1705670049.5673218,79822,180000.0
1705670062.2258883,82898,180000.0
1705670487.0519154,84979,200000.0
1705670505.27523,89501,200000.0
1705670521.8570466,93602,200000.0
1705670977.6482084,101234,220000.0
1705670984.265847,102907,220000.0
1705671418.1823723,105401,240000.0
1705671426.3382926,107895,240000.0
1705671435.9942837,110395,240000.0
1705671913.4463036,124062,260000.0
1705672361.6003218,128264,280000.0
1705672368.939309,129870,280000.0
1705672375.593366,131489,280000.0
1705672381.0652144,133138,280000.0
1705672837.5133054,138876,300000.0
1705672848.2128224,141373,300000.0
1705672854.9802644,143003,300000.0
1705672863.896893,145502,300000.0
1705673344.663541,157994,320000.0
1705673806.5075164,166367,340000.0
1705674255.1906548,173862,360000.0
1705674262.185123,175529,360000.0
1705674737.903942,186395,380000.0
1705675653.3338192,202279,420000.0
1705676113.4281087,208092,440000.0
1705676120.1248055,209730,440000.0
1705676605.5172558,223552,460000.0
1705677065.357257,229198,480000.0
1705677079.6387851,232666,480000.0
1705677994.5096047,245584,520000.0
1705678003.9313254,247803,520000.0
1705678028.9549918,253920,520000.0
1705678472.5487895,255920,540000.0
1705678969.598682,270011,560000.0
1705678986.813865,274099,560000.0
1705679432.075863,277937,580000.0
1705679439.951125,279918,580000.0
1705679447.7239773,281891,580000.0
1705680379.9135814,297630,620000.0
1705680859.4983585,308592,640000.0
1705680873.301301,312559,640000.0
1705680882.3153987,315007,640000.0
1705680890.87123,317092,640000.0
1705681361.31768,324563,660000.0
1705681829.2639399,331120,680000.0
1705681845.1875973,335308,680000.0
1705681851.8828764,337431,680000.0
1705682317.298147,344441,700000.0
1705682800.1650176,357774,720000.0
1705682810.2642772,360270,720000.0
1705683268.7649477,364418,740000.0
1705683298.2660255,371133,740000.0
1705683743.6995385,375185,760000.0
1705683753.422778,377461,760000.0
1705683772.2856917,382071,760000.0
1705684224.1831481,386732,780000.0
1705684233.4995842,389139,780000.0
1705684738.477449,406631,800000.0
1705685696.25941,426606,840000.0
1705685706.6363974,429103,840000.0
1705685715.9701767,431453,840000.0
1705686191.6656156,441166,860000.0
1705687166.0116282,465956,900000.0
1705687175.2414165,468213,900000.0
1705687631.901102,473205,920000.0
1705687650.3888695,478201,920000.0
1705687670.6615024,483200,920000.0
1705688128.251929,489418,940000.0
1705688136.696956,491478,940000.0
1705688146.4088967,493596,940000.0
1705688613.2410057,500770,960000.0
1705689586.5356345,524813,1000000.0
1705689604.126211,529202,1000000.0
1705690549.1064773,544140,1040000.0
1705690578.6198606,551385,1040000.0
1705690589.661179,553886,1040000.0
1705691038.397144,555745,1060000.0
1705691047.71943,558241,1060000.0
1705691065.4842494,562628,1060000.0
1705691541.190713,572619,1080000.0
1705691559.2406547,577556,1080000.0
1705692017.6974375,582294,1100000.0
1705692036.843139,586807,1100000.0
1705692528.595782,598716,1120000.0
1705693026.6379712,613518,1140000.0
1705693982.3621988,630733,1180000.0
1705693993.4439025,633232,1180000.0
1705694478.1845622,645032,1200000.0
1705694488.8678396,647419,1200000.0
1705694961.1062436,654847,1220000.0
1705694970.312859,657345,1220000.0
1705694980.734021,659844,1220000.0
1705695457.5469437,669834,1240000.0
1705695467.166241,672328,1240000.0
1705695925.0998864,677076,1260000.0
1705695951.406389,683824,1260000.0
1705696429.950841,693504,1280000.0
1705696439.9688883,695983,1280000.0
1705696449.5813215,698478,1280000.0
1705696899.409137,700973,1300000.0
1705696919.1314414,705965,1300000.0
1705697388.858319,713455,1320000.0
1705697399.1665273,715949,1320000.0
1705697409.6653984,718448,1320000.0
1705697879.1789696,725853,1340000.0
1705697910.627052,733042,1340000.0
1705698403.1965497,747855,1360000.0
1705698860.076649,752802,1380000.0
1705698893.5494301,760295,1380000.0
1705699345.5505679,762240,1400000.0
1705699361.6822188,767091,1400000.0
1705699368.5545313,769072,1400000.0
1705699862.0517313,781199,1420000.0
1705699870.5731094,783693,1420000.0
1705700360.0930984,793661,1440000.0
1705700820.1754804,798351,1460000.0
1705700845.7231739,804741,1460000.0
1705701322.6229284,814350,1480000.0
1705701812.9950294,824342,1500000.0
1705701832.278942,829339,1500000.0
1705702316.8215854,839326,1520000.0
1705702327.71988,841826,1520000.0
1705702338.5895278,844325,1520000.0
1705702796.4083474,849320,1540000.0
1705703289.553479,861707,1560000.0
1705703300.4151855,864203,1560000.0
1705703781.5693314,874199,1580000.0
1705703791.5313525,876694,1580000.0
1705703802.5406985,879080,1580000.0
1705704790.976106,903765,1620000.0
1705705277.8436549,915136,1640000.0
1705706228.1513016,932242,1680000.0
1705706238.5678425,934739,1680000.0
1705706729.4285905,947228,1700000.0
1705706739.639558,949726,1700000.0
1705706760.390961,954717,1700000.0
1705707227.004304,959713,1720000.0
1705707709.6996794,969531,1740000.0
1705708242.9075036,992014,1760000.0
1705708713.4226997,996896,1780000.0
1705708722.7220702,999392,1780000.0
1705709201.342182,1006734,1800000.0
1705709699.0031903,1021192,1820000.0
1705710225.8348095,1041162,1840000.0
1705710675.9793203,1043660,1860000.0
1705710686.6236606,1046160,1860000.0
1705710708.7117486,1051154,1860000.0
1705710719.1890366,1053653,1860000.0
1705711187.276239,1060006,1880000.0
1705711194.9760697,1062037,1880000.0
1705711686.5921247,1074483,1900000.0
1705711697.018423,1076982,1900000.0
1705713138.7139542,1104461,1960000.0
1705713170.034153,1111958,1960000.0
1705713180.3648057,1114452,1960000.0
1705713646.2458258,1119446,1980000.0
1705713664.4355605,1124438,1980000.0
1705714144.4314306,1131924,2000000.0
1705715132.0858457,1157537,2040000.0
1705715614.0927253,1167530,2060000.0
1705715625.0473447,1170029,2060000.0
1705715645.4619277,1174949,2060000.0
1705716126.0172925,1182443,2080000.0
1705716146.4157646,1187440,2080000.0
1705716637.87946,1199932,2100000.0
1705717095.4874535,1202431,2120000.0
1705717594.7565217,1217382,2140000.0
1705717615.1302092,1222383,2140000.0
1705717624.9329805,1224884,2140000.0
1705718078.2700615,1227378,2160000.0
1705718089.2405145,1229873,2160000.0
1705718099.4593315,1232367,2160000.0
1705718110.2448754,1234864,2160000.0
1705718581.5299425,1239861,2180000.0
1705718601.720458,1244860,2180000.0
1705719090.1637084,1257350,2200000.0
1705719100.136902,1259845,2200000.0
1705719110.7696896,1262346,2200000.0
1705719566.7160213,1267338,2220000.0
1705720049.0778499,1277325,2240000.0
1705720070.393054,1282321,2240000.0
1705720091.5881984,1287314,2240000.0
1705720571.0298188,1297302,2260000.0
1705720580.879161,1299798,2260000.0
1705721040.6341932,1302298,2280000.0
1705721077.941843,1312286,2280000.0
1705721564.086453,1322278,2300000.0
1705721574.5605028,1324775,2300000.0
1705722043.8080976,1332258,2320000.0
1705722063.037264,1337251,2320000.0
1705722525.2815168,1339748,2340000.0
1705722535.0349092,1342245,2340000.0
1705722545.236511,1344726,2340000.0
1705722554.6855526,1347226,2340000.0
1705722564.0147574,1349724,2340000.0
1705723029.8404472,1354718,2360000.0
1705723040.093553,1357218,2360000.0
1705723532.953227,1369703,2380000.0
1705723543.2675812,1372197,2380000.0
1705724015.8109722,1379690,2400000.0
1705724026.309342,1382188,2400000.0
1705724503.5030606,1389642,2420000.0
1705724524.5529048,1394636,2420000.0
1705725011.272388,1404623,2440000.0
1705725031.5090122,1409622,2440000.0
1705725501.4081538,1414614,2460000.0
1705725520.5121474,1419615,2460000.0
1705726004.2063909,1427104,2480000.0
1705726044.7942717,1437091,2480000.0
1705726501.3010683,1439590,2500000.0
1705726518.1877491,1444319,2500000.0
1705726989.013315,1451759,2520000.0
1705727031.8247664,1461753,2520000.0
1705727526.1455548,1474239,2540000.0
1705728501.4281456,1491719,2580000.0
1705728511.054595,1494216,2580000.0
1705728532.9082448,1499209,2580000.0
1705728994.684999,1501709,2600000.0
1705729005.4759736,1504203,2600000.0
1705729014.8855555,1506702,2600000.0
1705729033.7407188,1511695,2600000.0
1705729506.7346509,1519185,2620000.0
1705729988.860244,1529179,2640000.0
1705729998.496521,1531673,2640000.0
1705730485.2581723,1541659,2660000.0
1705730511.0470297,1549151,2660000.0
1705730996.0408404,1559142,2680000.0
1705731468.4787917,1566630,2700000.0
1705731479.0991507,1569126,2700000.0
1705731488.7977207,1571624,2700000.0
1705731498.0792084,1574121,2700000.0
1705731946.6212473,1576618,2720000.0
1705731967.1497903,1581616,2720000.0
1705731977.5994954,1584116,2720000.0
1705731987.0527844,1586613,2720000.0
1705732448.9439993,1591613,2740000.0
1705732459.025685,1594110,2740000.0
1705732469.8222,1596606,2740000.0
1705732480.6011307,1599100,2740000.0
1705732947.6674821,1604100,2760000.0
1705732968.8773046,1609097,2760000.0
1705732979.226252,1611593,2760000.0
1705733931.5039,1629074,2800000.0
1705733963.598449,1636569,2800000.0
1705734424.2744381,1639066,2820000.0
1705734433.0211022,1641562,2820000.0
1705734450.5310993,1646551,2820000.0
1705734933.9338214,1654040,2840000.0
1705734951.5690808,1659031,2840000.0
1705735426.8294933,1664030,2860000.0
1705735465.3334725,1674025,2860000.0
1705735955.6021972,1684018,2880000.0
1705736432.909036,1691515,2900000.0
1705736442.171221,1694014,2900000.0
1705736451.413845,1696514,2900000.0
1705736460.7043333,1699012,2900000.0
