Wall time,Step,Value
1705666155.5393014,10775,-24.0
1705666540.566069,27269,-24.0
1705666643.5740564,32197,-24.0
1705666914.8946612,43037,-24.0
1705667519.0917766,70322,-24.0
1705667591.8778281,73643,-23.0
1705667656.4399836,76904,-24.0
1705667690.5576892,78540,-24.0
1705667813.9931405,81873,-23.0
1705668032.9678082,92115,-24.0
1705668135.5171502,97037,-24.0
1705668483.138137,111831,-24.0
1705668727.8132968,121919,-24.0
1705668764.8465483,123584,-24.0
1705668803.7290597,125281,-23.0
1705668839.743216,126896,-24.0
1705669011.3386047,135091,-24.0
1705669318.1686187,148085,-24.0
1705669572.4849055,159863,-24.0
1705669885.6765387,173236,-24.0
1705669991.275476,178450,-24.0
1705670062.9818366,180035,-1.0
1705670306.1604624,191527,-24.0
1705670478.492777,199988,-24.0
1705670797.7546926,212909,-24.0
1705670939.9528937,219673,-23.0
1705671293.5207088,234552,-24.0
1705671402.0688367,239605,-24.0
1705671748.3759825,253657,-24.0
1705671981.342397,262581,-24.0
1705672094.1398914,267588,-24.0
1705672447.3351624,283026,-23.0
1705672487.677233,284826,-23.0
1705672871.2754672,300360,-6.0
1705672903.1226933,302044,-23.0
1705673080.8602624,310283,-24.0
1705673176.3205435,314485,-24.0
1705673211.5383573,316241,-24.0
1705673428.4444952,324166,-24.0
1705673721.7187035,337760,-24.0
1705674057.5617163,352080,-24.0
1705674096.6622002,353778,-23.0
1705674133.053886,355507,-23.0
1705674335.1361377,362829,-24.0
1705674783.8628204,382164,-24.0
1705674994.2398274,392400,-23.0
1705675243.532427,401880,-20.0
1705675355.9636478,407074,-24.0
1705675847.6156287,427935,-23.0
1705676076.2475586,438763,-24.0
1705676309.1444,447564,-23.0
1705676419.6837423,452898,-24.0
1705676616.5969067,460138,-2.0
1705676776.920031,467412,-23.0
1705676858.0722065,470967,-24.0
1705677669.0274427,505110,-23.0
1705677868.2458227,514216,-23.0
1705677906.4632137,516069,-22.0
1705678139.2820988,524788,-24.0
1705678286.6090746,531501,-24.0
1705678326.9469163,533210,-24.0
1705678407.52964,536979,-24.0
1705678750.8997283,550926,-24.0
1705678788.4524403,552766,-23.0
1705679052.2624183,563321,-24.0
1705679093.86245,565147,-23.0
1705679136.7691512,567029,-23.0
1705679253.036882,572172,-24.0
1705679640.3790832,588367,-24.0
1705679999.8223734,602713,-24.0
1705680664.0554302,631277,-24.0
1705680833.5663292,638983,-22.0
1705681119.9213028,650440,-24.0
1705681312.3805711,658842,-20.0
1705681437.878605,662873,-24.0
1705682003.9076502,686680,-24.0
1705682046.2636752,688485,-23.0
1705682821.6267946,720034,-1.0
1705683392.5251715,744646,-23.0
1705683433.4116127,746548,-23.0
1705683520.3831165,750347,-23.0
1705683825.4583669,761961,-22.0
1705684265.4480555,780080,-2.0
1705684353.4006233,784034,-24.0
1705684392.0541663,786119,-23.0
1705684531.2900898,792438,-24.0
1705684850.2830496,804542,-24.0
1705685287.715581,822401,-24.0
1705685410.4070132,828367,-23.0
1705685454.725163,830397,-24.0
1705685906.0812223,848682,-24.0
1705685947.933248,850839,-21.0
1705686737.1879778,881605,-21.0
1705686833.702455,886008,-24.0
1705686919.0339427,889960,-24.0
1705687617.017262,919720,-22.0
1705687908.0955555,930947,-23.0
1705687989.8622239,934903,-24.0
1705688177.2693255,941326,-13.0
1705688529.0082834,957620,-24.0
1705688865.2084057,970288,-23.0
1705688953.791014,974752,-23.0
1705689149.9984307,981253,-15.0
1705689437.8284698,994152,-20.0
