Wall time,Step,Value
1705666302.3355474,9078,-24.0
1705666308.135816,10597,-24.0
1705666844.7871788,16849,-24.0
1705666855.3780336,19344,0.0
1705666881.667383,24980,-17.0
1705667426.2728548,27477,0.0
1705667449.8276558,34133,-11.0
1705667458.850441,36628,0.0
1705668021.5184493,38229,-24.0
1705668060.685851,47329,-19.0
1705669870.0906246,72819,-24.0
1705670470.6507704,81972,-1.0
1705670486.8759596,86074,-24.0
1705670502.3734362,90129,-24.0
1705671071.7165809,91685,-24.0
1705671088.1590652,95886,-9.0
1705671110.2535603,100880,-8.0
1705671717.1789954,110867,-1.0
1705671727.6989691,113366,-8.0
1705672303.810042,115860,-9.0
1705672314.0332937,118354,-8.0
1705672324.0364363,120854,-11.0
1705672924.041228,132007,-24.0
1705673510.7598612,135263,-24.0
1705673521.822904,137762,-1.0
1705673528.2342608,139299,-24.0
1705673539.4684644,141796,-3.0
1705674141.234547,148083,-24.0
1705674149.707054,149998,-22.0
1705674157.0760694,151641,-24.0
1705674164.9680412,153309,-24.0
1705674766.3188362,161763,-24.0
1705675377.8560438,171610,-3.0
1705675961.8105986,176656,-24.0
1705675969.9185488,178655,-23.0
1705676591.1210587,189237,-24.0
1705677803.551142,203916,-24.0
1705678398.9176996,209500,-24.0
1705678406.3412266,211403,-24.0
1705679033.648979,225737,-24.0
1705679638.0357687,231989,-24.0
1705679657.6718197,236437,-22.0
1705680862.7834888,250162,-23.0
1705680871.0401576,252656,-8.0
1705680892.538171,258462,-24.0
1705681467.6576908,260604,-22.0
1705682104.0913785,274759,-23.0
1705682122.2265718,278964,-24.0
1705682705.1915743,282671,-24.0
1705682712.7026436,284557,-24.0
1705682723.0518165,286976,-21.0
1705683914.9188237,302174,-24.0
1705684535.9460158,312412,-24.0
1705684554.0303211,316771,-24.0
1705684563.911603,318995,-24.0
1705684574.7739613,321492,-21.0
1705685174.4476388,328162,-24.0
1705685769.2736924,334809,-23.0
1705685788.0384235,339550,-24.0
1705685798.2526443,341882,-22.0
1705686400.3577497,348560,-24.0
1705687025.2429984,361921,-24.0
1705687034.3091679,364094,-24.0
1705687621.072193,368170,-24.0
1705687644.026007,374254,-24.0
1705688228.1842494,378603,-23.0
1705688237.1611345,380696,-24.0
1705688256.324333,385078,-24.0
1705688844.9501922,389228,-24.0
1705688854.204778,391475,-23.0
1705689485.9837184,407215,0.0
1705690710.8739889,425040,-24.0
1705690721.7143464,427537,-23.0
1705690732.6661038,430033,-21.0
1705691345.7790802,438487,-24.0
1705692566.2623687,460216,-24.0
1705692574.3277974,462247,-24.0
1705693162.3741672,466735,-24.0
1705693183.2883756,471499,-23.0
1705693203.6696932,476110,-24.0
1705693811.8999631,483607,-23.0
1705693823.9515834,486105,-19.0
1705693834.164852,488580,-24.0
1705694437.4102201,495498,-23.0
1705695660.8620424,518621,-9.0
1705695677.0785062,523030,-22.0
1705696876.7920003,535533,-24.0
1705696902.6076381,542075,-24.0
1705696911.407685,544474,-23.0
1705697481.3042524,546739,-24.0
1705697490.3441174,549050,-24.0
1705697511.0452573,553756,-24.0
1705698124.5433846,562392,-23.0
1705698143.072769,566901,-24.0
1705698742.1693542,571558,-9.0
1705698760.8714952,575793,-23.0
1705699366.6196234,586644,-1.0
1705699994.8792305,600562,-24.0
1705701209.428903,615511,-24.0
1705701216.8559456,617416,-24.0
1705701839.314222,627962,-23.0
1705701850.2022722,630456,-21.0
1705702453.3272004,636965,-24.0
1705702461.7381074,639319,-22.0
1705702468.8384898,641766,-24.0
1705703073.6292343,651180,-23.0
1705703083.3929074,653447,-24.0
