Wall time,Step,Value
1705666302.3356094,9078,40000.0
1705666308.1358783,10597,40000.0
1705666844.7872424,16849,60000.0
1705666855.3780963,19344,60000.0
1705666881.6674402,24980,60000.0
1705667426.2729468,27477,80000.0
1705667449.8277168,34133,80000.0
1705667458.850517,36628,80000.0
1705668021.5185037,38229,100000.0
1705668060.685907,47329,100000.0
1705669870.0906823,72819,160000.0
1705670470.6508234,81972,180000.0
1705670486.8760533,86074,180000.0
1705670502.3734975,90129,180000.0
1705671071.7166393,91685,200000.0
1705671088.159151,95886,200000.0
1705671110.2536619,100880,200000.0
1705671717.1790524,110867,220000.0
1705671727.6990252,113366,220000.0
1705672303.8101354,115860,240000.0
1705672314.0333748,118354,240000.0
1705672324.0364926,120854,240000.0
1705672924.041315,132007,260000.0
1705673510.7599177,135263,280000.0
1705673521.8229604,137762,280000.0
1705673528.2343183,139299,280000.0
1705673539.4685185,141796,280000.0
1705674141.2346027,148083,300000.0
1705674149.707114,149998,300000.0
1705674157.0762613,151641,300000.0
1705674164.9680932,153309,300000.0
1705674766.3188908,161763,320000.0
1705675377.856136,171610,340000.0
1705675961.8106549,176656,360000.0
1705675969.9185991,178655,360000.0
1705676591.1211157,189237,380000.0
1705677803.551226,203916,420000.0
1705678398.9177547,209500,440000.0
1705678406.341283,211403,440000.0
1705679033.649065,225737,460000.0
1705679638.035822,231989,480000.0
1705679657.6718774,236437,480000.0
1705680862.7835476,250162,520000.0
1705680871.040231,252656,520000.0
1705680892.5383873,258462,520000.0
1705681467.6577482,260604,540000.0
1705682104.0914404,274759,560000.0
1705682122.2266273,278964,560000.0
1705682705.191632,282671,580000.0
1705682712.7026997,284557,580000.0
1705682723.0519006,286976,580000.0
1705683914.918875,302174,620000.0
1705684535.9460895,312412,640000.0
1705684554.0303867,316771,640000.0
1705684563.9117079,318995,640000.0
1705684574.7742617,321492,640000.0
1705685174.4479067,328162,660000.0
1705685769.2737484,334809,680000.0
1705685788.0386353,339550,680000.0
1705685798.2526987,341882,680000.0
1705686400.357825,348560,700000.0
1705687025.2432296,361921,720000.0
1705687034.3092213,364094,720000.0
1705687621.07244,368170,740000.0
1705687644.0260632,374254,740000.0
1705688228.1843057,378603,760000.0
