Wall time,Step,Value
1705665858.7667944,10833,-24.0
1705666009.5807834,27203,-24.0
1705666108.0802233,32165,-24.0
1705666378.9987414,42036,-24.0
1705667114.38773,68788,-24.0
1705667201.1495285,72185,-24.0
1705667287.1311746,75326,-24.0
1705667332.5871596,77007,-24.0
1705667470.662095,80432,-7.0
1705667737.7569695,90187,-24.0
1705667874.8217373,95053,-24.0
1705668361.3187394,110505,-24.0
1705668702.5643325,121386,-21.0
1705668751.1435163,123046,-24.0
1705668802.9359467,124708,-24.0
1705668858.018723,126532,-24.0
1705669092.7035654,134775,-24.0
1705669535.1269104,148722,-24.0
1705669900.9775274,160215,-4.0
1705670301.378384,174240,-12.0
1705670458.579391,179946,-23.0
1705670547.828035,181617,-23.0
1705670880.389245,193133,-24.0
1705671161.1542206,201889,-22.0
1705671562.1426115,216109,-24.0
1705671804.2259958,222690,-24.0
1705672231.4123483,237873,-24.0
1705672793.5996897,255825,-23.0
1705673044.9477918,263864,-24.0
1705673190.8241272,268773,-24.0
1705673659.9637406,283686,-24.0
1705673705.181279,285315,-24.0
1705674219.9239721,302016,-24.0
1705674449.117794,310430,-24.0
1705674547.3907309,313687,-24.0
1705674594.3746347,315274,-24.0
1705674828.9563541,322070,-22.0
1705675201.2268145,335320,-24.0
1705675636.7954614,349167,-24.0
1705675681.2858167,350801,-24.0
1705675728.7222767,352495,-24.0
1705675926.048735,359413,-24.0
1705676498.6704466,378106,-23.0
1705676842.2253833,388524,-23.0
1705677079.1778083,397044,-24.0
1705677271.352076,402157,-24.0
1705677909.6009986,423195,-24.0
1705678208.1747262,433711,-24.0
1705678494.0230284,442504,-24.0
1705678649.5852952,447795,-24.0
1705678856.7382329,454851,-24.0
1705679094.308,461729,-24.0
1705679197.614028,465164,-24.0
1705680190.9959548,498337,-24.0
1705680482.4415967,507268,-21.0
1705680537.2024693,509106,-23.0
1705680793.990836,517672,-24.0
1705681027.903466,524659,-24.0
1705681079.1756492,526383,-24.0
1705681173.7973182,529705,-24.0
1705681623.6175945,544087,-23.0
1705681670.3359618,545728,-24.0
1705681960.5147226,556103,-24.0
1705682016.8012626,557962,-23.0
1705682070.502173,559751,-23.0
1705682269.9678144,565136,-24.0
1705682780.6746223,581720,-24.0
1705683194.8290122,596237,-24.0
1705684118.742313,625641,-24.0
1705684331.1468444,633013,-24.0
1705684690.6331575,643856,-23.0
1705684888.6944902,651050,-24.0
1705684990.999588,654790,-24.0
1705685677.092816,677012,-24.0
1705685731.7185795,679011,-24.0
1705686668.1152656,708201,-24.0
1705687417.6275,733082,-23.0
1705687468.9033172,735064,-23.0
1705687580.7825305,738948,-24.0
1705687947.84011,750475,-24.0
1705688468.6226313,767199,-24.0
1705688580.3959308,771116,-23.0
1705688631.2234774,773074,-23.0
1705688803.1734488,778940,-24.0
1705689183.4186258,790842,-24.0
1705689724.23633,807909,-24.0
1705689892.656585,813624,-24.0
1705689944.6622832,815512,-24.0
1705690490.8184896,832988,-24.0
1705690543.0812802,834877,-24.0
1705691462.6147082,863483,-24.0
1705691557.3571897,867274,-23.0
1705691664.539789,870903,-24.0
1705692476.9128995,897418,-23.0
1705692790.748161,906994,-23.0
1705692895.3778968,910511,-24.0
1705693041.9461632,916149,-24.0
1705693544.590477,931919,-24.0
1705693951.6281462,944136,-24.0
1705694057.6444497,948084,-23.0
1705694217.6123493,953597,-23.0
1705694595.7749226,965233,-23.0
1705694863.8657794,974332,-24.0
1705695479.9176018,994568,-24.0
1705695593.5528498,998551,-24.0
1705695855.8206313,1006020,-24.0
1705696185.8110194,1017777,-24.0
