Wall time,Step,Value
1705666685.5347254,9270,-24.0
1705666693.0240364,10969,-24.0
1705667179.2351184,17761,-24.0
1705667186.3148954,19458,-24.0
1705667209.4309568,24554,-24.0
1705667677.3901498,26073,-24.0
1705667696.975417,30639,-24.0
1705667703.0302167,32144,-24.0
1705668170.1038404,33649,-24.0
1705668195.8617704,39707,-24.0
1705669723.4511523,69673,0.0
1705670240.2695544,79662,0.0
1705670261.5382676,84658,0.0
1705670283.4168212,89653,0.0
1705670754.4567096,91160,-24.0
1705670768.3907466,94193,-24.0
1705670782.6280434,97231,-24.0
1705671290.845589,107218,0.0
1705671301.6373436,109717,0.0
1705671776.305826,112211,0.0
1705671786.9868698,114705,0.0
1705671796.6120315,117205,0.0
1705672314.2683246,128264,-24.0
1705672802.925835,131778,-22.0
1705672809.8461084,133575,-24.0
1705672817.0986311,135430,-23.0
1705672824.6532216,137285,-24.0
1705673323.536277,142185,-24.0
1705673329.1035466,143692,-24.0
1705673335.3391907,145213,-24.0
1705673341.5772498,146722,-24.0
1705673867.5905356,159214,0.0
1705674374.4511344,166769,-24.0
1705674884.3051631,174264,0.0
1705674891.9930353,176760,0.0
1705675425.6957617,191749,0.0
1705676434.7279778,203857,-24.0
1705676931.469482,208405,-24.0
1705676937.794667,209926,-24.0
1705677461.7328093,220527,-24.0
1705677962.8410444,225699,-24.0
1705677979.2119367,229449,-24.0
1705679004.9657,245347,-24.0
1705679010.6477787,246863,-24.0
1705679027.9477026,251405,-24.0
1705679518.851132,253903,0.0
1705680073.0130188,271379,0.0
1705680094.0641272,276379,0.0
1705680589.2829475,279406,-24.0
1705680596.25371,280914,-24.0
1705680602.2388833,282436,-24.0
1705681614.8304877,294642,-24.0
1705682130.442062,303191,0.0
1705682152.4324412,308181,0.0
1705682162.6645353,310680,0.0
1705682173.4457653,313177,0.0
1705682684.3724113,320675,0.0
1705683189.2048242,327400,-24.0
1705683203.5428348,330770,-24.0
1705683209.8308032,332468,-24.0
1705683703.7172396,337193,-24.0
1705684220.8455188,347443,-23.0
1705684227.717575,349237,-24.0
1705684721.8721075,352636,-24.0
1705684739.1922514,357159,-24.0
1705685234.5249982,360475,-24.0
1705685241.7467663,362330,-24.0
1705685258.018716,366118,-24.0
1705685758.1853175,369613,-24.0
1705685765.5235484,371309,-24.0
1705686286.8332279,382397,-24.0
1705687294.8588703,395984,-24.0
1705687300.9147146,397491,-24.0
1705687306.8535855,399009,-24.0
1705687816.905209,408021,0.0
1705688876.548614,432988,0.0
1705688886.2683976,435487,0.0
1705689388.7511458,439489,-24.0
1705689400.297399,442519,-24.0
1705689412.6219807,445552,-24.0
1705689917.6242838,450954,-24.0
1705689925.254645,452764,-24.0
1705689933.018741,454571,-24.0
1705690447.2370846,462059,0.0
1705691470.8772848,479194,-24.0
1705691483.6896064,482225,-24.0
1705692487.7570033,492856,-24.0
1705692503.486085,497399,-24.0
1705692508.5165553,498922,-24.0
1705692999.4699395,501416,0.0
1705693007.399782,503912,0.0
1705693023.07885,508908,0.0
1705693543.8049629,518899,0.0
1705693563.4655008,523896,0.0
1705694053.1910803,526924,-24.0
1705694065.2416658,529963,-24.0
1705694589.885004,541462,0.0
1705695131.9352615,556441,0.0
1705696167.6315541,573919,0.0
1705696178.6271365,576418,0.0
1705696713.3868842,588902,0.0
1705696723.2720196,591401,0.0
1705697235.9143414,598895,0.0
1705697245.2064226,601393,0.0
1705697254.3552747,603892,0.0
1705697766.5040805,610949,-24.0
1705697771.4687405,612454,-24.0
1705698273.3832462,616469,0.0
1705698302.9122777,623956,0.0
1705698822.8301215,631007,-24.0
1705698828.343702,632513,-24.0
1705698833.967642,634030,-24.0
1705699329.5440323,636525,0.0
1705699346.323379,641517,0.0
1705699853.28965,648319,-24.0
1705699858.7636304,650110,-24.0
1705699864.3801835,651906,-24.0
1705700368.6762714,657987,0.0
1705700399.4492934,665482,0.0
1705700922.336172,675539,-24.0
1705701421.1172206,678571,-24.0
1705701439.6772861,683107,-24.0
1705701931.449514,685601,0.0
1705701949.5734031,690599,0.0
1705701960.5298288,693095,0.0
1705702495.2100415,705593,0.0
1705702504.5030608,708087,0.0
1705703025.5343623,715310,-24.0
1705703519.983774,718614,-24.0
1705703536.2891936,723137,-24.0
1705704043.6950388,729195,-24.0
1705704552.0499408,735581,-24.0
1705704565.3499622,738982,-24.0
1705705085.5497005,748204,0.0
1705705096.2787552,750704,0.0
1705705107.2000513,753203,0.0
1705705615.4882963,758198,0.0
1705706146.1431007,768733,-24.0
1705706152.702098,770251,-24.0
1705706669.7037563,778280,0.0
1705706680.598665,780775,0.0
1705706690.4616091,783275,0.0
1705707728.5221348,800682,-23.0
1705708260.218271,812470,0.0
1705709304.2481644,829948,0.0
1705709313.372461,832445,0.0
1705709860.0141978,844934,0.0
1705709869.8181014,847432,0.0
1705709890.696204,852423,0.0
1705710394.3955722,857419,0.0
1705710925.0052357,867415,0.0
1705711500.1883898,889898,0.0
1705712003.86256,894895,0.0
1705712014.2893932,897391,0.0
1705712537.0282378,904880,0.0
1705713075.7061324,918462,-24.0
