Wall time,Step,Value
1705666685.5347776,9270,40000.0
1705666693.0240955,10969,40000.0
1705667179.235174,17761,60000.0
1705667186.3149886,19458,60000.0
1705667209.4311738,24554,60000.0
1705667677.3902097,26073,80000.0
1705667696.9756284,30639,80000.0
1705667703.0302727,32144,80000.0
1705668170.104096,33649,100000.0
1705668195.8618364,39707,100000.0
1705669723.4512105,69673,160000.0
1705670240.2696092,79662,180000.0
1705670261.5383232,84658,180000.0
1705670283.4168751,89653,180000.0
1705670754.456768,91160,200000.0
1705670768.3908463,94193,200000.0
1705670782.6281247,97231,200000.0
1705671290.8456447,107218,220000.0
1705671301.6374018,109717,220000.0
1705671776.3058803,112211,240000.0
1705671786.986921,114705,240000.0
1705671796.6120908,117205,240000.0
1705672314.2683866,128264,260000.0
1705672802.925893,131778,280000.0
1705672809.8461952,133575,280000.0
1705672817.0986838,135430,280000.0
1705672824.6532857,137285,280000.0
1705673323.5363371,142185,300000.0
1705673329.103623,143692,300000.0
1705673335.3392446,145213,300000.0
1705673341.5773087,146722,300000.0
1705673867.5906336,159214,320000.0
1705674374.451194,166769,340000.0
1705674884.3052213,174264,360000.0
1705674891.993104,176760,360000.0
1705675425.6958222,191749,380000.0
1705676434.728034,203857,420000.0
1705676931.469533,208405,440000.0
1705676937.794744,209926,440000.0
1705677461.7330182,220527,460000.0
1705677962.8411343,225699,480000.0
1705677979.2119896,229449,480000.0
1705679004.9657564,245347,520000.0
1705679010.6478693,246863,520000.0
1705679027.947778,251405,520000.0
1705679518.8511965,253903,540000.0
1705680073.0130775,271379,560000.0
1705680094.0643723,276379,560000.0
1705680589.2830002,279406,580000.0
1705680596.2537642,280914,580000.0
1705680602.2389357,282436,580000.0
1705681614.8305438,294642,620000.0
1705682130.4421196,303191,640000.0
1705682152.4324963,308181,640000.0
1705682162.6648958,310680,640000.0
1705682173.4458241,313177,640000.0
1705682684.372468,320675,660000.0
1705683189.2048957,327400,680000.0
1705683203.5428922,330770,680000.0
1705683209.8308747,332468,680000.0
1705683703.7172973,337193,700000.0
1705684220.8455765,347443,720000.0
1705684227.717635,349237,720000.0
1705684721.8721921,352636,740000.0
1705684739.1923263,357159,740000.0
1705685234.5250554,360475,760000.0
1705685241.746822,362330,760000.0
1705685258.0187702,366118,760000.0
1705685758.1854112,369613,780000.0
1705685765.523608,371309,780000.0
1705686286.8332882,382397,800000.0
1705687294.8590875,395984,840000.0
1705687300.9147692,397491,840000.0
1705687306.8536685,399009,840000.0
1705687816.9052637,408021,860000.0
1705688876.5486712,432988,900000.0
1705688886.2684531,435487,900000.0
1705689388.7512043,439489,920000.0
1705689400.2974854,442519,920000.0
1705689412.6220782,445552,920000.0
1705689917.6243548,450954,940000.0
1705689925.2547028,452764,940000.0
1705689933.0187955,454571,940000.0
1705690447.237139,462059,960000.0
1705691470.8775022,479194,1000000.0
1705691483.6896799,482225,1000000.0
1705692487.7570581,492856,1040000.0
1705692503.4861722,497399,1040000.0
1705692508.5166116,498922,1040000.0
1705692999.4700286,501416,1060000.0
1705693007.3998694,503912,1060000.0
1705693023.0789075,508908,1060000.0
1705693543.8050196,518899,1080000.0
1705693563.4655573,523896,1080000.0
1705694053.1911566,526924,1100000.0
1705694065.2417216,529963,1100000.0
1705694589.8850584,541462,1120000.0
1705695131.9353304,556441,1140000.0
