Wall time,Step,Value
1705666006.0497508,10833,-24.0
1705666397.6181092,27653,-23.0
1705666505.3525147,32529,-24.0
1705666784.6429718,42789,-24.0
1705667435.3091245,69694,-24.0
1705667505.9593937,72999,-24.0
1705667588.2012894,76361,-24.0
1705667625.3742888,77997,-24.0
1705667736.822406,81486,-22.0
1705667974.7345393,91810,-24.0
1705668091.218816,96798,-24.0
1705668462.854417,111537,-24.0
1705668755.2661343,121991,-24.0
1705668798.3791416,123748,-24.0
1705668841.5383341,125526,-24.0
1705668878.4985049,127108,-24.0
1705669071.5557926,135224,-24.0
1705669448.0075665,149361,-23.0
1705669768.8550558,160521,-8.0
1705670105.5976627,174869,-22.0
1705670228.6475568,179976,-24.0
1705670320.1085348,181517,-24.0
1705670595.4780107,193639,-24.0
1705670832.9731812,202032,-23.0
1705671127.9334376,214962,-24.0
1705671337.7019842,221454,-20.0
1705671681.7140663,236443,-24.0
1705671869.788442,242139,-24.0
1705672188.1519403,255892,-24.0
1705672407.6101713,264199,-23.0
1705672523.3491595,268929,-24.0
1705672910.6868808,283682,-24.0
1705672947.6181653,285258,-24.0
1705673351.6464574,300424,-7.0
1705673404.3173747,302922,-23.0
1705673625.1602333,311985,-24.0
1705673705.9398348,315290,-24.0
1705673747.3665066,316962,-23.0
1705673972.8941371,324690,-23.0
1705674319.6773124,339082,-24.0
1705674700.2369025,353365,-24.0
1705674733.576194,355027,-24.0
1705674770.5814922,356659,-24.0
1705674992.020947,363830,-22.0
1705675504.6898885,383271,-24.0
1705675783.2417555,394694,-24.0
1705676032.9912767,403859,-24.0
1705676171.3171482,409619,-24.0
1705676699.619852,430477,-24.0
1705677008.5174778,442015,-24.0
1705677214.411648,450601,-24.0
1705677345.2506928,455988,-24.0
1705677533.6862144,462719,-24.0
1705677698.8842473,469396,-24.0
1705677777.8557863,472665,-24.0
1705678657.9662974,505729,-23.0
1705678864.2042305,514126,-24.0
1705678906.0975916,515920,-24.0
1705679158.7342925,525259,-20.0
1705679318.1989233,531805,-24.0
1705679376.4776332,534299,-22.0
1705679491.2627978,539301,-21.0
1705679869.8601525,552815,-24.0
1705679920.5037158,554996,-24.0
1705680209.4832704,564605,-24.0
1705680252.6895592,566334,-24.0
1705680294.4179862,568127,-24.0
1705680410.4248757,573274,-24.0
1705680868.7115047,590807,-15.0
1705681256.7248433,605047,-24.0
1705682032.5853546,636308,-24.0
1705682309.163698,645408,-24.0
1705682606.502073,657997,-22.0
1705682811.3861969,664546,-24.0
1705682889.672043,668169,-24.0
1705683489.9951296,692025,-20.0
1705683530.5597696,693629,-24.0
1705684320.6242113,723538,-24.0
1705684903.0389676,746766,-24.0
1705684943.7127616,748449,-24.0
1705685071.158817,753442,-21.0
1705685392.8961673,765211,-24.0
1705685889.3366077,784392,-17.0
1705685971.9820898,788241,-23.0
1705686011.8614354,789825,-24.0
1705686170.2555401,796160,-24.0
1705686514.8012362,809593,-24.0
1705686991.5643826,827844,-24.0
1705687148.7714431,834336,-24.0
1705687196.0033758,836452,-24.0
1705687704.4769168,856818,-24.0
1705687751.0344315,858678,-24.0
1705688591.504749,889419,-9.0
1705688686.314758,893392,-24.0
1705688790.0799737,897520,-24.0
1705689569.4940398,926872,-24.0
1705689815.867885,936673,-24.0
1705689940.7067852,940302,-5.0
1705690112.567973,947800,-19.0
1705690582.2800772,965125,-24.0
1705690876.2785397,977188,-22.0
1705691003.6163123,981286,-18.0
1705691154.6071122,987799,-24.0
1705691503.9710946,1000887,-5.0
1705691777.3197277,1012354,-3.0
1705692307.4303222,1032866,-24.0
1705692391.9231706,1036266,-24.0
1705692634.0279922,1045653,-18.0
1705692953.3139782,1058493,-18.0
1705693177.448505,1066060,-23.0
1705693227.2098289,1068081,-24.0
1705693493.7624643,1078960,-24.0
1705693644.1314352,1083414,-24.0
1705693686.3424535,1085051,-24.0
1705693796.3637516,1089504,-24.0
1705693900.9449923,1093869,-24.0
1705693959.6950336,1096365,-21.0
1705694206.311208,1105598,-24.0
1705694268.446843,1108095,-23.0
1705694792.9291484,1127771,-24.0
1705695173.8813102,1141841,-24.0
1705695258.8052492,1145239,-24.0
1705695520.3177452,1155962,-23.0
1705695846.88568,1167487,-24.0
1705695945.5709167,1171777,-24.0
1705696655.9041905,1198868,-24.0
1705697125.3204157,1216293,-20.0
1705697187.4699807,1218791,-17.0
1705697335.7133913,1222822,-24.0
1705697376.5144393,1224394,-24.0
1705697433.4727747,1226888,-16.0
1705697488.872187,1229384,-19.0
1705697609.6108577,1234381,-8.0
1705697782.9326937,1240237,-4.0
1705697977.5320377,1248249,-11.0
1705698238.9696414,1259045,-24.0
1705698443.4125636,1265292,-18.0
1705698650.8664708,1273624,-11.0
1705698855.8671203,1280985,-7.0
1705699003.399133,1287259,-24.0
1705699045.1085966,1288898,-24.0
1705699216.654678,1295882,-18.0
1705699279.4115088,1298379,-18.0
1705699541.6009088,1307446,-9.0
1705699809.9485574,1318284,-24.0
1705699898.4524171,1320782,-10.0
1705700288.8570082,1336866,-24.0
1705700498.4340322,1343623,-12.0
1705700739.0200925,1353533,-16.0
1705700943.1740444,1360795,-7.0
1705701147.7207594,1368954,-24.0
1705701385.8981376,1378939,-23.0
1705701633.3584073,1387780,-24.0
1705701800.9261801,1394731,-24.0
1705701837.589489,1396481,-24.0
1705701897.371293,1398982,-16.0
1705702330.9865026,1414673,-17.0
1705702736.0548642,1429201,-17.0
1705702857.9495254,1434198,-19.0
1705702921.8296034,1436693,-16.0
1705703160.8948944,1445298,-18.0
1705703405.0106866,1455288,-10.0
1705703579.6158595,1461410,-21.0
1705703616.9861758,1462917,-24.0
1705703679.45914,1465411,-18.0
1705703900.0290341,1474635,-10.0
1705704443.760577,1496002,-24.0
1705704712.6317255,1505571,-10.0
1705704769.4858906,1508068,-16.0
1705704809.3919902,1509796,-24.0
1705704913.3695197,1513868,-24.0
1705704951.0847769,1515474,-24.0
1705705349.860267,1529884,-21.0
1705705565.629523,1538544,-24.0
1705705666.3447747,1540766,-8.0
1705705771.491581,1545301,-24.0
1705705892.8786268,1550073,-24.0
1705706037.3445911,1555745,-24.0
1705706076.5577657,1557424,-23.0
1705706131.6997573,1559920,-21.0
1705706222.3430405,1562419,-7.0
1705706390.2413785,1569515,-12.0
1705706622.0196433,1578767,-14.0
1705706936.0747468,1589766,-16.0
1705706998.6114767,1592265,-16.0
1705707051.1645257,1594317,-24.0
1705707437.573279,1609264,-16.0
1705707818.4871018,1623454,-24.0
1705708053.67938,1632658,-24.0
1705708273.4244866,1640152,0.0
1705708503.834999,1649263,-19.0
1705708730.7109818,1658818,-16.0
1705708891.0945477,1663251,-14.0
1705709203.760525,1675728,-16.0
1705710761.9105728,1733740,-16.0
1705710880.7684228,1738735,-22.0
1705710997.9104936,1741234,-9.0
1705711239.1117442,1751226,-11.0
1705711353.6229503,1756223,-2.0
1705711644.3659706,1765905,-24.0
1705711745.662719,1770144,-24.0
1705712262.8316894,1789271,-2.0
1705712661.6045718,1803511,-24.0
1705712887.822368,1812765,-19.0
1705713331.5116217,1829549,-12.0
1705713393.2207928,1832048,-2.0
1705713434.9762633,1833877,-24.0
1705713499.0364285,1836372,-19.0
1705713838.3937974,1848126,-16.0
1705713955.1073995,1853118,-15.0
1705714186.5029023,1860608,-5.0
1705714250.393931,1863107,-4.0
1705714374.466859,1868105,-17.0
1705714899.4868698,1887552,-17.0
1705714955.983479,1890053,-11.0
1705715138.2796702,1897543,-16.0
1705715588.8014686,1914629,-19.0
1705715819.91254,1922125,-6.0
1705716385.7628882,1943222,-24.0
1705716510.6192408,1948221,-19.0
1705716628.0976136,1953216,-15.0
1705716861.4413269,1960714,0.0
1705716923.949741,1963214,-2.0
1705717170.752774,1973199,-11.0
1705717480.6650476,1983877,-24.0
1705717544.869506,1986376,-18.0
1705717764.4531534,1995634,-8.0
1705717830.2575746,1998132,-19.0
1705717927.9136078,2000629,0.0
1705717987.5027814,2003126,-3.0
1705718209.4877503,2012513,-24.0
1705718270.0077395,2015014,-8.0
1705718513.0375197,2022513,-19.0
1705718573.2667649,2024885,-23.0
1705719076.845016,2043664,-17.0
1705719311.5751143,2053650,-2.0
1705719440.206051,2058650,-9.0
1705719592.3944583,2062965,-24.0
1705719655.7213683,2065465,-1.0
1705720079.0134878,2081775,-21.0
1705720139.440667,2084272,-2.0
1705720203.0222275,2086766,-18.0
1705720380.16753,2094257,-8.0
1705720895.4589274,2113487,-1.0
1705721018.8400114,2118483,-9.0
1705721303.1946576,2128478,-19.0
1705721364.2160292,2130972,-2.0
1705721705.9185715,2142530,-24.0
1705722101.6086,2159214,-9.0
1705722814.7747803,2185404,-16.0
1705722939.2574747,2190401,-20.0
1705723325.9247968,2204156,-24.0
1705723383.7438772,2206653,-9.0
1705723508.6476562,2211649,-1.0
1705723608.0306568,2215856,-17.0
1705723882.3009586,2224948,-18.0
1705724126.2248123,2234939,-7.0
1705724250.7783034,2239937,-9.0
1705724568.9933174,2251815,-16.0
1705724631.8027945,2254316,-18.0
1705724682.2858229,2256435,-24.0
1705725175.8359935,2275522,-8.0
1705725593.2515268,2290503,-1.0
1705725827.7913465,2299759,-24.0
1705725906.2499466,2301457,-21.0
1705725967.2800996,2303907,-24.0
1705726543.0908349,2325896,-19.0
1705726672.4055772,2330893,-18.0
1705726832.2611074,2337555,-24.0
1705727249.4975765,2352529,-9.0
1705727765.9951675,2372505,-11.0
1705727891.522141,2377497,-5.0
1705729208.0981953,2427040,-18.0
1705729257.91514,2429250,-24.0
1705729487.579848,2438488,-22.0
1705729601.628654,2440983,0.0
1705729665.718444,2443480,-3.0
1705730825.2189324,2488163,-20.0
1705731184.005471,2500653,0.0
1705731590.0411303,2517431,-18.0
1705731655.483332,2519928,-2.0
1705732062.8564363,2534910,-9.0
1705732189.9066532,2539898,-1.0
1705732518.7222786,2552378,-8.0
1705732646.736495,2557370,-19.0
1705732825.4420416,2562371,-18.0
1705733054.3114872,2572360,-8.0
1705733710.6558077,2596905,-24.0
1705734253.1333776,2616887,-2.0
1705734313.6564271,2619385,-16.0
1705734423.2010632,2621879,-1.0
1705734528.6321254,2626626,-15.0
1705735057.3200943,2646611,-9.0
1705735237.825184,2653589,-24.0
1705735618.8399673,2668575,-8.0
1705735748.5728161,2673573,-11.0
1705735876.2532208,2678568,-7.0
1705735966.662988,2681068,-2.0
1705736140.9856603,2688400,-15.0
1705736263.838091,2693394,-7.0
1705736496.0015385,2700890,0.0
1705736947.7989004,2719473,-7.0
1705737424.0622773,2736944,-8.0
1705737835.1271694,2751740,-2.0
1705738094.0673044,2760581,-8.0
1705738152.991643,2763076,0.0
1705738216.5239027,2765572,-11.0
1705738260.052033,2767239,-24.0
1705738671.088768,2782221,0.0
1705739313.9880223,2807125,-16.0
1705739434.6096373,2812120,-16.0
1705739615.4507372,2819618,-2.0
1705739712.1616325,2822116,-12.0
1705739895.6126685,2829610,-16.0
1705740287.6182745,2844606,-8.0
1705740411.1797616,2849599,-9.0
1705740586.4500468,2857094,-19.0
1705740825.0700288,2864588,-3.0
1705741010.7825298,2872077,-9.0
1705741071.4480004,2874575,-8.0
1705742265.75193,2919532,0.0
1705743027.1691926,2946877,-24.0
1705743267.2925189,2956827,-9.0
1705744199.087971,2991785,-11.0
1705744261.284327,2994281,-9.0
1705744493.011645,3001782,-6.0
1705744556.3206894,3004278,-11.0
1705744680.6855743,3009276,-9.0
1705744740.09975,3011777,-1.0
1705746076.7427979,3060747,-5.0
1705746128.8106296,3063248,0.0
1705746188.0611913,3065746,0.0
1705746489.555405,3078007,-24.0
1705746689.2001324,3085023,-3.0
1705746930.0130174,3095014,-3.0
1705747089.5573895,3100005,0.0
1705747311.2556262,3109456,-14.0
1705747560.919688,3119443,-2.0
1705747848.1888335,3129430,-8.0
1705747976.728506,3134425,-11.0
1705748915.8297474,3168978,-9.0
1705749493.4901347,3190551,-16.0
1705749557.387573,3193049,0.0
1705750327.4318013,3220503,0.0
1705750862.7487926,3240475,-1.0
1705750924.4050512,3242972,0.0
