Wall time,Step,Value
1705665904.9634671,10833,-24.0
1705666187.39639,27456,-23.0
1705666300.2641356,32465,-23.0
1705666558.179766,42644,-24.0
1705667215.6723213,70415,-24.0
1705667292.610143,73775,-24.0
1705667371.080286,77167,-24.0
1705667410.3735301,78834,-24.0
1705667514.0512714,82145,-24.0
1705667748.2081914,92569,-24.0
1705667865.025687,97615,-24.0
1705668223.0903983,112039,-24.0
1705668508.9534762,122020,-24.0
1705668549.0328438,123681,-24.0
1705668588.8413582,125349,-24.0
1705668629.2994072,126997,-24.0
1705668812.6621354,135570,-24.0
1705669153.5513856,148910,-24.0
1705669449.336666,160362,-6.0
1705669787.1265876,175036,-24.0
1705669946.2848227,180002,0.0
1705669986.0966253,181668,-24.0
1705670268.04647,194029,-24.0
1705670512.1944373,202781,-24.0
1705670812.930228,215754,-24.0
1705671015.5696368,222449,-24.0
1705671349.030303,237268,-23.0
1705671501.966814,243008,-24.0
1705671810.3328211,256598,-24.0
1705672055.6266856,265803,-24.0
1705672173.4555974,270820,-23.0
1705672563.0655556,286927,-24.0
1705672611.677734,288981,-24.0
1705672991.9619923,304333,-24.0
1705673030.1505587,305918,-24.0
1705673248.2175372,315115,-24.0
1705673333.2746136,318998,-24.0
1705673440.2221675,321499,-6.0
1705673609.5394974,328678,-24.0
1705673958.7118587,341919,-24.0
1705674278.9538796,355819,-24.0
1705674319.8262694,357542,-24.0
1705674357.2577488,359175,-24.0
1705674561.5128398,365905,-24.0
1705675019.0842094,383792,-24.0
1705675247.2627811,393638,-24.0
1705675508.2526348,402835,-24.0
1705675652.9375296,408903,-24.0
1705676167.1047256,429805,-24.0
1705676396.8780096,439826,-24.0
1705676659.068831,449855,-24.0
1705676790.653048,455544,-23.0
1705676970.987746,462085,-24.0
1705677133.8758779,469048,-24.0
1705677206.1317554,472172,-24.0
1705678130.6383984,507618,-24.0
1705678350.9204316,516849,-24.0
1705678391.1258073,518655,-23.0
1705678635.913281,527202,-24.0
1705678790.438026,533740,-24.0
1705678837.8987157,535693,-24.0
1705678969.9005542,540125,-2.0
1705679309.5551567,554866,-24.0
1705679349.1595738,556583,-24.0
1705679633.2496328,567758,-24.0
1705679674.3868046,569566,-24.0
1705679714.0136495,571217,-24.0
1705679843.6927426,576885,-23.0
1705680294.692226,594984,-24.0
1705680680.0519092,610019,-24.0
1705681464.3904872,640853,-6.0
1705681637.846793,648378,-24.0
1705681869.8323042,658557,-24.0
1705682069.1062138,665681,-24.0
1705682177.8500352,670611,-13.0
1705682683.4574652,690869,-24.0
1705682718.7124276,692570,-24.0
1705683428.7678194,720845,-13.0
1705684041.113711,745327,-24.0
1705684080.4095602,746961,-24.0
1705684190.795219,751384,-24.0
1705684472.8695803,762593,-24.0
1705684865.1705475,779219,-24.0
1705685005.9568877,783349,-24.0
1705685058.7712655,785515,-24.0
1705685195.6784244,791465,-24.0
1705685495.0477138,803439,-24.0
1705685859.4453695,819026,-24.0
1705686041.7518175,824754,-24.0
1705686084.7451057,826517,-24.0
1705686537.0711205,843785,-24.0
1705686598.3495595,846283,-19.0
1705687349.1662936,877282,-24.0
1705687493.8003242,881540,-20.0
1705687585.9654357,885332,-24.0
1705688265.5078852,912712,-24.0
1705688515.805715,921974,-22.0
1705688610.3489587,926112,-17.0
1705688751.671617,932039,-19.0
1705689172.17622,948854,-24.0
1705689523.616376,961732,-15.0
1705689601.1632657,965130,-24.0
1705689735.7063055,970707,-24.0
1705690070.5757754,983646,-20.0
1705690344.391059,995332,-18.0
1705690854.0785956,1015155,-24.0
1705690953.2439601,1019398,-24.0
1705691193.5751965,1027679,-23.0
1705691531.8888092,1040131,-2.0
1705691696.897622,1047313,-24.0
1705691749.3744295,1049493,-24.0
1705691965.4760227,1058730,-24.0
1705692087.8152688,1063101,-23.0
1705692149.2156086,1065598,-10.0
1705692245.9861946,1069574,-23.0
1705692365.0154548,1074503,-17.0
1705692405.7848809,1076282,-24.0
1705692711.4464188,1088076,-24.0
1705692752.1149783,1089708,-24.0
1705693253.8088152,1109030,-24.0
1705693616.1308162,1122685,-24.0
1705693709.2999995,1126555,-24.0
1705693971.5097575,1137754,-20.0
1705694249.2473462,1148400,-23.0
1705694343.3309584,1152277,-24.0
1705694923.2384317,1175134,-24.0
1705695263.2274957,1188215,-24.0
1705695325.3924427,1190713,-21.0
1705695429.9277463,1194929,-24.0
1705695478.2612317,1197346,-24.0
1705695538.6609955,1199840,-10.0
1705695645.690578,1202336,-15.0
1705695736.1256406,1206567,-18.0
1705695903.4253883,1213392,-24.0
1705696145.5498421,1221691,-19.0
1705696383.690304,1232041,-24.0
1705696516.5809784,1237933,-24.0
1705696765.808875,1246445,-24.0
1705696923.9518418,1253380,-24.0
1705697139.419747,1260465,-4.0
1705697181.114872,1262164,-24.0
1705697347.0958135,1269372,-24.0
1705697404.7888005,1271869,-17.0
1705697662.4052281,1281000,-6.0
1705697902.1165109,1291240,-24.0
1705697959.8239315,1293738,-18.0
1705698364.7922492,1308946,-18.0
1705698496.6601415,1314619,-24.0
1705698742.7273715,1323049,-15.0
1705698888.5720878,1329863,-21.0
1705699108.259518,1339171,-22.0
1705699380.2753541,1349156,-18.0
1705699609.3714728,1358721,-12.0
1705699827.2038586,1365418,-24.0
1705699866.6370764,1367658,-23.0
1705699909.567821,1369554,-24.0
1705700343.923434,1386596,-24.0
1705700708.368157,1400362,-6.0
1705700829.0772426,1405359,-17.0
1705700865.7682476,1406992,-24.0
1705701043.712803,1414802,-24.0
1705701285.5756388,1422691,-24.0
1705701453.5656252,1430184,-11.0
1705701509.2372477,1432680,-22.0
1705701561.097679,1434761,-24.0
1705701807.2980933,1443148,-24.0
1705702318.4720774,1463037,-24.0
1705702495.8473737,1471232,-23.0
1705702553.0675275,1473729,-11.0
1705702600.667919,1475681,-24.0
1705702682.552438,1479019,-24.0
1705702754.7173781,1480672,-10.0
1705703039.0789204,1493137,-24.0
1705703287.382457,1502353,-24.0
1705703344.6041093,1504847,-22.0
1705703447.1422,1509012,-24.0
1705703553.090288,1514004,-10.0
1705703730.6953802,1520122,-1.0
1705703778.0521202,1522167,-24.0
1705703836.3213937,1524663,-1.0
1705703897.926692,1527162,-16.0
1705704049.0386107,1534121,-16.0
1705704301.4043238,1543214,-17.0
1705704591.2441926,1555698,-21.0
1705704652.758805,1558197,-16.0
1705704764.8477235,1560696,-1.0
1705705104.4105797,1575517,-17.0
1705705492.5044465,1589313,-24.0
1705705714.3570795,1599198,-20.0
1705705907.825477,1605799,-11.0
1705706140.4622614,1615791,-22.0
1705706416.4939249,1625439,-19.0
1705706538.7720394,1630431,-19.0
1705706848.2565322,1642847,-11.0
1705708218.8593743,1698522,-17.0
1705708358.7759078,1703403,-11.0
1705708419.954067,1705902,-9.0
1705708605.9099483,1713722,-19.0
1705708719.1266563,1718719,-19.0
1705709004.7998917,1728706,-11.0
1705709120.7248185,1733699,-12.0
1705709589.4139452,1751695,-19.0
1705709956.2517207,1765806,-16.0
1705710194.7125564,1775794,-14.0
1705710634.1937628,1792469,-8.0
1705710692.2508538,1794968,-15.0
1705710750.6603663,1797468,-9.0
1705710808.8281372,1799963,-16.0
1705711124.4119027,1811813,-18.0
1705711230.8064973,1816536,-24.0
1705711462.3481116,1824026,-16.0
1705711508.91824,1826126,-24.0
1705711625.2842407,1831124,-10.0
1705712099.5317712,1850002,-24.0
1705712155.881162,1852503,-5.0
1705712324.657711,1859500,-24.0
1705712755.807897,1876039,-24.0
1705712980.0317757,1883357,-19.0
1705713480.1290677,1903573,-6.0
1705713602.88051,1908572,-16.0
1705713691.1528664,1913116,-9.0
1705713923.0783641,1920452,-1.0
1705713980.823436,1922952,-3.0
1705714188.695436,1932076,-10.0
1705714516.55442,1944442,-8.0
1705714579.0554535,1946941,-9.0
1705714792.6269443,1956322,-24.0
1705714853.8642664,1958820,-17.0
1705714939.2765975,1960937,-15.0
1705714998.0376759,1963434,-16.0
1705715225.337924,1973429,-8.0
1705715285.8146393,1975930,-10.0
1705715508.2650723,1983429,-15.0
1705715558.2669106,1985927,-17.0
1705716025.4899614,2004225,-15.0
1705716231.322936,2013510,-9.0
1705716350.310473,2018510,-19.0
1705716513.5031614,2023502,0.0
1705716574.1119883,2026002,-17.0
1705717011.577459,2043480,-10.0
1705717071.1403635,2045851,-24.0
1705717124.5844288,2048345,-14.0
1705717298.1038988,2055646,-23.0
1705717811.0238523,2075537,-15.0
1705717984.473826,2080533,0.0
1705718189.3400142,2089588,-11.0
1705718248.2453477,2092082,-3.0
1705718563.9626842,2103843,-19.0
1705719017.7507613,2121325,-7.0
1705719691.6968594,2147935,-18.0
