Wall time,Step,Value
1705666470.1517494,9078,-24.0
1705666476.2388601,10586,-24.0
1705666951.1427138,16838,-24.0
1705666957.3291118,18535,-24.0
1705666978.8873446,23632,-24.0
1705667439.506764,25139,-24.0
1705667456.3197598,29694,-24.0
1705667462.8788722,31199,-24.0
1705667926.0491762,32704,-24.0
1705667952.4878178,38762,-24.0
1705669417.6358562,63300,-24.0
1705669904.2277317,71180,0.0
1705669924.0251338,76176,0.0
1705669946.215772,81171,0.0
1705670412.8191447,83667,0.0
1705670433.6489115,88667,0.0
1705670455.3595786,93661,0.0
1705670950.3488908,103648,0.0
1705670959.926436,106147,0.0
1705671412.1649806,107651,-24.0
1705671417.111178,109168,-24.0
1705671421.8364246,110678,-24.0
1705671911.3471656,120893,-24.0
1705672380.747977,124225,-24.0
1705672385.3127491,125746,-24.0
1705672391.1542742,127264,-24.0
1705672396.644371,128783,-24.0
1705672873.1411467,133699,-24.0
1705672879.931429,135398,-24.0
1705672886.0211294,137099,-24.0
1705672892.0126874,138768,-24.0
1705673403.5413115,151260,0.0
1705673913.18206,163750,0.0
1705674400.538809,171245,0.0
1705674410.867559,173741,0.0
1705674926.323443,188730,0.0
1705675929.1467435,206302,-24.0
1705676406.4492583,211221,-24.0
1705676412.7152064,212742,-24.0
1705676918.377957,223342,-24.0
1705677409.4529777,229856,0.0
1705677431.4001555,234852,0.0
1705678428.0601034,252335,0.0
1705678437.950421,254829,0.0
1705678470.2461505,262326,0.0
1705678943.4951842,263847,-24.0
1705679443.540246,274433,-24.0
1705679454.5276878,277466,-24.0
1705679923.659051,280493,-24.0
1705679929.604928,282012,-24.0
1705679935.2831,283523,-24.0
1705680910.1473641,295966,-24.0
1705681413.7274153,305131,-24.0
1705681428.3726754,308715,-24.0
1705681435.8145657,310526,-24.0
1705681443.7186654,312334,-24.0
1705681920.0720148,316875,-24.0
1705682395.426925,321433,-24.0
1705682407.1185248,324463,-24.0
1705682413.4899523,325970,-24.0
1705682895.9554021,330527,-24.0
1705683395.486068,339611,-24.0
1705683401.692375,341118,-24.0
1705683880.01337,345125,0.0
