Wall time,Step,Value
1705666426.0092988,10056,0.0
1705666436.2184231,12553,0.0
1705666924.592646,22537,0.0
1705666935.4072566,25032,0.0
1705666964.946444,32522,0.0
1705667427.0493,34029,-24.0
1705667443.2954657,38595,-24.0
1705667448.3448892,40100,-24.0
1705667909.3207517,41605,-24.0
1705667934.8141568,47663,-24.0
1705669381.3293974,71075,-24.0
1705669869.2008905,78638,0.0
1705669887.7015903,83634,0.0
1705669906.0629866,88629,0.0
1705670371.881054,91125,0.0
1705670393.6364427,96125,0.0
1705670413.2539074,101119,0.0
1705670911.8017154,111106,0.0
1705670920.7886703,113605,0.0
1705671381.058923,116099,0.0
1705671391.5227075,118593,0.0
1705671401.911795,121093,0.0
1705671907.4633827,136086,0.0
1705672380.637116,141083,0.0
1705672388.9264448,143582,0.0
1705672398.005631,146078,0.0
1705672408.0035396,148575,0.0
1705672890.25101,154468,-24.0
1705672897.1371472,156167,-24.0
1705672903.4789624,157835,-24.0
1705672910.1613262,159504,-24.0
1705673393.227644,167084,-24.0
1705673896.8720858,179574,0.0
1705674386.6734822,187069,0.0
1705674396.1584563,189565,0.0
1705674910.7014453,204554,0.0
1705675879.5762446,217498,-24.0
1705676360.8369567,223614,0.0
1705676371.7578278,226113,0.0
1705676906.2157729,243593,0.0
1705677392.5914168,249104,-24.0
1705677403.8722496,252133,-24.0
1705678374.3462555,264282,-24.0
1705678380.6788716,265798,-24.0
1705678399.5559626,270352,-24.0
1705678858.5288742,271861,-24.0
1705679367.90358,285392,0.0
1705679387.982651,290392,0.0
1705679853.8375452,293419,-24.0
1705679860.3707943,294927,-24.0
1705679866.7079403,296449,-24.0
1705680842.918651,309452,0.0
1705681350.2873528,321935,0.0
1705681365.9408457,326925,0.0
1705681374.7442284,329424,0.0
1705681384.0912008,331921,0.0
1705681873.5589523,339419,0.0
1705682359.7049608,346909,0.0
1705682379.2066286,351905,0.0
1705682389.9505548,354401,0.0
1705682870.2057855,359936,-24.0
1705683377.4656184,371965,0.0
1705683386.3868816,374461,0.0
1705683873.4932988,378627,-24.0
1705683891.6406033,383693,-24.0
1705684372.9363875,387890,0.0
1705684381.641968,390384,0.0
1705684398.9288318,395380,0.0
1705684881.251496,399672,-24.0
1705684886.8860152,401463,-24.0
1705685400.8067658,414464,-23.0
1705686371.9409096,426848,-24.0
1705686377.678479,428355,-24.0
1705686384.2300105,429861,-24.0
1705686877.1528697,438873,0.0
1705687881.5853684,460754,0.0
1705687892.115233,463253,0.0
1705688361.5912046,467574,-24.0
1705688375.9908087,471179,-24.0
1705688391.1236537,474788,-24.0
1705688881.3546455,482285,0.0
1705688889.8589373,484783,0.0
1705688900.15457,487278,0.0
1705689388.968206,491809,-24.0
1705690381.634093,509935,0.0
1705690402.6065202,514933,0.0
1705691355.4454021,524996,0.0
1705691384.6285303,532495,0.0
1705691394.611423,534996,0.0
1705691865.8305445,537490,0.0
1705691877.1887617,539986,0.0
1705691897.4741669,544982,0.0
1705692405.0281763,554973,0.0
1705692427.4132502,559970,0.0
1705692902.5586762,564965,0.0
1705692923.895184,569960,0.0
1705693428.369086,582448,0.0
1705693947.484174,597427,0.0
1705694940.2719607,614905,0.0
1705694950.0964806,617404,0.0
1705695443.2128575,626955,-24.0
1705695448.2815998,628476,-24.0
1705695932.870933,634980,0.0
1705695941.624134,637478,0.0
1705695949.8503008,639977,0.0
1705696448.5794668,649967,0.0
1705696458.2610803,652461,0.0
1705696935.1560566,657454,0.0
1705696965.4379199,664941,0.0
1705697464.5664237,674925,0.0
1705697474.3822134,677421,0.0
1705697483.4480655,679916,0.0
1705697957.072656,682411,0.0
1705697978.4449744,687403,0.0
1705698460.984372,694096,-24.0
1705698468.1936748,695792,-24.0
1705698474.9277961,697461,-24.0
1705698956.7163162,703319,0.0
1705698988.7681663,710814,0.0
1705699512.2708135,725795,0.0
1705699986.3713546,729389,-24.0
1705700006.6495857,734787,-24.0
1705700479.913488,736292,-24.0
1705700491.655383,739312,-24.0
1705700497.5213916,740831,-24.0
1705701002.474496,752340,0.0
1705701012.6068425,754834,0.0
1705701502.4500678,761631,-24.0
1705701978.171318,764852,-24.0
1705701996.4318194,769375,-24.0
1705702492.709598,778377,0.0
1705702997.2551973,786401,-24.0
1705703008.7427943,789431,-24.0
1705703513.7110572,798429,0.0
1705703521.9797843,800929,0.0
1705703531.139739,803428,0.0
1705704019.705993,808423,0.0
1705704533.8399656,820913,0.0
1705704542.6309938,823409,0.0
1705705039.5584447,832123,-24.0
1705705047.103308,834011,-23.0
1705705053.702713,835808,-24.0
1705706079.8475916,860211,0.0
1705706576.289638,869889,-24.0
1705707551.4481602,882509,-24.0
1705707559.8332002,884500,-22.0
1705708063.3221757,893010,-24.0
1705708069.0098035,894519,-24.0
1705708079.5238662,897554,-24.0
1705708563.620106,900584,-24.0
1705709055.8579376,907635,0.0
