Wall time,Step,Value
1705666426.0093608,10056,40000.0
1705666436.2184806,12553,40000.0
1705666924.592731,22537,60000.0
1705666935.4073083,25032,60000.0
1705666964.9465313,32522,60000.0
1705667427.049361,34029,80000.0
1705667443.2955248,38595,80000.0
1705667448.3449736,40100,80000.0
1705667909.3208125,41605,100000.0
1705667934.814235,47663,100000.0
1705669381.3294704,71075,160000.0
1705669869.200943,78638,180000.0
1705669887.7016466,83634,180000.0
1705669906.0630436,88629,180000.0
1705670371.8811457,91125,200000.0
1705670393.636509,96125,200000.0
1705670413.253966,101119,200000.0
1705670911.8017728,111106,220000.0
1705670920.7887259,113605,220000.0
1705671381.0589788,116099,240000.0
1705671391.5227633,118593,240000.0
1705671401.9118476,121093,240000.0
1705671907.4634721,136086,260000.0
1705672380.6371748,141083,280000.0
1705672388.9265094,143582,280000.0
1705672398.005688,146078,280000.0
1705672408.0038357,148575,280000.0
1705672890.2510653,154468,300000.0
1705672897.1372027,156167,300000.0
1705672903.4790204,157835,300000.0
1705672910.1614091,159504,300000.0
1705673393.2277346,167084,320000.0
1705673896.8721402,179574,340000.0
1705674386.6735632,187069,360000.0
1705674396.1585116,189565,360000.0
1705674910.7015035,204554,380000.0
1705675879.5763328,217498,420000.0
1705676360.8370094,223614,440000.0
1705676371.7579122,226113,440000.0
1705676906.215828,243593,460000.0
1705677392.5914893,249104,480000.0
1705677403.8723075,252133,480000.0
1705678374.3463094,264282,520000.0
1705678380.6789303,265798,520000.0
1705678399.5560203,270352,520000.0
1705678858.528929,271861,540000.0
1705679367.903666,285392,560000.0
1705679387.9827037,290392,560000.0
1705679853.8377633,293419,580000.0
1705679860.3708508,294927,580000.0
1705679866.707997,296449,580000.0
1705680842.918707,309452,620000.0
1705681350.2874136,321935,640000.0
1705681365.940895,326925,640000.0
1705681374.744309,329424,640000.0
1705681384.091255,331921,640000.0
1705681873.5590098,339419,660000.0
1705682359.705017,346909,680000.0
1705682379.2066834,351905,680000.0
1705682389.9506078,354401,680000.0
1705682870.2059968,359936,700000.0
1705683377.4656696,371965,720000.0
1705683386.3869643,374461,720000.0
1705683873.4933968,378627,740000.0
1705683891.640669,383693,740000.0
1705684372.936443,387890,760000.0
1705684381.6420333,390384,760000.0
1705684398.9288876,395380,760000.0
1705684881.2515507,399672,780000.0
1705684886.8861086,401463,780000.0
1705685400.8068216,414464,800000.0
1705686371.9409869,426848,840000.0
1705686377.6785347,428355,840000.0
1705686384.230075,429861,840000.0
1705686877.1529243,438873,860000.0
1705687881.5854385,460754,900000.0
1705687892.1153243,463253,900000.0
1705688361.591283,467574,920000.0
1705688375.9908643,471179,920000.0
1705688391.1237156,474788,920000.0
1705688881.3547273,482285,940000.0
1705688889.8589911,484783,940000.0
1705688900.1547627,487278,940000.0
1705689388.9682658,491809,960000.0
1705690381.6341476,509935,1000000.0
1705690402.6065779,514933,1000000.0
1705691355.445487,524996,1040000.0
1705691384.6285844,532495,1040000.0
1705691394.611475,534996,1040000.0
1705691865.8306012,537490,1060000.0
1705691877.1888359,539986,1060000.0
1705691897.4742181,544982,1060000.0
1705692405.0282311,554973,1080000.0
1705692427.4133024,559970,1080000.0
1705692902.5587316,564965,1100000.0
1705692923.895257,569960,1100000.0
1705693428.3691435,582448,1120000.0
1705693947.4842246,597427,1140000.0
1705694940.2720158,614905,1180000.0
1705694950.0965333,617404,1180000.0
1705695443.2129135,626955,1200000.0
1705695448.2816527,628476,1200000.0
1705695932.8711553,634980,1220000.0
1705695941.6242092,637478,1220000.0
1705695949.8582876,639977,1220000.0
1705696448.5795178,649967,1240000.0
1705696458.2611377,652461,1240000.0
1705696935.156151,657454,1260000.0
1705696965.4381406,664941,1260000.0
1705697464.5664775,674925,1280000.0
1705697474.3822708,677421,1280000.0
1705697483.4481215,679916,1280000.0
1705697957.0727093,682411,1300000.0
1705697978.4450445,687403,1300000.0
1705698460.9844255,694096,1320000.0
1705698468.1937563,695792,1320000.0
1705698474.9278524,697461,1320000.0
1705698956.7166007,703319,1340000.0
1705698988.7682283,710814,1340000.0
1705699512.2708616,725795,1360000.0
1705699986.3714595,729389,1380000.0
1705700006.6496396,734787,1380000.0
1705700479.91354,736292,1400000.0
1705700491.6554394,739312,1400000.0
1705700497.5214472,740831,1400000.0
1705701002.4745474,752340,1420000.0
1705701012.606893,754834,1420000.0
1705701502.4501483,761631,1440000.0
1705701978.1713846,764852,1460000.0
1705701996.4318733,769375,1460000.0
1705702492.7096558,778377,1480000.0
1705702997.2552605,786401,1500000.0
1705703008.7428477,789431,1500000.0
1705703513.7111142,798429,1520000.0
1705703521.9798415,800929,1520000.0
1705703531.1397972,803428,1520000.0
1705704019.7060745,808423,1540000.0
1705704533.840041,820913,1560000.0
1705704542.6310823,823409,1560000.0
1705705039.558724,832123,1580000.0
1705705047.103371,834011,1580000.0
1705705053.7027676,835808,1580000.0
1705706079.8476868,860211,1620000.0
1705706576.2897172,869889,1640000.0
1705707551.4482164,882509,1680000.0
1705707559.8332694,884500,1680000.0
1705708063.322232,893010,1700000.0
1705708069.0098953,894519,1700000.0
1705708079.523919,897554,1700000.0
1705708563.6201594,900584,1720000.0
1705709055.8579905,907635,1740000.0
1705709584.2714715,926000,1760000.0
1705710072.2399251,930997,1780000.0
1705710082.4380648,933493,1780000.0
1705710571.45871,940380,1800000.0
1705711083.81865,950830,1820000.0
1705711619.0746095,967845,1840000.0
1705712090.5143282,969354,1860000.0
1705712096.38759,970865,1860000.0
1705712108.6712973,973881,1860000.0
1705712114.8717566,975403,1860000.0
1705712610.0229328,982899,1880000.0
1705712620.8705308,985396,1880000.0
1705713132.8439925,997879,1900000.0
1705713142.1838377,1000378,1900000.0
1705714639.1907337,1027857,1960000.0
1705714665.4929478,1035354,1960000.0
1705714674.7438607,1037848,1960000.0
1705715158.1289997,1042842,1980000.0
1705715178.1251922,1047834,1980000.0
1705715672.374257,1055320,2000000.0
1705716709.382938,1082791,2040000.0
1705717214.3224773,1092784,2060000.0
1705717224.90065,1095283,2060000.0
1705717246.307782,1100284,2060000.0
1705717733.210076,1107778,2080000.0
1705717753.8143613,1112775,2080000.0
1705718247.7491891,1120344,2100000.0
1705718719.5691497,1122843,2120000.0
1705719244.0533748,1137827,2140000.0
1705719262.6381483,1142828,2140000.0
1705719271.8826325,1145329,2140000.0
1705719744.7750442,1147823,2160000.0
1705719754.0798695,1150318,2160000.0
1705719763.5215075,1152812,2160000.0
1705719773.761452,1155309,2160000.0
1705720255.8496826,1160306,2180000.0
1705720273.1326814,1165305,2180000.0
1705720781.8635361,1177795,2200000.0
1705720790.4193585,1180290,2200000.0
1705720800.7745073,1182791,2200000.0
1705721282.586429,1187783,2220000.0
1705721788.459819,1197770,2240000.0
1705721807.930711,1202766,2240000.0
1705721825.8494983,1207759,2240000.0
1705722319.0392554,1213802,2260000.0
1705722325.256918,1215320,2260000.0
1705722797.1177824,1217820,2280000.0
1705722838.533514,1227808,2280000.0
1705723337.997807,1237800,2300000.0
1705723347.257295,1240297,2300000.0
1705723834.8167853,1247780,2320000.0
1705723856.1746802,1252773,2320000.0
1705724334.6955254,1255270,2340000.0
1705724344.8400514,1257767,2340000.0
1705724354.3824482,1260268,2340000.0
1705724364.6690347,1262768,2340000.0
1705724375.1528032,1265266,2340000.0
1705724862.4114227,1270260,2360000.0
1705724872.3630543,1272760,2360000.0
1705725383.2226012,1283387,2380000.0
1705725390.9530618,1285242,2380000.0
1705725881.8728526,1292096,2400000.0
1705725892.7595048,1294594,2400000.0
1705726383.1739364,1301106,2420000.0
1705726394.0829365,1304133,2420000.0
1705726892.465016,1312165,2440000.0
1705726910.3458447,1317164,2440000.0
1705727401.117573,1322156,2460000.0
1705727419.964001,1327157,2460000.0
1705727918.1761725,1334646,2480000.0
1705727958.027071,1344633,2480000.0
1705728431.3218272,1346154,2500000.0
1705728444.0753005,1349178,2500000.0
1705728931.2061434,1354701,2520000.0
1705728972.442156,1364695,2520000.0
1705729481.2386885,1377181,2540000.0
1705730481.3316836,1394661,2580000.0
1705730491.0320163,1397158,2580000.0
1705730508.919008,1402151,2580000.0
1705730982.025196,1404651,2600000.0
1705730991.5500782,1407145,2600000.0
1705731000.1491442,1409644,2600000.0
1705731019.9323697,1414637,2600000.0
1705731498.3392658,1419702,2620000.0
1705731995.2744412,1428101,2640000.0
1705732005.4351242,1430595,2640000.0
1705732499.8202422,1439374,2660000.0
1705732523.6261623,1445146,2660000.0
1705733030.6842487,1455137,2680000.0
1705733517.7601888,1461219,2700000.0
1705733524.814577,1463011,2700000.0
1705733532.1553104,1464807,2700000.0
1705733539.6847265,1466615,2700000.0
1705734003.3589084,1468313,2720000.0
1705734017.8048582,1471683,2720000.0
1705734024.7902157,1473353,2720000.0
1705734032.3870192,1475052,2720000.0
1705734512.678881,1480052,2740000.0
1705734523.0126195,1482549,2740000.0
1705734532.9211683,1485045,2740000.0
1705734543.333766,1487539,2740000.0
1705735021.626243,1492539,2760000.0
1705735041.8392358,1497536,2760000.0
1705735051.419138,1500032,2760000.0
1705736037.7374568,1515546,2800000.0
1705736055.2358217,1520085,2800000.0
1705736524.600033,1522582,2820000.0
1705736533.7801254,1525078,2820000.0
1705736550.965792,1530067,2820000.0
1705737032.3889804,1535589,2840000.0
1705737044.5251904,1538613,2840000.0
1705737521.3956895,1542623,2860000.0
1705737556.7105918,1552618,2860000.0
1705738051.7443857,1559355,2880000.0
1705738542.2160857,1566022,2900000.0
1705738551.5894427,1568521,2900000.0
1705738561.059674,1571021,2900000.0
1705738571.1284702,1573519,2900000.0
1705739032.6205716,1575026,2920000.0
1705739526.9505968,1583588,2940000.0
1705740041.7373478,1596610,2960000.0
1705740052.9901743,1599628,2960000.0
1705740058.375947,1601136,2960000.0
1705740534.2707734,1603634,2980000.0
1705740562.2004697,1611131,2980000.0
1705741054.938695,1617418,3000000.0
1705741062.7725332,1619411,3000000.0
1705741534.8254871,1624792,3020000.0
1705741542.1392715,1626492,3020000.0
1705741549.3887618,1628191,3020000.0
1705741562.8862658,1631588,3020000.0
1705742041.6994321,1636581,3040000.0
1705742561.6102304,1651570,3060000.0
1705743048.7916615,1659068,3080000.0
1705743058.3382545,1661567,3080000.0
1705743089.3033977,1669055,3080000.0
1705743557.014192,1671550,3100000.0
1705743567.2059927,1674045,3100000.0
1705743586.9919276,1679039,3100000.0
