Wall time,Step,Value
1705665891.273704,10833,-24.0
1705666140.7742476,27643,-24.0
1705666250.6356907,32572,-24.0
1705666528.1772747,42731,-24.0
1705667180.6252909,69574,-24.0
1705667256.021424,72875,-23.0
1705667330.261166,76170,-24.0
1705667372.0703943,77899,-24.0
1705667476.715316,81362,-20.0
1705667701.6858575,91244,-24.0
1705667837.9308853,97234,-24.0
1705668211.6861587,112546,-24.0
1705668484.812604,123199,-24.0
1705668524.9977355,124830,-24.0
1705668563.0342562,126413,-24.0
1705668600.9179282,128014,-24.0
1705668781.7453866,136503,-24.0
1705669135.6412125,149429,-24.0
1705669419.0380762,160752,-12.0
1705669729.7872317,174408,-24.0
1705669840.2151256,179205,-24.0
1705669923.7095304,180823,-13.0
1705670189.7476473,192471,-24.0
1705670435.501438,201052,-16.0
1705670751.1505806,214908,-24.0
1705670952.165918,221491,-20.0
1705671280.994131,236193,-24.0
1705671441.6636894,241075,-16.0
1705671771.7782,255546,-24.0
1705672013.2253182,264171,-24.0
1705672131.4152346,269087,-24.0
1705672534.1292841,284816,-19.0
1705672574.5570908,286469,-24.0
1705672943.8040123,301500,-22.0
1705672985.6617007,303232,-24.0
1705673188.3572183,311811,-24.0
1705673260.7093673,314993,-24.0
1705673299.0673573,316633,-24.0
1705673480.9397292,323739,-24.0
1705673783.954407,336924,-24.0
1705674149.3729544,350710,-23.0
1705674186.2467396,352394,-23.0
1705674222.9978075,354087,-24.0
1705674419.0594864,360616,-10.0
1705674865.9424672,379952,-24.0
1705675168.5808558,390958,-24.0
1705675353.1290662,399214,-23.0
1705675491.8568866,404234,-24.0
1705676023.1715477,425831,-24.0
1705676286.4709349,437314,-22.0
1705676550.0183916,446398,-24.0
1705676658.8196464,451284,-24.0
1705676848.8418567,459330,-24.0
1705677077.8840308,467099,-24.0
1705677152.959302,470328,-24.0
1705677993.5053797,504171,-24.0
1705678198.630875,512749,-24.0
1705678238.487136,514384,-24.0
1705678482.876402,524117,-24.0
1705678670.456108,532277,-19.0
1705678707.809883,533845,-24.0
1705678782.504034,537109,-24.0
1705679118.7660708,550561,-23.0
1705679156.0904613,552129,-24.0
1705679455.2432418,563258,-24.0
1705679504.2214022,565275,-24.0
1705679540.8603244,566963,-24.0
1705679668.8631928,572605,-24.0
1705680115.9685957,590715,-24.0
1705680498.5894032,605984,-24.0
1705681247.1858978,635909,-24.0
1705681475.0475261,644081,-18.0
1705681734.7985144,655139,-20.0
1705681977.7940977,663509,-24.0
1705682078.6043203,667770,-19.0
1705682617.4698844,689116,-24.0
1705682657.8414578,690762,-24.0
1705683431.998418,721590,-23.0
1705684033.1646614,745936,-24.0
1705684073.7705193,747601,-24.0
1705684173.0963767,751714,-24.0
1705684457.4715912,762068,-24.0
1705684921.3424268,780759,-4.0
1705685010.1619427,784412,-24.0
1705685050.3093936,786017,-24.0
1705685171.7984324,791115,-24.0
